veh_id,video,frame,bboxX,bboxY,Width,Height,Direction,Velocity
0,DJI_0406_cut,0,806,243,31,16,,0
1,DJI_0406_cut,0,738,148,29,18,,0
2,DJI_0406_cut,0,888,371,31,17,,0
3,DJI_0406_cut,0,1115,271,33,18,,0
4,DJI_0406_cut,0,193,400,27,15,,0
5,DJI_0406_cut,0,61,388,29,16,,0
6,DJI_0406_cut,0,1058,136,29,17,,0
7,DJI_0406_cut,0,844,405,31,16,,0
8,DJI_0406_cut,0,1168,116,33,18,,0
9,DJI_0406_cut,0,107,360,31,20,,0
10,DJI_0406_cut,0,307,166,29,18,,0
11,DJI_0406_cut,0,1168,259,29,20,,0
12,DJI_0406_cut,0,414,155,29,18,,0
13,DJI_0406_cut,0,402,375,21,17,,0
14,DJI_0406_cut,0,176,175,33,18,,0
15,DJI_0406_cut,0,960,256,31,17,,0
16,DJI_0406_cut,0,652,139,29,17,,0
17,DJI_0406_cut,0,663,131,29,18,,0
18,DJI_0406_cut,0,1202,419,54,27,,0
0,DJI_0406_cut,1,810,243,31,16,,72
1,DJI_0406_cut,1,741,149,31,18,,57
2,DJI_0406_cut,1,884,371,31,17,,72
3,DJI_0406_cut,1,1120,272,31,17,,91
4,DJI_0406_cut,1,189,401,27,14,,74
5,DJI_0406_cut,1,56,389,29,16,,91
6,DJI_0406_cut,1,1063,137,29,17,,91
7,DJI_0406_cut,1,837,405,33,17,,126
8,DJI_0406_cut,1,1168,116,33,18,,0
9,DJI_0406_cut,1,105,362,31,18,,51
10,DJI_0406_cut,1,309,166,29,18,,36
11,DJI_0406_cut,1,1168,261,29,18,,36
12,DJI_0406_cut,1,421,155,29,18,,126
13,DJI_0406_cut,1,395,375,21,17,,126
14,DJI_0406_cut,1,176,177,33,17,,36
15,DJI_0406_cut,1,966,258,31,16,,114
17,DJI_0406_cut,1,663,132,31,17,,18
18,DJI_0406_cut,1,1200,418,54,27,,40
19,DJI_0406_cut,1,214,174,29,18,,0
0,DJI_0406_cut,2,812,242,31,16,,56
1,DJI_0406_cut,2,745,148,31,18,,65
2,DJI_0406_cut,2,880,370,29,18,,73
