x1,y1,x2,y2,id,frame
1171,403,1228,431,1,2
1154,105,1187,123,2,2
729,139,758,157,3,2
864,361,896,378,4,2
1106,262,1139,280,5,2
171,393,199,408,6,2
37,381,66,397,7,2
1049,126,1079,144,8,2
820,396,852,413,9,2
87,352,118,371,10,2
651,123,679,140,11,2
291,156,322,175,12,2
409,144,438,162,14,2
379,366,400,383,15,2
954,250,983,266,17,2
795,234,826,250,19,2
1164,402,1224,433,1,3
1158,104,1191,122,2,3
731,139,760,157,3,3
859,360,891,379,4,3
1108,262,1141,280,5,3
168,393,197,409,6,3
32,376,63,393,7,3
1052,124,1083,142,8,3
817,396,848,413,9,3
83,349,114,369,10,3
655,123,683,140,11,3
293,156,322,175,12,3
413,143,442,161,14,3
377,366,398,383,15,3
958,250,987,266,17,3
800,233,831,249,19,3
1153,401,1217,434,1,4
1163,103,1196,121,2,4
735,138,764,156,3,4
856,360,888,379,4,4
164,394,192,410,6,4
27,375,57,392,7,4
1056,123,1087,141,8,4
815,397,846,412,9,4
76,350,105,368,10,4
656,123,685,140,11,4
297,156,328,175,12,4
417,145,446,163,14,4
376,366,397,383,15,4
961,247,992,264,17,4
807,234,838,250,19,4
188,166,218,185,21,4
1142,259,1174,279,22,4
1151,402,1213,434,1,5
1167,102,1200,120,2,5
737,137,767,155,3,5
853,361,884,379,4,5
156,394,183,409,6,5
21,378,50,394,7,5
1060,123,1091,141,8,5
810,395,841,411,9,5
68,350,97,368,10,5
659,121,688,139,11,5
298,155,330,176,12,5
418,145,447,163,14,5
371,366,392,383,15,5
969,249,999,265,17,5
812,236,843,252,19,5
191,165,223,185,21,5
1146,262,1176,280,22,5
1146,402,1207,434,1,6
1170,103,1203,121,2,6
739,137,769,155,3,6
847,361,879,379,4,6
150,393,177,408,6,6
17,379,46,395,7,6
1065,123,1095,141,8,6
810,394,840,410,9,6
62,351,91,369,10,6
661,121,691,139,11,6
421,145,450,163,14,6
366,364,387,382,15,6
975,250,1005,266,17,6
818,236,849,252,19,6
195,165,224,184,21,6
1142,263,1171,281,22,6
1250,401,1266,423,24,6
310,152,341,170,25,6
1144,402,1205,434,1,7
1173,104,1206,122,2,7
745,136,774,154,3,7
843,361,875,379,4,7
147,393,174,408,6,7
12,379,41,395,7,7
1068,123,1098,141,8,7
807,393,838,409,9,7
55,351,86,371,10,7
666,121,697,141,11,7
423,143,455,163,14,7
363,365,384,382,15,7
980,250,1011,266,17,7
823,237,854,253,19,7
196,166,224,183,21,7
1139,265,1167,282,22,7
1249,401,1265,423,24,7
314,153,345,171,25,7
0,189,3,211,26,7
1141,402,1201,433,1,8
1178,104,1210,122,2,8
747,136,779,155,3,8
145,393,172,408,6,8
9,379,38,395,7,8
1072,125,1102,143,8,8
51,352,80,371,10,8
670,121,702,141,11,8
427,143,458,163,14,8
358,365,378,382,15,8
988,250,1019,267,17,8
829,237,860,253,19,8
198,166,225,183,21,8
1142,266,1169,283,22,8
317,153,348,171,25,8
0,189,3,210,26,8
824,354,859,373,27,8
1140,400,1198,431,1,9
1180,104,1212,121,2,9
751,135,783,155,3,9
142,392,169,407,6,9
6,379,34,395,7,9
1073,124,1103,142,8,9
799,387,832,404,9,9
49,352,77,371,10,9
676,121,707,140,11,9
432,142,462,161,14,9
355,364,375,382,15,9
992,251,1023,267,17,9
836,236,868,253,19,9
202,165,230,183,21,9
1149,268,1176,284,22,9
321,153,351,171,25,9
0,190,3,210,26,9
822,354,860,373,27,9
1136,400,1192,429,1,10
1182,103,1216,122,2,10
755,135,786,154,3,10
137,393,164,408,6,10
0,379,29,395,7,10
1076,126,1104,143,8,10
796,387,827,403,9,10
43,353,72,371,10,10
680,122,710,140,11,10
435,143,464,161,14,10
997,251,1029,268,17,10
841,238,873,255,19,10
203,165,232,182,21,10
1156,270,1182,285,22,10
327,151,357,169,25,10
0,189,3,210,26,10
821,354,857,373,27,10
1219,395,1248,416,29,10
1137,400,1191,429,1,11
1185,103,1220,122,2,11
758,135,788,154,3,11
138,394,165,409,6,11
0,379,27,394,7,11
1081,124,1108,141,8,11
795,388,826,404,9,11
38,353,67,371,10,11
686,122,715,140,11,11
442,145,469,162,14,11
1004,251,1035,268,17,11
848,239,879,256,19,11
209,164,237,182,21,11
1162,270,1189,286,22,11
328,149,358,167,25,11
818,355,852,373,27,11
1216,392,1244,413,29,11
0,185,9,205,30,11
1134,400,1188,428,1,12
1190,103,1223,122,2,12
762,135,792,153,3,12
136,394,163,409,6,12
0,378,24,394,7,12
1087,124,1114,140,8,12
792,389,823,405,9,12
32,354,60,371,10,12
690,123,719,141,11,12
447,144,475,161,14,12
1008,251,1040,268,17,12
852,239,884,256,19,12
213,164,241,181,21,12
1165,270,1194,287,22,12
328,147,361,166,25,12
812,355,844,372,27,12
1209,391,1238,412,29,12
0,187,9,205,30,12
337,368,358,383,31,12
1128,398,1183,427,1,13
1195,104,1227,122,2,13
767,135,796,153,3,13
132,394,160,409,6,13
0,378,22,394,7,13
1092,123,1119,139,8,13
788,391,819,407,9,13
28,355,56,372,10,13
693,123,723,141,11,13
450,143,478,161,14,13
1016,252,1046,268,17,13
857,239,888,256,19,13
216,162,245,179,21,13
1168,270,1197,287,22,13
331,145,364,165,25,13
807,355,839,372,27,13
1206,393,1234,414,29,13
0,186,11,206,30,13
334,367,355,383,31,13
1124,399,1178,427,1,14
1197,104,1229,122,2,14
771,135,801,153,3,14
130,394,157,409,6,14
0,380,19,396,7,14
1096,124,1123,140,8,14
784,388,816,404,9,14
25,355,54,372,10,14
696,123,725,140,11,14
452,143,481,160,14,14
1021,252,1051,269,17,14
861,240,892,256,19,14
221,162,249,179,21,14
1169,270,1198,287,22,14
333,145,366,165,25,14
800,354,833,372,27,14
1202,394,1229,414,29,14
0,185,13,205,30,14
329,367,351,383,31,14
1212,261,1234,280,32,14
1121,400,1175,427,1,15
1199,106,1230,123,2,15
776,135,806,153,3,15
126,394,154,409,6,15
0,381,15,398,7,15
1100,124,1128,140,8,15
779,389,811,406,9,15
24,355,54,373,10,15
700,123,728,140,11,15
456,142,485,160,14,15
1023,253,1053,269,17,15
867,240,898,256,19,15
224,162,254,179,21,15
1174,267,1204,284,22,15
341,147,372,166,25,15
793,354,827,372,27,15
1197,394,1225,414,29,15
0,184,16,204,30,15
325,367,346,384,31,15
1215,264,1237,282,32,15
1117,399,1172,427,1,16
1203,104,1235,122,2,16
781,135,811,153,3,16
797,356,829,374,4,16
121,396,148,411,6,16
0,381,13,398,7,16
1105,123,1132,139,8,16
777,387,807,403,9,16
21,357,51,375,10,16
704,125,733,142,11,16
459,143,487,160,14,16
1025,254,1055,270,17,16
872,239,902,255,19,16
226,161,257,179,21,16
1177,267,1207,285,22,16
343,146,375,166,25,16
789,354,823,372,27,16
1196,394,1221,412,29,16
0,184,18,204,30,16
320,367,342,384,31,16
1220,267,1241,284,32,16
1115,399,1169,426,1,17
1206,103,1238,121,2,17
783,135,815,154,3,17
792,357,823,375,4,17
114,395,143,411,6,17
0,381,13,400,7,17
1109,123,1137,139,8,17
773,386,804,402,9,17
15,357,46,375,10,17
713,121,741,139,11,17
462,143,490,160,14,17
1028,254,1059,270,17,17
877,239,909,255,19,17
230,161,260,179,21,17
348,147,378,165,25,17
1191,393,1216,412,29,17
0,182,22,203,30,17
315,367,337,384,31,17
1225,266,1246,284,32,17
1113,399,1167,426,1,18
1211,103,1243,121,2,18
787,135,819,154,3,18
787,357,819,375,4,18
109,396,138,412,6,18
0,381,11,400,7,18
1112,123,1141,139,8,18
10,358,42,377,10,18
717,119,745,136,11,18
466,143,495,160,14,18
1035,256,1065,271,17,18
882,240,913,256,19,18
231,161,261,178,21,18
352,147,381,165,25,18
1188,393,1213,411,29,18
2,183,25,203,30,18
310,367,332,384,31,18
1227,268,1251,287,32,18
766,393,797,409,36,18
1254,442,1268,460,37,18
1116,401,1170,428,1,19
1209,103,1243,122,2,19
790,135,821,154,3,19
781,356,812,374,4,19
107,397,136,413,6,19
1115,125,1144,142,8,19
8,358,39,377,10,19
720,117,748,134,11,19
470,142,499,160,14,19
1041,256,1071,271,17,19
888,240,919,256,19,19
233,160,263,178,21,19
353,147,382,165,25,19
1177,393,1202,410,29,19
5,182,28,203,30,19
305,366,328,384,31,19
1230,269,1254,288,32,19
762,392,793,408,36,19
1251,443,1265,460,37,19
1114,399,1168,426,1,20
1210,99,1245,119,2,20
794,135,824,154,3,20
774,354,805,372,4,20
106,398,134,414,6,20
1117,125,1147,142,8,20
0,359,31,377,10,20
726,117,755,135,11,20
473,142,502,160,14,20
1049,256,1080,273,17,20
892,239,924,256,19,20
235,161,264,178,21,20
351,147,380,165,25,20
1166,391,1192,409,29,20
7,180,31,201,30,20
300,366,322,384,31,20
759,392,790,408,36,20
1248,441,1263,459,37,20
1108,398,1162,426,1,21
1212,96,1247,117,2,21
799,136,829,154,3,21
769,353,799,371,4,21
98,397,127,413,6,21
1119,125,1149,142,8,21
0,359,26,377,10,21
730,117,759,134,11,21
477,142,505,160,14,21
301,366,321,383,15,21
1055,257,1088,275,17,21
901,241,933,258,19,21
241,162,270,179,21,21
350,146,379,164,25,21
1160,391,1187,409,29,21
10,182,34,202,30,21
295,366,318,384,31,21
754,391,785,407,36,21
1244,441,1260,459,37,21
1205,274,1230,292,41,21
1105,399,1159,427,1,22
1212,96,1247,117,2,22
804,136,834,154,3,22
764,352,795,370,4,22
92,397,121,413,6,22
1121,126,1151,143,8,22
0,359,22,378,10,22
734,119,763,136,11,22
481,141,509,159,14,22
295,367,315,384,15,22
1059,258,1091,275,17,22
905,242,938,259,19,22
246,162,275,179,21,22
354,146,383,164,25,22
1153,391,1181,408,29,22
12,180,36,201,30,22
750,391,781,407,36,22
1240,440,1256,458,37,22
1209,276,1232,292,41,22
1099,398,1154,427,1,23
1213,98,1246,119,2,23
808,135,840,154,3,23
759,352,790,370,4,23
88,397,117,413,6,23
1125,124,1154,141,8,23
0,359,17,378,10,23
738,120,767,138,11,23
485,141,514,159,14,23
291,367,311,384,15,23
1065,258,1097,275,17,23
914,240,946,258,19,23
253,159,283,177,21,23
356,146,385,164,25,23
1150,390,1180,409,29,23
13,180,39,201,30,23
746,391,777,407,36,23
1237,440,1253,457,37,23
1213,277,1237,293,41,23
1095,398,1152,428,1,24
1217,99,1249,119,2,24
813,135,843,154,3,24
752,351,783,369,4,24
86,397,113,413,6,24
1128,124,1157,141,8,24
0,360,14,378,10,24
741,120,769,138,11,24
484,141,514,161,14,24
287,367,307,384,15,24
1068,258,1100,275,17,24
919,241,951,258,19,24
256,157,286,175,21,24
357,146,386,164,25,24
1147,389,1177,408,29,24
13,177,40,199,30,24
742,392,771,408,36,24
1233,439,1250,457,37,24
1219,278,1245,296,41,24
1088,394,1145,424,1,25
1222,99,1254,119,2,25
816,135,846,154,3,25
747,350,778,368,4,25
81,398,109,413,6,25
1133,122,1162,139,8,25
0,361,13,378,10,25
743,120,771,137,11,25
487,140,518,160,14,25
283,367,303,384,15,25
1072,259,1104,276,17,25
924,241,956,259,19,25
259,157,289,175,21,25
359,146,388,164,25,25
1143,388,1174,408,29,25
14,175,42,198,30,25
739,393,768,408,36,25
1229,438,1248,456,37,25
1224,280,1251,298,41,25
1086,392,1142,422,1,26
1222,99,1253,119,2,26
818,135,848,153,3,26
742,350,773,368,4,26
79,398,106,413,6,26
1136,122,1165,139,8,26
0,363,12,380,10,26
745,120,774,137,11,26
490,140,521,160,14,26
278,368,298,385,15,26
1078,260,1110,277,17,26
928,242,959,259,19,26
262,156,292,174,21,26
738,353,771,371,27,26
1138,388,1169,408,29,26
16,175,44,198,30,26
736,393,767,409,36,26
1226,437,1246,455,37,26
1227,280,1255,299,41,26
385,142,416,162,42,26
1084,392,1139,422,1,27
1224,100,1254,119,2,27
821,135,851,153,3,27
75,398,102,413,6,27
1139,121,1169,138,8,27
0,364,11,382,10,27
748,120,776,137,11,27
494,139,525,160,14,27
273,368,293,385,15,27
1084,261,1116,278,17,27
931,242,963,259,19,27
264,156,294,174,21,27
733,352,766,370,27,27
1135,390,1164,409,29,27
21,175,48,197,30,27
732,394,763,409,36,27
1222,437,1243,455,37,27
1229,280,1258,300,41,27
387,144,419,164,42,27
1083,392,1136,421,1,28
1227,100,1256,119,2,28
824,134,854,152,3,28
73,399,99,414,6,28
1142,120,1171,137,8,28
0,365,8,383,10,28
