x1,y1,x2,y2,id,frame
1746,612,1836,649,1,2
1670,395,1719,422,2,2
1100,211,1138,236,3,2
1245,597,1286,619,4,2
264,254,302,280,5,2
450,235,486,259,6,2
261,589,301,612,7,2
1743,161,1789,186,8,2
617,222,657,247,9,2
986,194,1019,214,10,2
124,531,166,555,11,2
576,554,602,576,12,2
1747,379,1784,403,13,2
1442,375,1477,396,14,2
1587,193,1624,215,15,2
1204,351,1243,374,16,2
1299,546,1338,569,17,2
57,563,101,588,18,2
1741,613,1831,649,1,3
1679,398,1727,424,2,3
1105,210,1143,235,3,3
1239,596,1281,619,4,3
269,253,307,280,5,3
456,235,492,259,6,3
255,590,295,612,7,3
1747,161,1792,185,8,3
623,222,663,248,9,3
992,194,1025,214,10,3
115,531,158,556,11,3
569,555,595,577,12,3
1754,380,1792,404,13,3
1451,376,1486,397,14,3
1591,192,1629,214,15,3
1211,351,1251,374,16,3
1293,548,1331,570,17,3
50,562,95,588,18,3
1737,612,1825,649,1,4
1687,399,1735,425,2,4
1111,210,1149,235,3,4
1232,595,1275,618,4,4
275,253,313,278,5,4
460,233,497,257,6,4
249,589,290,612,7,4
1752,158,1798,183,8,4
628,222,669,248,9,4
999,194,1032,214,10,4
107,531,150,556,11,4
563,555,588,576,12,4
1762,380,1800,405,13,4
1458,377,1493,398,14,4
1597,191,1635,214,15,4
1219,352,1260,376,16,4
1285,545,1324,568,17,4
46,565,90,590,18,4
1731,612,1820,648,1,5
1695,399,1743,425,2,5
1117,210,1156,235,3,5
1226,594,1269,617,4,5
280,252,318,278,5,5
465,232,503,257,6,5
244,590,283,612,7,5
1757,157,1803,182,8,5
634,221,674,247,9,5
1005,193,1038,213,10,5
99,531,143,556,11,5
556,555,581,576,12,5
1770,383,1807,407,13,5
1465,376,1503,399,14,5
1602,190,1641,214,15,5
1227,352,1267,376,16,5
1277,545,1317,568,17,5
39,566,83,590,18,5
1727,613,1810,647,1,6
1704,400,1750,426,2,6
1122,209,1161,234,3,6
1220,594,1264,618,4,6
285,252,323,278,5,6
469,231,507,257,6,6
238,590,277,612,7,6
1759,157,1806,182,8,6
640,220,680,246,9,6
1010,193,1043,213,10,6
93,532,137,557,11,6
549,555,574,576,12,6
1780,385,1815,408,13,6
1473,377,1511,400,14,6
1606,190,1646,214,15,6
1236,354,1276,377,16,6
1269,544,1310,567,17,6
32,566,76,591,18,6
0,289,3,316,20,6
1878,605,1894,630,21,6
1722,613,1806,646,1,7
1712,401,1758,426,2,7
1128,209,1167,234,3,7
1215,594,1258,618,4,7
290,249,329,276,5,7
474,230,513,256,6,7
233,591,272,613,7,7
1764,156,1810,182,8,7
646,220,685,246,9,7
1017,193,1050,213,10,7
85,532,130,558,11,7
540,552,567,575,12,7
1790,386,1822,408,13,7
1481,378,1519,401,14,7
1611,189,1652,214,15,7
1244,354,1284,378,16,7
1260,543,1301,567,17,7
24,566,68,591,18,7
0,289,3,315,20,7
1869,601,1887,628,21,7
1718,612,1801,645,1,8
1719,402,1765,427,2,8
1134,209,1173,234,3,8
1209,594,1252,617,4,8
295,250,334,276,5,8
480,229,518,255,6,8
227,592,266,614,7,8
1769,156,1815,181,8,8
652,219,691,245,9,8
1022,193,1055,213,10,8
76,533,122,559,11,8
533,552,560,575,12,8
1796,388,1829,409,13,8
1488,378,1527,401,14,8
1618,189,1658,213,15,8
1254,355,1294,378,16,8
1250,541,1292,566,17,8
16,568,58,592,18,8
1861,600,1880,627,21,8
1715,611,1798,644,1,9
1728,405,1772,429,2,9
1140,210,1178,234,3,9
1204,593,1246,616,4,9
302,249,339,275,5,9
485,228,524,254,6,9
221,592,260,614,7,9
1774,156,1820,181,8,9
657,219,697,245,9,9
1029,191,1063,212,10,9
69,533,115,559,11,9
527,553,553,575,12,9
1804,389,1836,410,13,9
1497,378,1535,402,14,9
1623,189,1663,213,15,9
1262,357,1301,379,16,9
1243,540,1287,565,17,9
9,568,52,593,18,9
1854,599,1875,626,21,9
0,288,8,314,22,9
1714,612,1791,644,1,10
1736,406,1778,430,2,10
1146,210,1183,234,3,10
1199,594,1240,616,4,10
306,249,344,274,5,10
491,228,528,254,6,10
215,592,253,614,7,10
1777,156,1823,181,8,10
663,219,703,245,9,10
1034,191,1070,212,10,10
62,533,108,559,11,10
520,552,547,575,12,10
1505,379,1544,402,14,10
1629,189,1668,213,15,10
1270,358,1309,380,16,10
1237,539,1280,565,17,10
2,570,44,594,18,10
1847,598,1868,625,21,10
0,289,8,315,22,10
1709,610,1791,643,1,11
1744,408,1788,431,2,11
1151,210,1189,234,3,11
1194,593,1236,616,4,11
313,248,350,274,5,11
497,228,534,253,6,11
209,593,248,614,7,11
1781,155,1828,181,8,11
669,219,708,245,9,11
1040,190,1076,212,10,11
54,532,101,559,11,11
514,554,541,576,12,11
1513,380,1551,403,14,11
1634,188,1673,212,15,11
1279,358,1319,381,16,11
1229,538,1273,564,17,11
0,570,40,595,18,11
