frame_id,class_name,x1,y1,x2,y2,confidence
0,potted plant,1795,457,1919,545,0.3528076112270355
1,potted plant,1793,456,1919,546,0.3849950432777405
2,potted plant,1793,456,1919,545,0.38038426637649536
5,vase,1818,353,1864,475,0.7286820411682129
6,fire hydrant,1794,631,1862,695,0.6778655052185059
6,vase,1822,392,1855,473,0.3284742534160614
6,vase,1817,352,1865,476,0.43776431679725647
14,vase,1828,401,1858,474,0.367303729057312
14,vase,1825,402,1856,474,0.5430601239204407
14,vase,1819,349,1866,473,0.7059592008590698
18,potted plant,1792,456,1919,541,0.28629928827285767
19,potted plant,1794,457,1919,541,0.3027699291706085
20,potted plant,1793,454,1919,541,0.4568227529525757
30,vase,1824,369,1862,476,0.3744201064109802
31,potted plant,1789,455,1919,540,0.3866390883922577
31,potted plant,51,420,169,547,0.2551860809326172
32,potted plant,1790,454,1919,542,0.2739141583442688
32,vase,1823,363,1865,474,0.3860558271408081
36,person,1724,263,1801,437,0.4800046980381012
37,person,1726,264,1802,429,0.3622419238090515
38,person,1726,265,1797,426,0.25657323002815247
39,person,1724,263,1798,433,0.3062720000743866
46,potted plant,1791,455,1919,543,0.27999401092529297
47,potted plant,1789,455,1919,543,0.2653326094150543
48,potted plant,1790,454,1919,541,0.40602636337280273
55,fire hydrant,1523,578,1613,657,0.6407710909843445
56,vase,1818,349,1868,476,0.4081425964832306
56,fire hydrant,1516,594,1556,652,0.28507813811302185
57,fire hydrant,1509,574,1600,652,0.6439712643623352
62,person,1738,269,1854,476,0.29213768243789673
62,person,1724,269,1799,426,0.6530047059059143
63,person,1726,268,1799,429,0.6136332750320435
64,person,1725,266,1806,432,0.7657560706138611
65,person,1725,267,1800,432,0.7710875868797302
66,person,1724,266,1804,436,0.7486562132835388
66,vase,1822,363,1863,472,0.49572378396987915
67,traffic light,638,241,683,270,0.8145713210105896
67,person,1725,269,1798,427,0.4928990602493286
68,person,1725,270,1796,426,0.43202856183052063
68,traffic light,643,240,688,270,0.6532773971557617
69,fire hydrant,1469,589,1544,651,0.35168227553367615
69,fire hydrant,1441,568,1493,646,0.8670384287834167
71,fire hydrant,1433,575,1480,646,0.2532616853713989
71,person,1727,270,1797,421,0.33761024475097656
72,person,1729,269,1798,420,0.28417274355888367
76,fire hydrant,1421,591,1509,648,0.36883246898651123
80,potted plant,1426,595,1490,647,0.41340091824531555
80,potted plant,1395,591,1438,641,0.2571312189102173
82,vase,1820,349,1869,476,0.6768361330032349
83,vase,1820,350,1869,476,0.5922424793243408
84,vase,1820,351,1869,477,0.5660109519958496
87,traffic light,1362,590,1460,642,0.3178914785385132
94,potted plant,1352,585,1420,642,0.7550855278968811
95,potted plant,1349,587,1414,642,0.5349595546722412
96,fire hydrant,1327,583,1412,643,0.3332653045654297
97,potted plant,1330,583,1404,642,0.28076431155204773
98,potted plant,1330,583,1403,641,0.7148666381835938
98,potted plant,1307,584,1346,627,0.37774866819381714
99,potted plant,1791,458,1919,541,0.4301856458187103
99,fire hydrant,1318,581,1403,640,0.2891037166118622
99,parking meter,1301,584,1342,627,0.2710113525390625
99,vase,1824,353,1867,475,0.3621319830417633
104,vase,1824,359,1864,475,0.41468796133995056
105,train,0,214,1918,401,0.4050789177417755
106,vase,1824,360,1864,475,0.4856095314025879
107,vase,1821,352,1869,477,0.6579791903495789
107,potted plant,1791,460,1919,541,0.33708131313323975
107,vase,1263,582,1303,624,0.3194744884967804
107,vase,1828,406,1859,476,0.2829078435897827
108,vase,1825,361,1864,474,0.5117040276527405
110,vase,1822,352,1869,478,0.2890658974647522
111,potted plant,1790,460,1919,540,0.2815464437007904
111,vase,1824,360,1865,475,0.6718438267707825
116,truck,0,222,1919,700,0.45070165395736694
144,vase,1083,572,1168,628,0.2667352855205536
144,vase,1827,394,1861,473,0.36159977316856384
144,vase,1818,345,1876,477,0.25555941462516785
145,vase,1828,394,1862,474,0.4565742015838623
