frame_id,class_id,x1,y1,x2,y2,confidence
0,1,590,224,689,271,0.9719365835189819
0,1,423,60,456,78,0.41038066148757935
0,1,1301,560,1375,594,0.9150533676147461
0,1,574,563,632,597,0.984940230846405
0,1,1724,390,1796,427,0.4532841145992279
0,1,1766,629,1898,692,0.9804129004478455
0,1,443,251,506,283,0.9829514622688293
0,1,256,269,327,302,0.96307373046875
0,1,437,87,474,106,0.25238269567489624
0,1,1257,609,1331,640,0.9818483591079712
1,1,603,234,685,271,0.9801254868507385
1,1,424,59,457,78,0.39410293102264404
1,1,207,0,533,74,0.29575014114379883
1,1,1294,560,1367,593,0.8884154558181763
1,1,571,563,628,596,0.9684025645256042
1,1,1759,627,1890,690,0.8904732465744019
1,1,444,250,512,283,0.9765031337738037
1,1,1427,386,1501,418,0.4991413950920105
1,1,1714,1,1771,26,0.2799927890300751
1,1,260,269,333,302,0.9211454391479492
1,1,438,83,476,103,0.3693942725658417
1,1,1190,361,1266,396,0.8265830874443054
1,1,1251,609,1325,639,0.9820531010627747
2,1,610,237,682,273,0.988452136516571
2,1,424,59,456,78,0.4489348232746124
2,1,207,0,534,74,0.29501962661743164
2,1,1290,561,1362,593,0.9536282420158386
2,1,565,563,625,595,0.9647331237792969
2,1,1754,624,1889,687,0.9789626002311707
2,1,451,249,515,282,0.981268584728241
2,1,1716,2,1771,26,0.2891990542411804
2,1,439,85,476,105,0.3995623290538788
2,1,267,268,337,301,0.7947735786437988
2,1,1899,615,1919,658,0.666314959526062
2,1,1202,362,1275,397,0.921455442905426
2,1,1245,609,1316,638,0.9692065715789795
3,1,53,575,126,607,0.3358999490737915
3,1,617,235,688,271,0.9904138445854187
3,1,424,59,456,77,0.4494887590408325
3,1,211,0,533,74,0.27460575103759766
3,1,1281,559,1360,594,0.9817737936973572
3,1,561,562,617,595,0.9835159182548523
3,1,1753,625,1884,688,0.9757399559020996
3,1,459,248,521,281,0.9871201515197754
3,1,267,266,337,300,0.9224861264228821
3,1,440,84,476,104,0.3770435154438019
3,1,107,547,196,590,0.9398682713508606
3,1,1889,613,1919,657,0.944838285446167
3,1,1213,362,1288,397,0.31141602993011475
3,1,1239,608,1315,638,0.9730572700500488
4,1,626,236,692,270,0.9859958291053772
4,1,423,59,455,77,0.5428626537322998
4,1,1218,364,1291,397,0.4527527689933777
4,1,1275,558,1353,594,0.9750971794128418
4,1,554,563,609,595,0.9863561391830444
4,1,1751,626,1876,685,0.9588652849197388
4,1,464,247,527,281,0.9875273108482361
4,1,242,599,317,625,0.3378205895423889
4,1,1715,1,1772,26,0.2501325309276581
4,1,272,267,342,300,0.9835397005081177
4,1,440,82,476,102,0.41570302844047546
4,1,97,548,190,589,0.7191982269287109
4,1,449,80,487,100,0.2656745910644531
4,1,1873,616,1919,655,0.9792181253433228
4,1,1239,606,1313,637,0.9644980430603027
5,1,627,235,700,270,0.9927881360054016
5,1,424,59,456,77,0.49103790521621704
5,1,1263,560,1344,594,0.9227536916732788
5,1,548,563,606,595,0.9889633655548096
5,1,1752,626,1871,683,0.9304649829864502
5,1,469,246,537,282,0.9865356087684631
5,1,242,599,315,628,0.4013051986694336
5,1,278,267,349,300,0.9881269335746765
5,1,440,82,476,101,0.39493390917778015
5,1,92,549,181,590,0.4912284016609192
5,1,448,81,486,101,0.29498183727264404
5,1,1862,613,1919,657,0.9761497378349304
5,1,1232,364,1299,400,0.6373071670532227
5,1,1234,604,1305,638,0.9826080203056335
6,1,636,235,707,270,0.9931245446205139
6,1,424,59,456,77,0.5183889865875244
6,1,74,552,163,591,0.6232792139053345
6,1,0,301,27,344,0.7313978672027588
6,1,1252,558,1333,592,0.4082886874675751
6,1,539,563,593,594,0.9566650986671448
6,1,1744,622,1869,681,0.9311557412147522
6,1,474,245,545,280,0.9861899614334106
6,1,285,267,354,300,0.992033064365387
6,1,440,81,476,101,0.40754666924476624
6,1,447,81,485,101,0.3107522428035736
6,1,1850,612,1919,656,0.9664276838302612
6,1,1234,364,1308,398,0.6198967695236206
6,1,1227,604,1297,637,0.986716628074646
6,1,1232,551,1322,581,0.5631091594696045
7,1,641,232,716,270,0.9908095598220825
7,1,423,59,455,77,0.42973363399505615
7,1,0,303,35,343,0.7803055644035339
7,1,1244,366,1314,400,0.34430253505706787
7,1,1245,557,1323,591,0.7151381969451904
7,1,533,562,586,595,0.9653465747833252
7,1,1737,622,1869,683,0.9316875338554382
7,1,480,243,547,280,0.9737823605537415
7,1,289,266,358,299,0.9852315187454224
7,1,440,82,476,101,0.3500044345855713
7,1,1847,613,1919,651,0.951252818107605
7,1,1222,604,1292,637,0.9855620861053467
8,1,645,233,720,268,0.9773064255714417
8,1,422,59,454,77,0.41458016633987427
8,1,28,580,103,611,0.32531529664993286
8,1,0,302,39,341,0.7850848436355591
8,1,1230,556,1322,592,0.9688292145729065
8,1,528,563,586,596,0.9604175686836243
8,1,1738,622,1862,678,0.8493088483810425
8,1,484,244,549,281,0.980388879776001
8,1,297,266,364,299,0.9908602237701416
8,1,438,82,474,101,0.3057275116443634
8,1,1845,614,1918,647,0.9572224020957947
8,1,1212,604,1286,635,0.9865155220031738
9,1,648,234,724,268,0.9867324233055115
9,1,423,59,456,77,0.28227320313453674
9,1,60,551,152,589,0.45619067549705505
9,1,0,301,48,340,0.5606943964958191
9,1,1259,366,1330,401,0.7945511937141418
9,1,1235,557,1318,592,0.951103925704956
9,1,528,566,585,597,0.30114296078681946
9,1,1726,621,1860,681,0.5743051767349243
9,1,485,242,556,280,0.96893310546875
9,1,300,266,370,298,0.9830406308174133
9,1,439,81,477,100,0.2515468895435333
9,1,1834,614,1917,647,0.47784510254859924
9,1,1206,605,1282,635,0.98894202709198
10,1,656,233,727,267,0.9844763875007629
10,1,423,59,455,77,0.33769840002059937
10,1,0,303,51,339,0.691193163394928
10,1,1233,554,1308,589,0.9343084692955017
10,1,517,562,572,598,0.883242666721344
10,1,489,242,561,278,0.9606510996818542
10,1,307,265,376,297,0.9827840328216553
10,1,440,82,476,101,0.3334246277809143
10,1,1826,614,1907,646,0.42738839983940125
10,1,1202,604,1273,635,0.9844383597373962
11,1,661,232,735,266,0.9903400540351868
11,1,423,59,456,77,0.38355958461761475
11,1,0,302,57,337,0.9025947451591492
11,1,1277,369,1349,401,0.40935635566711426
11,1,1226,553,1301,591,0.978245198726654
11,1,512,562,570,596,0.774707019329071
11,1,1814,614,1890,648,0.9830379486083984
11,1,499,243,566,277,0.9910228252410889
11,1,311,264,379,295,0.9749158620834351
11,1,440,81,477,100,0.33412662148475647
11,1,1195,603,1269,636,0.9817951321601868
12,1,670,232,740,265,0.9865701794624329
12,1,424,58,455,76,0.466098427772522
12,1,0,300,61,336,0.8995805978775024
12,1,1283,369,1354,403,0.3159249424934387
12,1,1219,552,1296,589,0.9847434759140015
12,1,1752,617,1860,664,0.3647690415382385
12,1,500,240,572,277,0.9866242408752441
12,1,316,264,383,295,0.9882041215896606
12,1,441,81,476,100,0.3585878610610962
12,1,1812,611,1886,644,0.7977533936500549
12,1,1192,603,1265,634,0.9872260689735413
13,1,676,231,745,266,0.9924532771110535
13,1,424,59,455,77,0.6471719741821289
13,1,0,297,66,336,0.9097864627838135
13,1,1212,553,1287,590,0.9676393866539001
13,1,1811,611,1882,644,0.9610926508903503
13,1,1733,617,1849,667,0.7710011601448059
13,1,510,241,575,275,0.9879714846611023
13,1,322,263,390,295,0.9886226058006287
13,1,500,564,552,596,0.9650846123695374
13,1,441,82,476,101,0.45952117443084717
13,1,1187,603,1259,633,0.983796238899231
13,1,434,82,469,101,0.3406183421611786
14,1,685,231,753,266,0.9929280877113342
14,1,424,59,455,77,0.6645765900611877
14,1,2,297,67,335,0.9254468083381653
14,1,1298,370,1371,404,0.7337844967842102
14,1,1210,554,1287,589,0.956449568271637
14,1,1801,611,1874,647,0.9890949130058289
14,1,332,262,398,295,0.9825015664100647
14,1,1178,601,1249,633,0.9674239754676819
14,1,515,241,580,275,0.9839813113212585
14,1,498,564,555,596,0.27208492159843445
14,1,440,82,476,101,0.49772608280181885
14,1,448,79,485,99,0.29298561811447144
14,1,1894,670,1919,707,0.5762965083122253
14,1,433,82,468,101,0.3364623785018921
15,1,690,231,760,265,0.9900179505348206
15,1,424,59,455,77,0.6777379512786865
15,1,4,297,69,335,0.9340656399726868
15,1,1201,555,1284,590,0.9416211247444153
15,1,489,564,544,596,0.9696460962295532
15,1,1796,610,1867,644,0.980613112449646
15,1,339,262,405,294,0.9397503137588501
15,1,519,240,586,274,0.9727817177772522
15,1,1715,1,1773,25,0.25074002146720886
15,1,441,82,476,101,0.48865312337875366
15,1,448,80,485,99,0.33557334542274475
15,1,1889,672,1919,708,0.9265451431274414
15,1,1174,601,1249,633,0.9532662034034729
15,1,434,82,470,101,0.35919660329818726
16,1,697,232,764,265,0.989315390586853
16,1,423,59,454,77,0.6521371006965637
16,1,7,296,76,333,0.921012818813324
16,1,1318,373,1390,407,0.39573952555656433
16,1,1189,554,1274,589,0.6398049592971802
16,1,477,564,533,595,0.8824870586395264
16,1,1701,618,1830,673,0.6372554898262024
16,1,343,262,412,295,0.9783398509025574
16,1,521,240,586,274,0.9777411222457886
16,1,1715,1,1773,24,0.25774243474006653
16,1,441,81,476,100,0.4908008277416229
16,1,450,79,487,98,0.2920839488506317
16,1,1876,673,1918,706,0.9379013180732727
16,1,1165,599,1243,633,0.9807097911834717
16,1,434,82,469,100,0.3560017943382263
17,1,700,231,769,264,0.9908187985420227
17,1,423,59,454,77,0.6422677040100098
17,1,7,295,84,333,0.875283420085907
17,1,474,564,530,595,0.8833136558532715
17,1,1780,607,1852,640,0.9146634340286255
17,1,1685,618,1821,671,0.8461735844612122
17,1,348,261,418,293,0.9754114747047424
17,1,527,239,589,273,0.9813907146453857
17,1,441,82,476,100,0.4791906476020813
17,1,1330,372,1399,407,0.7684701681137085
17,1,448,79,484,98,0.3040844202041626
17,1,1868,672,1916,705,0.9653332829475403
