frame_id,class_name,x1,y1,x2,y2,confidence
0,cup,1804,635,1837,677,0.7092548608779907
0,vase,1820,354,1871,459,0.9709032773971558
0,bowl,1752,391,1794,421,0.509472131729126
0,potted plant,456,248,494,278,0.6007434129714966
0,potted plant,1726,274,1795,425,0.5847675204277039
1,vase,1820,354,1868,462,0.9821828007698059
2,vase,1818,354,1868,461,0.9817479252815247
2,potted plant,1720,272,1795,429,0.5781041979789734
3,vase,1816,353,1871,456,0.8960647583007812
3,potted plant,1722,271,1792,414,0.5592289566993713
4,vase,1816,353,1869,466,0.9391574859619141
5,vase,1817,354,1871,469,0.9323198795318604
5,person,1725,272,1791,414,0.8433974981307983
6,vase,1817,354,1872,470,0.955980658531189
6,person,1724,272,1791,417,0.8759437203407288
7,vase,1817,354,1873,470,0.9618039727210999
7,person,1723,272,1791,419,0.7452052235603333
8,vase,1818,354,1872,467,0.933772623538971
9,vase,1819,354,1873,469,0.8898676633834839
10,vase,1820,353,1873,471,0.9405425786972046
11,vase,1820,351,1873,462,0.9219512939453125
12,vase,1821,352,1872,442,0.9495673179626465
13,vase,1820,353,1872,439,0.9556466341018677
14,vase,1820,354,1871,450,0.9504625797271729
15,vase,1821,353,1868,453,0.9602978825569153
15,cup,1824,613,1866,644,0.5999071002006531
16,vase,1822,353,1868,442,0.964921772480011
17,vase,1823,354,1871,442,0.9426614046096802
17,bird,488,570,524,613,0.7519423961639404
17,car,1183,601,1229,631,0.5668607950210571
18,vase,1823,355,1874,447,0.8585915565490723
19,vase,1824,353,1876,450,0.8691998720169067
19,car,1175,602,1217,629,0.8706139922142029
20,vase,1824,352,1875,445,0.732824444770813
20,car,1166,598,1213,629,0.8509671092033386
21,vase,1823,353,1875,446,0.7565973401069641
21,potted plant,1722,271,1789,412,0.5275207161903381
22,vase,1824,354,1876,452,0.7630006670951843
22,potted plant,1722,271,1788,412,0.5878699421882629
23,vase,1824,355,1874,458,0.8525503873825073
23,potted plant,1860,160,1902,199,0.5176019072532654
23,potted plant,1723,271,1787,412,0.6297930479049683
25,vase,1821,352,1872,459,0.5735008120536804
27,vase,1821,353,1873,456,0.642027735710144
27,potted plant,1722,272,1787,412,0.5074712634086609
28,vase,1821,353,1872,459,0.8564895987510681
29,vase,1821,353,1873,462,0.7030869722366333
30,potted plant,433,253,474,283,0.537153959274292
30,vase,1820,354,1872,461,0.6445874571800232
35,vase,1821,353,1871,455,0.5430948734283447
35,potted plant,452,247,496,278,0.5803832411766052
36,potted plant,1646,615,1709,665,0.6402039527893066
36,vase,1820,353,1872,457,0.6256451606750488
37,potted plant,1627,614,1699,667,0.5680402517318726
37,potted plant,1626,596,1705,664,0.5617023706436157
37,vase,1819,352,1872,457,0.5150710940361023
38,potted plant,1614,578,1709,668,0.7946339845657349
38,vase,1821,353,1872,455,0.661439061164856
39,potted plant,1618,579,1701,660,0.8442729115486145
39,vase,1821,353,1871,455,0.8930869102478027
39,potted plant,477,243,518,273,0.7746062874794006
39,potted plant,1723,271,1791,413,0.5315839052200317
40,potted plant,1619,592,1691,660,0.6470356583595276
40,vase,1821,351,1871,456,0.8742673397064209
40,potted plant,482,241,523,272,0.6357638239860535
40,potted plant,1723,269,1793,412,0.5088161826133728
41,potted plant,1613,596,1678,648,0.5591712594032288
41,vase,1820,352,1871,458,0.9080219268798828
42,potted plant,1607,591,1674,658,0.6840722560882568
42,vase,1820,352,1871,454,0.888728678226471
43,potted plant,1607,587,1673,661,0.7930697202682495
43,vase,1819,352,1872,450,0.8582629561424255
44,vase,1820,352,1871,457,0.9554956555366516
45,vase,1820,352,1872,461,0.9214963316917419
46,vase,1820,353,1872,460,0.844282865524292
47,vase,1822,352,1872,454,0.5735145211219788
48,potted plant,1564,593,1647,660,0.6217325925827026
48,vase,1823,352,1872,457,0.6398797631263733
50,potted plant,1561,599,1636,656,0.6714151501655579
50,vase,1823,352,1875,445,0.6302583813667297
50,potted plant,1722,270,1790,411,0.5499927997589111
51,potted plant,1560,611,1632,656,0.5180314779281616
51,vase,1823,352,1876,450,0.7634157538414001
51,potted plant,1723,272,1790,411,0.5744388699531555
52,potted plant,1561,611,1627,658,0.7488855719566345
52,vase,1823,353,1878,458,0.8905500173568726
52,potted plant,1638,403,1679,437,0.5588431358337402
52,potted plant,1723,271,1791,411,0.7490660548210144
53,vase,1823,355,1875,461,0.9403380155563354
53,potted plant,1723,271,1791,411,0.6315142512321472
54,potted plant,1654,406,1699,439,0.6219916939735413
54,potted plant,1559,612,1618,657,0.6505985260009766
54,vase,1822,354,1874,460,0.8559192419052124
54,potted plant,1536,616,1570,650,0.5203021168708801
54,potted plant,1721,270,1791,411,0.6536369919776917
55,potted plant,1662,407,1706,438,0.6381349563598633
55,potted plant,1542,608,1608,654,0.7511051893234253
55,vase,1822,353,1874,458,0.8812177777290344
55,potted plant,568,238,611,270,0.5245183706283569
55,potted plant,1721,270,1790,411,0.5970278382301331
56,potted plant,1533,604,1609,652,0.7369118332862854
56,vase,1821,353,1876,454,0.7067589163780212
56,potted plant,1670,408,1715,439,0.5260950326919556
56,potted plant,576,239,618,270,0.6165693402290344
56,potted plant,1720,269,1790,413,0.5423640608787537
57,potted plant,1535,605,1602,653,0.7945989966392517
58,potted plant,1524,606,1602,654,0.6020064353942871
59,potted plant,1503,584,1596,649,0.5759665369987488
64,vase,1819,352,1873,459,0.5861936211585999
65,potted plant,1496,598,1562,652,0.5455648303031921
65,potted plant,1471,567,1529,649,0.734437882900238
65,vase,1819,352,1873,459,0.6790471076965332
66,vase,1819,352,1872,457,0.8367453217506409
67,potted plant,1485,593,1549,651,0.5949560403823853
67,potted plant,1454,567,1501,629,0.529896080493927
67,vase,1820,353,1871,457,0.9470324516296387
67,potted plant,1720,269,1801,428,0.5362383127212524
69,vase,1819,353,1871,451,0.6955490708351135
70,vase,1818,352,1872,452,0.6085509061813354
71,potted plant,1422,567,1530,649,0.5939454436302185
71,vase,1816,353,1872,458,0.9386709928512573
72,vase,1816,354,1873,457,0.9574119448661804
73,vase,1817,354,1873,459,0.8117703795433044
74,vase,1821,355,1873,455,0.6679090261459351
78,vase,1820,353,1876,446,0.6322405338287354
79,vase,1820,353,1878,457,0.5019732713699341
80,vase,1822,355,1874,464,0.9212448596954346
81,vase,1823,355,1876,460,0.6719034314155579
82,vase,1822,353,1875,459,0.5963963866233826
83,vase,1822,354,1875,459,0.7534724473953247
84,vase,1822,355,1874,459,0.6606823801994324
85,vase,1822,355,1875,460,0.5615613460540771
86,vase,1823,355,1874,459,0.7098199129104614
97,cup,1325,581,1351,621,0.5134343504905701
98,potted plant,1327,581,1400,636,0.550317645072937
102,bowl,1308,586,1379,634,0.5493486523628235
102,cup,1297,581,1316,615,0.5257362127304077
118,vase,1823,356,1873,460,0.5062028169631958
127,vase,1822,355,1873,463,0.5713652968406677
128,vase,1821,355,1873,462,0.5692050457000732
129,vase,1821,356,1874,462,0.5393613576889038
131,vase,1821,356,1875,461,0.5046513676643372
134,vase,1823,355,1874,461,0.583442211151123
135,potted plant,1830,157,1884,209,0.5200037956237793
142,vase,1823,355,1874,458,0.5558189749717712
142,potted plant,1087,573,1176,621,0.5758376121520996
144,vase,1821,353,1873,457,0.5227048397064209
152,potted plant,910,339,952,369,0.5224034786224365
156,potted plant,1021,567,1104,616,0.6963056921958923
170,potted plant,1051,339,1093,373,0.5573626756668091
171,potted plant,1060,340,1104,375,0.7031607031822205
176,potted plant,1099,341,1140,375,0.616519033908844
179,potted plant,1122,343,1164,377,0.6571480631828308
179,potted plant,1247,213,1286,241,0.5827432870864868
180,potted plant,1130,342,1173,377,0.7173783183097839
181,potted plant,1257,212,1296,239,0.7272413969039917
181,potted plant,457,252,496,280,0.5190351605415344
181,potted plant,842,344,884,376,0.7359326481819153
181,potted plant,1139,342,1182,380,0.9206589460372925
182,potted plant,1147,344,1190,380,0.6348573565483093
182,potted plant,1263,213,1301,239,0.5304638743400574
184,potted plant,1160,343,1203,379,0.6920109391212463
185,potted plant,1169,343,1212,380,0.7591158747673035
240,potted plant,1199,357,1243,387,0.5821743607521057
256,potted plant,1721,272,1790,420,0.6984508633613586
261,potted plant,1726,273,1810,426,0.6982946395874023
266,traffic light,454,564,543,594,0.8488417267799377
279,traffic light,382,564,478,598,0.679121196269989
280,traffic light,379,564,475,600,0.7914717197418213
281,traffic light,373,564,470,602,0.7296915054321289
284,traffic light,367,565,452,598,0.5451525449752808
288,potted plant,1724,269,1793,418,0.6203891634941101
302,vase,1825,351,1882,448,0.5771014094352722
303,vase,1823,352,1881,457,0.5286529660224915
303,potted plant,1726,270,1793,417,0.6037107706069946
304,vase,1823,352,1878,456,0.870309591293335
305,vase,1823,351,1877,456,0.8474774360656738
306,vase,1823,350,1876,451,0.7132650017738342
307,vase,1823,352,1875,453,0.947043240070343
316,vase,1825,350,1880,452,0.7535815238952637
316,potted plant,1723,272,1789,414,0.7198572754859924
317,vase,1822,352,1877,466,0.9310445189476013
317,potted plant,1722,273,1788,416,0.8688015937805176
318,vase,1822,352,1877,465,0.885614812374115
318,potted plant,1723,274,1790,417,0.810340404510498
319,vase,1824,352,1878,455,0.9267198443412781
319,potted plant,1725,274,1795,420,0.6890398263931274
320,vase,1823,353,1878,455,0.8396692276000977
320,potted plant,1725,274,1794,418,0.7158856987953186
321,vase,1823,353,1875,457,0.7450414299964905
321,potted plant,1726,275,1794,417,0.6682887673377991
322,vase,1821,350,1875,456,0.6447315812110901
322,potted plant,1727,275,1796,419,0.6941567659378052
323,vase,1822,349,1876,456,0.6495747566223145
323,potted plant,1727,274,1800,418,0.7612937092781067
324,vase,1822,351,1876,455,0.7193282246589661
324,potted plant,1726,274,1807,423,0.8765205144882202
325,traffic light,165,573,266,620,0.8920351266860962
325,potted plant,1723,272,1808,423,0.542242169380188
328,vase,1824,350,1876,454,0.6465044617652893
329,vase,1823,350,1876,460,0.7977534532546997
330,vase,1822,350,1877,464,0.8153343200683594
349,potted plant,448,241,498,277,0.5102976560592651
350,potted plant,1696,409,1741,440,0.6676489114761353
355,potted plant,1718,273,1792,417,0.8145594000816345
356,potted plant,1719,273,1791,413,0.6865143179893494
357,potted plant,1721,272,1792,412,0.6812053918838501
358,potted plant,1721,273,1792,416,0.7866218686103821
359,vase,1822,352,1875,461,0.762739896774292
359,potted plant,1719,274,1791,418,0.8797929286956787
360,potted plant,1776,421,1820,452,0.5328451991081238
360,vase,1821,352,1876,461,0.7744872570037842
360,potted plant,1723,273,1797,421,0.7977283596992493
361,vase,1821,352,1876,457,0.5135520696640015
361,potted plant,1721,273,1795,416,0.7621584534645081
362,potted plant,1720,273,1797,418,0.753038763999939
363,potted plant,1816,353,1878,471,0.5250137448310852
363,potted plant,1725,274,1799,419,0.7261464595794678
364,potted plant,1815,353,1877,468,0.6339178085327148
364,potted plant,1723,273,1801,419,0.6911855340003967
365,potted plant,1821,352,1879,457,0.548350989818573
368,potted plant,1823,350,1881,454,0.56758052110672
370,vase,1825,351,1877,469,0.9701815843582153
371,vase,1822,352,1878,469,0.9574198126792908
482,potted plant,1727,273,1790,411,0.8536166548728943
483,potted plant,1726,274,1789,415,0.8913319706916809
484,potted plant,1728,273,1793,417,0.7651332020759583
494,vase,1823,350,1876,466,0.5482831597328186
549,potted plant,1724,269,1789,414,0.6129789352416992
550,potted plant,1726,270,1791,416,0.704515814781189
551,potted plant,1726,271,1792,416,0.6272193193435669
560,vase,1821,350,1877,465,0.5975470542907715
582,vase,1820,350,1877,456,0.5030076503753662
