frame_id,class_id,x1,y1,x2,y2,confidence
0,2,888,430,1016,601,0.8809597492218018
0,2,339,414,478,543,0.8604669570922852
0,2,531,112,588,166,0.7808602452278137
0,2,844,290,938,403,0.7645882368087769
0,2,163,1015,372,1078,0.7487281560897827
0,2,599,222,678,307,0.7072210907936096
0,2,424,125,488,179,0.6353119611740112
0,2,549,35,591,68,0.6251447200775146
0,2,599,7,632,35,0.5467270612716675
1,2,888,432,1016,602,0.9025229811668396
1,2,328,421,472,557,0.9024121761322021
1,2,843,292,940,404,0.8606563210487366
1,2,600,222,678,310,0.847055196762085
1,2,530,113,588,170,0.7891374230384827
1,2,548,36,590,69,0.6248767375946045
1,2,417,127,488,179,0.5605089664459229
1,2,600,7,631,35,0.5446531176567078
2,2,319,433,466,572,0.9079752564430237
2,2,886,433,1017,605,0.902797281742096
2,2,599,228,679,317,0.8515456914901733
2,2,844,293,940,407,0.8066960573196411
2,2,529,115,588,173,0.7972422242164612
2,2,549,38,591,71,0.6438407897949219
2,2,420,126,488,179,0.6145925521850586
2,2,601,8,632,37,0.5761955380439758
3,2,885,435,1019,607,0.8994965553283691
3,2,307,441,461,584,0.8796065449714661
3,2,846,295,941,410,0.8616286516189575
3,2,530,119,588,177,0.81754469871521
3,2,596,254,677,323,0.7606985569000244
3,2,420,122,488,179,0.7003991603851318
3,2,600,5,631,38,0.5523159503936768
3,2,548,40,590,73,0.5324723720550537
3,2,608,232,671,272,0.25761276483535767
4,2,886,437,1019,609,0.8994766473770142
4,2,297,452,452,599,0.8834198117256165
4,2,530,121,588,181,0.8158895373344421
4,2,595,240,679,330,0.7110395431518555
4,2,426,128,487,180,0.6367270946502686
4,2,845,297,941,412,0.5988218188285828
4,2,549,41,590,74,0.48846927285194397
4,2,601,7,632,38,0.4170495569705963
5,2,887,438,1019,613,0.9011468887329102
5,2,847,297,942,414,0.8656231164932251
5,2,286,464,446,616,0.8408941626548767
5,2,594,243,678,337,0.8386492133140564
5,2,529,126,589,186,0.8208640813827515
5,2,425,122,487,180,0.7138182520866394
5,2,602,12,634,41,0.6157329678535461
5,2,548,43,590,76,0.49469298124313354
6,2,887,440,1020,616,0.9096398949623108
6,2,274,475,440,633,0.8836387395858765
6,2,591,247,677,342,0.8578731417655945
6,2,528,129,588,190,0.8325421214103699
6,2,846,299,942,416,0.8226653337478638
6,2,425,122,487,180,0.7227598428726196
6,2,602,12,635,41,0.5811020731925964
6,2,547,44,592,79,0.4497390389442444
7,2,888,442,1020,618,0.9047232270240784
7,2,261,486,431,650,0.902603268623352
7,2,846,300,944,418,0.8483837246894836
7,2,528,131,588,193,0.8354408144950867
7,2,425,121,487,180,0.6850594282150269
7,2,588,259,676,350,0.6328797340393066
7,2,603,12,634,41,0.4994957745075226
7,2,548,45,591,81,0.46195435523986816
8,2,887,445,1020,622,0.9091323614120483
8,2,247,499,423,668,0.8918620944023132
8,2,526,135,589,199,0.8442822694778442
8,2,847,301,945,421,0.7924267053604126
8,2,425,120,487,180,0.6957518458366394
8,2,587,256,674,357,0.694479763507843
8,2,603,14,635,44,0.534538209438324
8,2,547,46,592,84,0.36920762062072754
9,2,888,446,1022,624,0.9045820236206055
9,2,235,511,415,687,0.8977805972099304
9,2,526,139,589,202,0.8485438823699951
9,2,848,303,945,422,0.7563778162002563
9,2,425,120,487,180,0.704058051109314
9,2,585,261,672,365,0.6489427089691162
9,2,548,49,592,86,0.6170410513877869
9,2,602,13,635,44,0.5786381363868713
10,2,889,448,1023,627,0.9062958359718323
10,2,220,526,406,707,0.8922477960586548
10,2,848,304,946,424,0.8622065782546997
10,2,524,142,588,207,0.8555341362953186
10,2,583,270,673,372,0.7457502484321594
10,2,426,119,487,180,0.6898761987686157
10,2,548,49,593,88,0.556571900844574
10,2,602,15,636,46,0.5076850652694702
11,2,889,451,1022,630,0.9054876565933228
11,2,204,539,397,726,0.8959218859672546
11,2,849,306,946,427,0.8539436459541321
11,2,523,147,588,212,0.8439620733261108
11,2,581,274,673,381,0.7581107020378113
11,2,547,51,593,90,0.655389666557312
11,2,427,120,487,181,0.6101390719413757
11,2,603,16,636,47,0.5351999402046204
