frame_id,class_id,x1,y1,x2,y2,confidence
0,2,630,238,670,268,0.5975661277770996
0,2,1753,394,1791,419,0.5635414719581604
0,2,1448,384,1486,413,0.5228215456008911
0,2,1278,613,1320,636,0.35572659969329834
0,2,462,253,498,280,0.35474997758865356
0,2,1110,227,1150,252,0.3531922399997711
0,2,98,580,139,604,0.31283459067344666
1,2,467,254,504,278,0.6372199654579163
1,2,635,236,676,267,0.6194397807121277
1,2,1270,613,1315,637,0.3909946084022522
1,2,1117,227,1157,252,0.3386484384536743
1,2,280,270,321,297,0.33799007534980774
1,2,92,581,132,605,0.3057507574558258
1,2,1457,386,1494,413,0.294770747423172
2,2,473,252,509,278,0.5506316423416138
2,2,642,235,681,266,0.42108282446861267
2,2,83,581,124,605,0.3462541401386261
2,2,1265,611,1308,636,0.34498265385627747
2,2,284,270,327,296,0.34270963072776794
2,2,1771,395,1805,422,0.3136981129646301
2,2,1320,562,1362,590,0.28243210911750793
2,2,1122,226,1162,251,0.27402645349502563
3,2,1778,395,1812,423,0.5383431315422058
3,2,477,249,515,278,0.5225557684898376
3,2,646,234,687,265,0.37018290162086487
3,2,76,582,116,606,0.36981478333473206
3,7,1704,413,1752,448,0.36138081550598145
3,2,1128,226,1167,250,0.3285630941390991
3,2,289,269,332,296,0.3208782374858856
3,2,1472,386,1510,416,0.2903156876564026
4,2,482,248,518,278,0.37245839834213257
4,2,272,605,312,630,0.368981271982193
4,2,1785,398,1822,425,0.35591718554496765
4,2,70,582,109,606,0.35249167680740356
4,2,652,236,693,266,0.26493534445762634
5,2,1249,607,1290,634,0.4257565438747406
5,2,1625,205,1659,234,0.4049398601055145
5,2,267,605,306,629,0.3822736442089081
5,2,65,583,102,607,0.3661031424999237
5,2,1793,398,1831,426,0.3640177249908447
5,2,1892,619,1919,647,0.3539193570613861
5,2,488,247,526,276,0.3417251408100128
5,7,1720,414,1766,448,0.27311331033706665
5,2,1721,413,1767,450,0.25222715735435486
6,2,1244,608,1286,634,0.5961730480194092
6,2,493,242,534,275,0.570525050163269
6,2,1631,205,1666,233,0.47543999552726746
6,2,1294,563,1332,587,0.41041770577430725
6,2,663,236,704,265,0.40978625416755676
6,2,260,605,300,630,0.3025512397289276
6,2,0,307,14,333,0.2860422432422638
6,2,1884,620,1919,648,0.27869004011154175
6,2,1145,226,1184,250,0.27621152997016907
6,2,1259,368,1300,396,0.2640773057937622
7,2,498,241,536,274,0.6026445031166077
7,2,0,307,19,334,0.5484656691551208
7,2,1149,225,1189,250,0.42873457074165344
7,2,668,236,709,262,0.41376328468322754
7,2,1878,618,1918,647,0.3998425006866455
7,2,1039,204,1073,229,0.37524935603141785
7,2,1239,608,1281,634,0.3745364546775818
7,2,1268,369,1308,396,0.35552293062210083
7,2,256,606,295,630,0.3116506338119507
7,2,311,268,353,294,0.27663689851760864
8,2,503,242,540,274,0.6309163570404053
8,2,674,235,715,263,0.5576648712158203
8,2,1045,203,1079,229,0.5156872868537903
8,2,0,307,22,334,0.4735293388366699
8,2,1870,618,1913,645,0.4263642728328705
8,2,1155,225,1195,249,0.3543597459793091
8,2,1230,609,1277,634,0.353132963180542
8,2,245,606,289,630,0.3206714987754822
9,2,506,240,547,273,0.6105777621269226
9,2,1049,204,1084,229,0.5564650297164917
9,2,679,233,721,262,0.5155615210533142
9,2,0,305,27,333,0.48950615525245667
9,2,33,583,75,609,0.3973863124847412
9,2,1648,204,1683,231,0.30317240953445435
9,2,1863,618,1901,645,0.2910221815109253
9,2,242,606,284,628,0.2894715368747711
9,2,1225,608,1270,633,0.2631594240665436
10,2,513,241,552,273,0.5775212049484253
10,2,685,232,726,262,0.534109890460968
10,2,0,304,31,334,0.48527857661247253
10,2,237,605,276,628,0.2912081480026245
10,2,1652,204,1688,230,0.2795967757701874
10,2,1053,202,1091,229,0.27267035841941833
11,2,518,241,556,272,0.6050641536712646
11,2,0,304,36,333,0.4968889355659485
11,2,689,233,731,261,0.4834245443344116
11,2,1063,206,1097,229,0.41142791509628296
11,2,1659,203,1694,231,0.2820024788379669
12,2,525,242,562,271,0.638534426689148
12,2,14,586,53,610,0.47262829542160034
12,2,1,305,42,334,0.4363701045513153
12,2,1068,205,1103,230,0.41373109817504883
12,2,1813,172,1856,206,0.3203638792037964
12,2,695,232,736,261,0.319282203912735
12,2,1664,203,1700,231,0.30439674854278564
12,2,1773,425,1820,457,0.29285019636154175
13,2,530,240,567,270,0.6632364392280579
13,2,1073,206,1109,228,0.4658767879009247
13,2,702,232,741,261,0.4603798985481262
13,2,6,303,44,334,0.3299417793750763
13,2,1205,607,1247,631,0.3132311999797821
13,2,5,587,45,612,0.28177717328071594
13,2,1549,396,1587,422,0.26095059514045715
14,2,535,242,572,270,0.4788481891155243
14,2,707,232,747,260,0.45225048065185547
14,2,1675,201,1710,230,0.40078508853912354
14,2,0,587,40,613,0.3591143488883972
14,2,12,301,52,332,0.343587726354599
14,2,1080,202,1115,228,0.25960302352905273
15,2,540,241,579,269,0.5323560833930969
15,2,13,301,55,330,0.43595030903816223
15,2,711,232,753,260,0.42183998227119446
15,2,1086,204,1122,227,0.35610854625701904
15,2,1681,201,1716,230,0.35405629873275757
15,2,1196,224,1234,249,0.3028098940849304
15,2,1825,170,1869,204,0.3020704984664917
15,2,1226,552,1266,581,0.25329169631004333
16,2,16,300,60,330,0.5917946696281433
16,2,1092,202,1128,227,0.49554765224456787
16,2,1200,224,1240,248,0.4673870801925659
16,2,1901,681,1919,704,0.3965427577495575
16,2,547,241,584,269,0.3904050290584564
16,2,1219,553,1260,581,0.33000314235687256
16,2,716,232,759,259,0.30509182810783386
16,2,1686,201,1722,229,0.28605180978775024
16,2,1188,607,1230,631,0.27342525124549866
17,2,19,300,64,330,0.6888430714607239
17,2,1098,203,1134,226,0.49182820320129395
17,2,1182,604,1226,630,0.4149622619152069
17,2,1894,681,1919,704,0.36174914240837097
17,2,1807,609,1848,637,0.33227527141571045
17,2,1206,223,1244,248,0.2949010133743286
17,2,1352,375,1392,403,0.2643604278564453
17,2,1691,201,1726,229,0.26421186327934265
17,2,1211,552,1251,580,0.2600591778755188
18,2,26,299,68,330,0.49010616540908813
18,2,1892,680,1919,705,0.3515080213546753
18,2,1837,168,1882,202,0.2781602740287781
18,2,1212,223,1251,248,0.27188464999198914
18,2,1697,201,1733,228,0.259389728307724
18,2,1893,414,1919,439,0.25748565793037415
19,2,1885,680,1919,705,0.44871407747268677
19,2,1703,200,1738,227,0.4132942259311676
19,2,34,300,74,329,0.33946675062179565
19,2,563,242,599,267,0.33310946822166443
19,2,1171,604,1216,630,0.31614530086517334
19,2,1843,168,1885,201,0.28833264112472534
19,2,1901,415,1919,437,0.25919944047927856
20,2,1881,680,1917,705,0.4628438651561737
20,2,1709,200,1743,226,0.44771918654441833
20,2,380,259,422,286,0.43311625719070435
20,2,36,298,78,329,0.29985126852989197
20,2,569,242,606,266,0.2701777219772339
21,2,41,298,82,327,0.5564814805984497
21,2,387,258,427,286,0.4754902124404907
21,2,1878,682,1910,706,0.3597100079059601
21,2,1182,550,1224,579,0.2715883255004883
21,2,1713,199,1748,226,0.2707303762435913
22,2,45,296,89,326,0.6481001377105713
22,2,392,258,433,285,0.5654093623161316
22,2,1872,680,1906,704,0.3855538070201874
22,2,1718,200,1754,227,0.3719625473022461
22,2,579,239,616,265,0.3686162829399109
22,2,1774,604,1812,632,0.25840145349502563
22,2,751,231,792,259,0.2570178806781769
23,2,397,257,438,283,0.6224972009658813
23,2,1724,199,1759,226,0.5512894988059998
23,2,49,294,91,326,0.5455361008644104
23,2,757,231,798,258,0.3756245970726013
23,2,584,239,621,265,0.35161256790161133
23,2,1868,679,1902,704,0.3337389826774597
24,2,401,256,444,284,0.5376225113868713
24,2,52,295,95,327,0.4693053066730499
24,2,1862,677,1897,704,0.46449923515319824
24,2,589,236,626,265,0.4179114103317261
24,2,762,230,803,258,0.4109118580818176
24,2,1729,199,1764,225,0.3881570100784302
24,2,1245,222,1284,247,0.3753381073474884
24,2,1142,199,1176,223,0.2992509603500366
25,2,595,236,633,264,0.5177256464958191
25,2,1250,222,1290,246,0.5107314586639404
25,2,408,256,449,282,0.4419366419315338
25,2,1858,676,1894,704,0.42681169509887695
25,2,1735,198,1770,225,0.41134822368621826
25,2,1867,165,1912,200,0.4019520878791809
25,2,57,292,101,325,0.32974255084991455
