frame_id,vehicle_id,x1,y1,x2,y2
2,1,315,431,468,570
2,3,523,114,589,175
2,4,593,2,635,36
2,5,886,435,1013,609
2,6,419,116,489,177
2,7,545,32,589,68
2,8,598,228,678,314
2,9,837,289,943,407
3,1,305,445,459,585
3,3,523,118,588,179
3,4,593,3,636,37
3,5,887,436,1015,611
3,6,418,116,489,177
3,7,544,32,590,70
3,8,597,234,679,320
3,9,838,290,943,408
4,1,293,454,455,602
4,3,523,120,589,183
4,4,593,4,635,38
4,5,886,437,1014,613
4,6,418,116,489,178
4,7,543,33,590,73
4,8,595,238,679,327
4,9,839,292,944,409
5,1,281,466,447,617
5,3,521,123,590,187
5,4,593,5,636,40
5,5,886,440,1015,617
5,6,418,116,490,178
5,7,542,35,591,76
5,8,593,243,678,333
5,9,840,295,944,412
6,1,271,477,442,633
6,3,520,124,591,191
6,4,593,5,637,41
6,5,886,440,1016,618
6,6,418,117,490,179
6,7,541,36,591,78
6,8,591,249,676,339
6,9,840,298,944,414
7,1,258,489,434,650
7,3,521,128,591,195
7,4,594,6,637,41
7,5,886,442,1017,620
7,6,418,117,489,178
7,7,541,37,592,79
7,8,589,255,676,347
7,9,840,300,944,415
8,1,246,501,428,666
8,3,520,132,590,199
8,4,595,7,637,42
8,5,886,443,1018,623
8,6,418,117,490,179
8,7,541,38,592,81
8,8,587,259,675,353
8,9,841,301,946,419
9,1,230,515,419,686
9,3,520,136,590,203
9,4,596,8,637,42
9,5,887,446,1019,627
9,6,417,117,490,179
9,7,539,40,590,83
9,8,584,266,673,360
9,9,842,303,946,421
10,1,217,529,410,704
10,3,519,140,590,209
10,4,598,10,637,42
10,5,887,448,1021,632
10,6,417,117,489,179
10,7,539,42,589,84
10,8,580,272,673,369
10,9,842,304,949,425
11,1,201,542,402,724
11,3,518,144,590,214
11,4,598,12,636,42
11,5,887,450,1024,637
11,6,418,117,490,179
11,7,541,47,591,88
11,8,578,277,673,378
11,9,843,306,949,427
12,1,184,556,393,744
12,3,518,148,588,216
12,4,597,12,636,43
12,5,886,451,1024,640
12,6,417,117,490,179
12,7,540,50,590,91
12,8,575,284,672,386
12,9,843,308,949,429
13,1,167,572,382,765
13,3,516,151,587,220
13,4,597,12,636,44
13,5,886,452,1024,642
13,6,418,117,491,180
13,7,540,52,591,94
13,8,572,291,672,395
13,9,844,310,950,431
14,1,148,589,371,789
14,3,516,157,586,224
14,4,599,17,638,48
14,5,886,455,1024,645
14,6,418,117,490,180
14,7,539,53,592,96
14,8,570,299,670,403
14,9,846,311,951,433
15,1,128,606,358,812
15,3,515,160,585,228
15,4,598,17,639,49
15,5,885,457,1024,648
15,6,418,117,491,180
15,7,538,55,592,99
15,8,565,308,667,413
15,9,847,312,952,434
16,1,107,624,345,838
16,3,514,165,585,234
16,4,599,20,638,51
16,5,886,459,1024,649
16,6,418,117,490,179
16,7,538,56,593,101
16,8,559,311,668,423
16,9,848,314,953,437
17,1,85,641,334,864
17,3,513,169,585,240
17,4,597,21,638,54
17,5,887,463,1025,652
17,6,418,117,490,179
17,7,538,58,594,104
17,8,554,322,664,435
17,9,849,319,952,439
18,1,64,660,322,891
18,3,511,173,585,245
18,4,596,22,639,57
18,5,888,465,1026,654
18,6,417,116,490,179
18,7,537,59,595,107
18,8,553,337,657,443
18,9,850,321,953,442
19,1,42,680,308,920
19,3,509,177,585,251
19,4,595,23,640,60
19,5,889,468,1026,655
19,6,417,116,490,179
19,7,537,62,595,110
19,8,552,351,654,455
19,9,852,323,953,444
20,1,16,701,293,951
20,3,506,181,585,259
20,4,597,25,643,62
20,5,889,470,1025,658
20,6,418,116,490,179
20,7,536,64,595,113
20,8,545,354,653,463
20,9,852,324,955,446
21,1,0,723,281,983
21,3,505,189,581,264
21,4,597,25,644,63
21,5,889,472,1025,659
21,6,417,116,490,180
21,7,536,66,595,116
21,8,542,370,646,473
21,9,852,326,955,448
22,1,0,745,275,1020
22,3,505,193,582,268
22,4,598,26,644,64
22,5,888,472,1027,663
22,6,418,116,491,180
22,7,537,68,596,118
22,8,536,376,646,486
22,9,850,326,956,452
23,1,0,769,270,1056
23,3,503,196,583,274
23,4,598,27,646,66
23,5,888,474,1027,666
23,6,418,116,491,181
23,7,537,70,596,120
23,8,533,390,641,497
23,9,851,329,956,455
24,1,0,793,257,1076
24,3,500,202,581,280
24,4,599,28,647,68
24,5,888,476,1027,667
24,6,418,117,491,180
24,7,536,70,599,123
24,8,526,395,642,510
24,9,853,333,956,458
25,1,0,821,233,1079
25,3,496,206,578,287
25,4,598,28,649,71
