frame_id,vehicle_id,x1,y1,x2,y2
2,1,887,434,1012,607
2,2,320,433,464,570
2,3,413,118,484,181
2,4,522,114,587,172
2,5,589,3,628,35
2,6,544,33,591,65
2,7,595,230,671,317
2,8,840,296,939,410
2,9,475,48,510,89
3,1,886,434,1013,610
3,2,311,445,457,583
3,3,413,118,485,181
3,4,521,119,586,177
3,5,590,3,628,35
3,6,542,33,592,68
3,7,594,233,672,322
3,8,841,298,940,412
3,9,476,50,508,88
4,1,886,435,1013,612
4,2,301,455,453,599
4,3,414,118,485,181
4,4,520,122,586,181
4,5,591,4,629,35
4,6,540,33,592,70
4,7,594,239,673,329
4,8,841,299,941,415
4,9,476,52,507,88
5,1,886,438,1013,615
5,2,290,466,448,615
5,3,415,118,485,181
5,4,520,124,586,183
5,5,591,4,630,36
5,6,540,36,592,72
5,7,592,245,672,336
5,8,842,301,941,416
5,9,478,50,514,92
6,1,887,440,1014,617
6,2,277,477,440,631
6,3,415,118,486,181
6,4,520,127,586,187
6,5,592,5,631,36
6,6,541,38,592,73
6,7,589,250,671,342
6,8,844,302,942,417
6,9,479,51,514,92
7,1,887,442,1015,619
7,2,264,489,432,648
7,3,415,118,486,181
7,4,519,131,585,191
7,5,592,6,630,37
7,6,541,39,593,75
7,7,587,254,671,349
7,8,845,303,945,419
7,9,480,52,514,91
8,1,888,444,1015,621
8,2,251,503,426,668
8,3,415,118,486,181
8,4,519,134,583,192
8,5,592,10,629,41
8,6,539,41,593,78
8,7,583,259,669,355
8,8,845,304,944,421
8,9,479,52,515,94
9,1,890,448,1016,624
9,2,237,516,420,688
9,3,415,119,486,181
9,4,519,138,584,197
9,5,595,12,631,41
9,6,537,43,592,82
9,7,579,264,667,362
9,8,845,306,945,423
9,9,480,53,516,95
10,1,891,452,1017,627
10,2,221,529,412,708
10,3,415,119,486,181
10,4,519,143,585,202
10,5,596,14,631,43
10,6,537,45,591,84
10,7,577,272,666,371
10,8,844,306,946,427
10,9,479,51,518,95
11,1,890,454,1018,631
11,2,207,544,403,728
11,3,416,119,487,181
11,4,518,148,585,208
11,5,595,17,631,46
11,6,536,47,591,86
11,7,575,279,665,378
11,8,845,306,947,429
11,9,480,51,519,96
12,1,889,455,1019,636
12,2,190,560,392,748
12,3,416,119,487,182
12,4,517,152,585,213
12,5,595,19,630,47
12,6,537,49,590,88
12,7,573,284,664,384
12,8,845,307,947,430
12,9,480,52,518,96
13,1,888,457,1021,643
13,2,173,577,382,771
13,3,415,119,486,182
13,4,516,156,585,217
13,5,595,20,630,48
13,6,537,50,592,90
13,7,570,291,663,393
13,8,847,309,948,431
13,9,480,53,518,96
13,12,733,284,823,424
14,1,889,460,1023,648
14,2,155,594,370,792
14,3,416,119,487,181
14,4,515,158,585,222
14,5,595,22,630,50
14,6,538,52,592,92
14,7,566,297,663,403
14,8,848,310,949,432
14,9,480,54,519,98
14,12,728,279,826,431
15,1,888,460,1024,653
15,2,137,610,357,814
15,3,416,119,486,181
15,4,513,162,586,227
15,5,593,22,631,51
15,6,539,53,594,94
15,7,562,302,663,412
15,8,848,311,950,434
15,9,479,54,519,100
15,12,729,278,828,434
16,1,888,462,1025,655
16,2,117,630,346,841
16,3,416,119,487,181
16,4,511,166,584,232
16,5,593,22,632,52
16,6,538,55,595,97
16,7,558,307,664,421
16,8,850,314,951,437
16,9,477,54,517,100
16,12,728,277,830,438
17,1,889,465,1024,655
17,2,93,647,334,868
17,3,416,119,487,182
17,4,509,170,582,236
17,5,594,23,632,53
17,6,539,57,594,99
17,7,555,314,663,430
17,8,851,318,951,439
17,9,476,56,515,100
17,12,727,276,832,441
18,1,890,466,1024,657
18,2,69,663,321,896
18,3,416,120,487,181
18,4,508,174,581,241
18,5,595,24,633,54
18,6,539,59,595,103
18,7,553,320,661,438
18,8,851,320,951,441
18,9,476,56,514,100
18,13,590,7,624,33
19,1,891,468,1025,658
19,2,45,684,308,926
19,3,415,120,486,182
19,4,506,178,580,246
19,5,596,25,634,55
19,6,537,62,595,106
19,7,549,328,660,448
19,8,851,322,952,445
19,9,475,58,514,101
19,13,593,7,625,31
20,1,891,470,1025,660
20,2,19,703,295,958
20,3,415,120,486,182
20,4,505,184,583,255
20,5,598,25,638,56
20,6,536,63,594,108
20,7,544,337,658,460
20,8,851,322,953,447
20,9,476,58,515,102
21,1,891,471,1026,663
21,2,0,724,283,990
21,3,415,120,486,182
21,4,503,191,582,263
21,5,600,25,640,57
21,6,536,65,594,110
21,7,538,341,657,471
21,8,852,324,955,450
21,9,476,58,517,103
21,14,578,0,612,23
22,1,891,474,1026,666
22,2,0,745,276,1025
22,3,415,120,485,182
22,4,502,195,582,268
22,5,600,26,640,58
22,6,537,67,593,111
22,7,532,347,654,482
22,8,854,328,955,453
