frame_id,vehicle_id,x1,y1,x2,y2
2,1,401,118,503,187
2,2,570,227,697,325
2,3,522,34,593,75
2,4,569,0,622,40
2,5,803,290,963,423
2,6,850,429,1044,627
2,7,503,116,598,182
2,8,273,433,499,589
3,1,400,119,503,188
3,2,567,233,698,333
3,3,523,37,592,78
3,4,570,1,623,41
3,5,803,291,965,426
3,6,849,430,1043,628
3,7,503,118,599,186
3,8,263,441,498,602
4,1,401,118,503,188
4,2,568,238,701,340
4,3,522,38,593,80
4,4,571,2,624,41
4,5,804,292,966,427
4,6,848,432,1041,630
4,7,501,119,601,190
4,8,254,451,493,614
5,1,401,119,503,188
5,2,566,245,702,349
5,3,521,40,595,84
5,4,571,1,627,43
5,5,804,294,967,430
5,6,849,436,1046,637
5,7,501,124,600,194
5,8,238,460,492,634
6,1,401,119,503,189
6,2,563,249,701,354
6,3,520,42,596,87
6,4,571,1,629,45
6,5,804,296,967,433
6,6,852,438,1049,640
6,7,499,128,599,199
6,8,223,472,485,650
7,1,401,119,504,189
7,2,558,251,703,362
7,3,519,44,596,90
7,4,571,1,630,46
7,5,805,297,969,436
7,6,856,439,1051,640
7,7,498,131,598,203
7,8,215,486,478,665
8,1,401,119,504,189
8,2,556,258,704,370
8,3,519,45,597,92
8,4,571,3,630,47
8,5,807,298,972,439
8,6,854,439,1053,644
8,7,496,134,599,207
8,8,196,494,475,683
9,1,401,120,504,189
9,2,555,265,700,375
9,3,518,46,597,93
9,4,574,6,629,47
9,5,809,301,972,441
9,6,852,439,1057,652
9,7,495,136,599,211
9,8,172,508,466,704
10,1,402,120,505,189
10,2,549,268,701,383
10,3,519,47,597,95
10,4,576,9,630,48
10,5,812,302,974,443
10,6,851,438,1062,658
10,7,494,139,600,216
10,8,152,517,462,723
11,1,402,120,505,190
11,2,547,275,702,393
11,3,519,49,597,97
11,4,577,10,631,49
11,5,812,304,973,445
11,6,854,443,1057,656
11,7,497,146,604,224
11,8,133,532,453,742
12,1,402,121,504,190
12,2,546,283,701,401
12,3,519,51,598,99
12,4,578,12,631,51
12,5,812,305,972,447
12,6,857,445,1055,653
12,7,498,151,603,228
12,8,115,547,444,763
13,1,402,121,504,190
13,2,543,288,699,408
13,3,518,51,599,101
13,4,577,13,631,52
13,5,814,307,973,449
13,6,858,445,1054,651
13,7,497,154,602,231
13,8,100,564,434,781
14,1,402,121,504,191
14,2,539,294,701,419
14,3,516,53,599,103
14,4,576,15,631,54
14,5,815,308,974,450
14,6,855,447,1053,655
14,7,495,158,603,236
14,8,83,582,430,806
15,1,402,121,504,191
15,2,537,303,696,425
15,3,517,55,598,104
15,4,574,15,631,55
15,5,815,308,973,452
15,6,853,451,1052,660
15,7,494,162,602,241
15,8,56,598,416,829
16,1,401,121,504,191
16,2,531,310,693,435
16,3,516,56,598,106
16,4,574,16,632,56
16,5,814,308,977,458
16,6,855,453,1053,660
16,7,491,165,603,246
16,8,27,615,413,861
17,1,401,122,504,192
17,2,527,317,693,444
17,3,517,59,600,109
17,4,575,18,633,58
17,5,814,308,978,461
17,6,852,454,1056,667
17,7,489,169,604,253
