frame_id,vehicle_id,x1,y1,x2,y2
2,1,316,432,468,571
2,2,598,229,679,314
2,3,887,435,1013,610
2,4,524,115,589,176
2,5,838,290,943,407
2,6,546,32,589,68
2,7,419,116,489,177
2,8,593,3,635,36
3,1,306,445,460,586
3,2,598,234,679,320
3,3,887,437,1015,612
3,4,523,118,588,180
3,5,839,291,943,408
3,6,545,33,590,71
3,7,419,117,489,178
3,8,594,4,635,38
4,1,293,455,455,602
4,2,595,239,679,328
4,3,887,438,1014,613
4,4,523,121,589,183
4,5,840,293,944,410
4,6,544,34,591,73
4,7,419,117,489,178
4,8,594,5,635,38
5,1,282,466,448,617
5,2,594,244,678,333
5,3,887,440,1016,617
5,4,522,123,590,187
5,5,841,296,944,413
5,6,543,35,591,76
5,7,419,117,490,179
5,8,593,5,637,40
6,1,272,478,442,633
6,2,592,250,677,340
6,3,886,440,1016,619
6,4,521,125,592,191
6,5,842,299,944,414
6,6,542,36,591,78
6,7,419,117,491,179
6,8,594,6,637,41
7,1,258,490,435,650
7,2,589,255,677,348
7,3,887,443,1017,621
7,4,521,128,591,195
7,5,841,300,944,416
7,6,542,37,592,79
7,7,418,117,489,179
7,8,595,7,637,41
8,1,246,502,428,667
8,2,587,260,676,353
8,3,887,444,1018,624
8,4,521,133,590,199
8,5,842,302,946,419
8,6,542,39,592,81
8,7,419,117,490,179
8,8,595,8,637,42
9,1,231,516,420,686
9,2,585,266,674,360
9,3,888,446,1019,627
9,4,520,137,590,204
9,5,842,303,947,422
9,6,540,41,590,84
9,7,418,117,490,180
9,8,596,9,637,42
10,1,217,530,411,704
10,2,581,272,674,370
10,3,888,449,1021,633
10,4,519,140,591,209
10,5,843,305,949,425
10,6,540,43,590,85
10,7,418,117,490,180
10,8,598,11,637,42
11,1,201,543,403,724
11,2,578,278,673,378
11,3,888,450,1024,637
11,4,518,144,591,214
11,5,843,307,949,428
11,6,542,47,591,89
11,7,419,117,490,179
11,8,598,13,636,43
12,1,184,557,393,744
12,2,575,285,673,387
12,3,887,452,1024,640
12,4,518,148,589,217
12,5,844,309,949,429
12,6,541,50,591,91
12,7,418,117,490,180
12,8,597,13,637,44
13,1,167,572,382,766
13,2,573,291,672,395
13,3,887,453,1025,643
13,4,516,151,588,220
13,5,845,310,950,432
13,6,541,52,591,94
13,7,418,117,491,180
13,8,597,13,637,44
14,1,148,589,371,790
14,2,570,299,671,404
14,3,886,456,1025,646
14,4,516,157,586,225
14,5,846,312,951,434
14,6,540,54,592,97
14,7,419,118,491,180
14,8,599,17,638,48
15,1,128,606,359,813
15,2,565,309,667,414
15,3,886,458,1025,649
15,4,515,160,586,229
15,5,848,313,953,435
15,6,539,55,593,100
15,7,419,117,491,180
15,8,599,18,639,50
16,1,107,625,346,839
16,2,560,311,669,423
16,3,887,460,1025,650
16,4,514,165,586,234
16,5,848,315,953,437
16,6,538,56,593,102
16,7,419,117,491,180
16,8,600,20,639,52
17,1,86,642,335,865
17,2,555,322,665,435
17,3,888,463,1025,653
17,4,513,170,586,240
17,5,850,319,953,440
17,6,538,58,594,105
17,7,419,117,490,180
17,8,598,21,639,54
18,1,65,660,322,891
18,2,554,337,658,444
18,3,889,465,1026,655
18,4,511,173,586,246
18,5,851,322,953,442
18,6,537,59,595,108
18,7,418,117,490,179
18,8,597,22,640,57
19,1,43,681,309,921
19,2,552,351,655,455
19,3,890,468,1026,656
19,4,509,177,585,252
19,5,852,324,954,444
19,6,537,62,595,111
19,7,418,116,490,180
19,8,596,24,641,60
19,12,567,324,666,394
20,1,17,701,294,951
20,2,546,355,654,464
20,3,890,471,1026,658
20,4,506,181,586,259
20,5,853,325,955,446
20,6,536,64,595,114
20,7,418,117,491,180
20,8,598,25,643,62
20,12,567,333,663,400
21,1,0,723,281,984
21,2,543,370,647,474
21,3,889,472,1026,660
21,4,505,189,582,264
21,5,852,326,955,449
21,6,536,67,595,116
21,7,418,117,491,180
21,8,598,25,644,63
21,12,562,342,651,405
22,1,0,746,275,1021
22,2,537,377,647,487
22,3,889,473,1027,663
22,4,505,193,583,269
22,5,851,327,956,453
22,6,538,69,596,118
