frame_id,vehicle_id,x1,y1,x2,y2
626,3,1706,617,1824,685
627,3,1704,617,1822,686
630,3,1688,620,1796,682
631,3,1681,620,1791,683
634,3,1675,620,1784,683
699,4,1306,580,1439,644
700,4,1299,580,1427,642
701,4,1291,578,1420,640
702,4,1283,575,1415,639
703,4,1274,573,1411,640
704,4,1269,573,1407,641
706,4,1262,573,1400,641
707,4,1252,571,1395,643
708,4,1246,570,1389,643
709,4,1240,568,1380,641
710,4,1237,569,1374,641
711,4,1232,568,1369,641
712,4,1229,568,1362,640
713,4,1227,569,1355,639
714,4,1217,564,1352,639
715,4,1213,565,1344,638
716,4,1208,565,1337,637
717,4,1199,560,1333,636
718,4,1194,559,1329,637
719,4,1188,557,1323,636
720,4,1184,557,1316,635
721,4,1183,561,1307,635
722,4,1177,560,1301,634
723,4,1176,565,1292,633
724,4,1167,560,1291,633
725,4,1166,564,1279,631
726,4,1160,563,1273,630
729,4,1149,570,1253,631
730,4,1143,571,1245,630
732,4,1131,572,1231,630
733,4,1124,572,1226,630
734,4,1120,570,1224,628
735,4,1116,571,1220,629
736,4,1110,571,1216,630
737,4,1105,571,1212,630
738,4,1101,570,1208,629
739,4,1096,571,1202,628
740,4,1091,571,1196,627
741,4,1083,569,1190,626
742,4,1079,569,1186,625
743,4,1072,568,1181,625
744,4,1065,567,1176,625
745,4,1056,566,1172,627
746,4,1052,567,1163,626
747,4,1049,566,1158,623
748,4,1043,567,1152,624
749,4,1037,567,1147,623
750,4,1034,568,1143,623
751,4,1028,566,1143,625
752,4,1022,566,1137,625
753,4,1015,567,1129,625
754,4,1008,566,1123,625
755,4,1000,565,1118,626
756,4,992,562,1117,626
757,4,992,563,1109,623
758,4,987,563,1108,625
759,4,980,561,1101,623
760,4,975,561,1094,622
761,4,971,560,1089,620
762,4,964,561,1082,621
763,4,955,560,1076,622
764,4,954,562,1070,623
765,4,947,560,1066,623
766,4,948,563,1060,622
767,4,944,563,1053,620
768,4,938,563,1050,622
769,4,931,563,1043,622
770,4,926,564,1038,622
772,4,909,560,1029,623
773,4,903,559,1023,623
941,10,0,573,132,631
942,10,0,571,127,630
944,10,0,570,124,629
1523,15,5,326,61,391
1524,15,7,326,64,391
1525,15,9,325,69,392
1526,15,11,324,73,393
1527,15,13,324,76,391
1528,15,15,323,79,390
1529,15,16,322,84,390
1530,15,16,320,88,391
1531,15,15,319,92,391
1532,15,16,319,94,390
1533,15,17,321,98,391
1534,15,18,319,104,391
1535,15,20,319,110,391
1536,15,22,318,112,386
1537,15,23,318,117,386
1538,15,26,318,120,386
1541,16,4,317,158,387
1542,16,7,317,162,387
1543,16,13,316,170,387
1544,16,21,316,173,385
1545,16,24,314,180,385
1549,16,39,313,193,383
1550,16,44,312,202,383
1551,16,53,312,212,384
1552,16,59,311,219,384
1556,16,75,311,232,382
1568,16,83,310,239,381
1580,16,187,302,344,374
1583,16,211,304,355,368
1584,16,221,303,362,366
1586,16,233,302,373,365
