frame_id,vehicle_id,x1,y1,x2,y2
702,3,1287,580,1419,644
704,3,1279,579,1406,640
705,3,1273,578,1400,639
706,3,1264,576,1398,641
707,3,1258,575,1393,640
708,3,1250,574,1388,641
709,3,1246,574,1382,641
710,3,1240,572,1377,640
711,3,1234,571,1372,640
712,3,1233,572,1364,639
713,3,1233,573,1355,635
714,3,1227,573,1349,636
715,3,1221,573,1342,635
716,3,1216,574,1335,635
717,3,1205,572,1331,636
718,3,1199,572,1324,636
719,3,1194,571,1317,634
720,3,1191,571,1310,632
721,3,1187,572,1303,631
722,3,1182,572,1299,632
723,3,1177,573,1293,632
724,3,1172,573,1287,632
725,3,1163,572,1280,631
726,3,1158,570,1275,630
763,3,1152,570,1269,629
847,14,486,559,616,607
848,14,477,559,613,610
849,14,472,559,608,610
850,14,467,559,604,611
1523,17,5,323,63,392
1525,17,7,320,72,396
1526,17,9,318,76,396
1527,17,10,316,80,398
1537,19,13,313,130,394
1538,19,17,312,134,393
