frame_id,vehicle_id,x1,y1,x2,y2
2,1,569,563,623,595
2,2,449,249,515,282
2,3,1247,609,1317,638
2,4,1757,625,1888,688
2,5,607,236,684,272
2,6,265,268,337,301
2,7,1292,560,1362,593
3,1,562,562,617,595
3,2,456,248,522,281
3,3,1241,608,1313,638
3,4,1753,625,1884,688
3,5,614,236,690,272
3,6,266,266,339,300
3,7,1284,559,1359,594
4,1,555,562,611,595
4,2,461,247,529,281
4,3,1238,606,1312,637
4,4,1752,625,1877,685
4,5,622,236,695,271
4,6,270,266,343,300
4,7,1277,558,1353,594
4,9,1888,615,1908,656
5,1,549,563,605,595
5,2,467,246,537,281
5,3,1231,604,1309,637
5,4,1752,626,1871,683
5,5,627,236,700,270
5,6,276,267,349,300
5,7,1268,559,1344,594
5,9,1880,614,1902,657
6,1,541,563,595,595
6,2,474,245,544,280
6,3,1224,604,1303,637
6,4,1746,623,1868,681
6,5,634,235,707,270
6,6,283,267,355,300
6,7,1249,553,1320,585
6,9,1872,612,1897,656
7,1,533,562,588,595
7,2,477,243,550,280
7,3,1218,603,1297,637
7,4,1740,622,1866,682
7,5,639,233,716,270
7,6,288,266,359,299
7,7,1245,556,1318,589
7,9,1869,612,1895,652
8,1,528,563,584,596
8,2,481,243,554,280
8,3,1213,604,1288,636
8,4,1740,622,1860,679
8,5,645,233,720,268
8,6,294,266,365,299
8,7,1236,556,1315,591
8,9,1868,613,1893,648
8,15,6,302,32,342
9,1,522,563,579,596
9,2,484,242,558,280
9,3,1208,604,1281,635
9,4,1732,621,1856,680
9,5,650,233,723,268
9,6,300,266,370,298
9,7,1234,557,1314,592
9,9,1864,613,1889,647
9,15,10,301,37,340
10,1,515,562,574,597
10,2,490,242,561,278
10,3,1202,604,1275,635
10,4,1729,620,1852,679
10,5,655,233,727,267
10,6,306,265,375,297
10,7,1229,554,1310,590
10,15,13,302,39,339
11,1,511,562,569,596
11,2,497,243,566,277
11,3,1195,603,1270,635
11,5,662,232,733,266
11,6,311,264,379,296
11,7,1222,553,1305,591
11,15,15,302,42,338
12,1,505,562,563,596
12,2,500,241,572,277
12,3,1191,603,1265,635
12,5,669,232,739,265
12,6,316,264,384,295
12,7,1216,552,1299,590
12,15,16,300,45,336
13,1,499,563,554,596
13,2,507,241,576,276
13,3,1187,603,1259,633
13,4,1736,617,1843,668
13,5,674,231,747,266
13,6,321,263,390,295
13,7,1210,553,1291,589
13,15,17,298,50,336
13,17,1810,611,1884,644
14,1,493,563,548,596
14,2,514,241,581,275
14,3,1178,602,1251,633
14,4,1735,617,1839,666
14,5,682,231,754,265
14,6,329,262,398,295
14,7,1208,553,1286,589
14,15,17,297,53,335
