frame_id,vehicle_id,x1,y1,x2,y2
2,1,884,434,1015,606
2,2,842,293,939,408
2,3,599,7,630,36
2,4,549,37,587,72
2,5,429,117,486,179
2,6,529,116,589,174
2,7,597,227,677,317
2,8,320,430,464,568
3,1,885,436,1015,608
3,2,843,294,940,410
3,3,600,8,631,37
3,4,549,39,587,74
3,5,428,117,486,179
3,6,528,119,589,178
3,7,595,232,677,324
3,8,309,442,457,583
4,1,884,438,1016,611
4,2,843,296,941,412
4,3,600,9,631,38
4,4,549,41,587,76
4,5,428,117,486,180
4,6,527,123,589,183
4,7,592,237,677,331
4,8,298,452,451,598
5,1,885,440,1017,613
5,2,844,297,942,414
5,3,600,10,632,39
5,4,549,42,588,78
5,5,429,117,486,180
5,6,526,126,589,187
5,7,591,242,676,338
5,8,287,463,445,614
6,1,885,441,1018,615
6,2,845,299,943,416
6,3,601,11,632,40
6,4,549,44,588,80
6,5,429,118,486,180
6,6,525,129,589,191
6,7,589,247,676,345
6,8,274,475,438,631
7,1,886,443,1018,618
7,2,845,300,944,418
7,3,601,12,633,41
7,4,548,46,588,81
7,5,429,118,486,180
7,6,525,132,589,195
7,7,587,252,675,351
7,8,261,487,430,649
8,1,886,445,1019,620
8,2,846,302,945,420
8,3,601,13,633,43
8,4,548,47,588,83
8,5,429,118,486,180
8,6,524,135,589,199
8,7,585,257,675,358
8,8,247,499,423,667
9,1,886,447,1019,623
9,2,847,303,946,422
9,3,601,14,634,44
9,4,548,49,589,85
9,5,430,118,486,180
9,6,523,139,589,203
9,7,584,262,674,364
9,8,233,511,416,686
10,1,886,448,1020,625
10,2,848,305,946,424
10,3,601,14,635,45
10,4,548,50,589,87
10,5,430,118,486,180
10,6,523,142,589,208
10,7,582,267,674,371
10,8,219,523,408,705
11,1,887,450,1021,628
11,2,848,306,947,426
11,3,602,15,635,47
11,4,548,52,590,90
11,5,429,118,487,180
11,6,521,146,589,213
11,7,579,273,673,379
11,8,203,538,399,726
12,1,887,452,1022,631
12,2,849,308,948,429
12,3,602,17,635,48
12,4,548,54,590,92
12,5,430,118,487,180
12,6,520,150,588,218
12,7,576,279,671,388
12,8,185,553,389,749
13,1,887,454,1022,634
13,2,850,310,949,431
13,3,603,18,636,49
13,4,548,56,590,94
13,5,430,118,487,181
13,6,519,154,588,223
13,7,573,286,670,397
13,8,167,568,379,772
14,1,887,456,1023,637
14,2,850,311,949,433
14,3,603,19,636,50
14,4,547,58,591,97
14,5,430,119,487,181
14,6,518,159,587,228
14,7,570,293,669,406
14,8,149,584,368,794
15,1,887,458,1024,640
15,2,851,313,950,436
15,3,603,20,637,52
15,4,547,60,591,99
15,5,430,119,487,181
15,6,517,163,586,233
15,7,567,300,667,415
15,8,130,600,357,817
16,1,887,460,1025,643
16,2,851,315,950,438
16,3,603,21,638,53
16,4,547,62,591,102
16,5,430,119,487,181
16,6,515,167,586,238
16,7,563,306,666,425
16,8,109,617,345,844
17,1,887,462,1025,646
17,2,852,317,951,441
17,3,603,22,638,55
17,4,547,64,592,104
17,5,430,119,487,181
17,6,514,171,585,243
17,7,560,313,665,434
17,8,87,637,331,871
18,1,887,464,1026,649
18,2,852,319,952,443
18,3,603,23,639,56
18,4,546,66,592,107
18,5,430,119,487,181
18,6,513,175,585,248
18,7,557,320,663,443
18,8,65,656,318,900
19,1,887,466,1027,652
19,2,853,320,952,445
19,3,604,25,639,58
19,4,546,68,593,109
19,5,430,120,487,182
19,6,511,179,584,253
19,7,554,326,662,452
19,8,43,675,304,928
20,1,887,467,1028,655
20,2,854,322,953,448
20,3,604,26,639,59
20,4,547,71,593,112
20,5,431,120,487,182
20,6,510,184,584,259
20,7,550,333,660,461
20,8,20,695,290,956
21,1,888,469,1028,658
21,2,854,324,953,450
21,3,604,27,640,61
21,4,547,73,593,114
21,5,431,120,487,182
21,6,507,188,583,265
21,7,545,341,658,472
21,8,0,716,276,988
22,1,888,471,1029,661
22,2,854,326,954,453
22,3,604,29,641,62
22,4,546,75,594,117
22,5,431,120,487,182
22,6,505,193,582,271
22,7,540,348,656,484
22,8,0,740,269,1024
23,1,888,473,1030,664
23,2,854,327,954,455
23,3,605,30,641,64
23,4,546,78,594,120
23,5,430,120,488,182
23,6,503,197,580,277
23,7,535,357,654,496
23,8,0,763,260,1058
24,1,888,475,1031,667
