frame_id,vehicle_id,x1,y1,x2,y2
2,1,1787,631,1878,668
2,2,1692,409,1742,436
2,3,1119,224,1158,249
2,4,1266,608,1308,631
2,5,283,267,321,292
2,6,470,247,506,272
2,7,281,601,321,623
2,8,1765,174,1811,199
2,9,636,235,676,260
2,10,1004,204,1037,224
2,11,147,543,189,568
2,12,589,565,616,587
2,13,1767,391,1804,415
2,14,1463,386,1498,407
2,15,1605,204,1642,226
2,16,1225,363,1264,385
2,17,1320,558,1359,581
2,18,80,576,124,601
3,1,1783,631,1873,667
3,2,1702,411,1750,437
3,3,1124,223,1163,249
3,4,1260,608,1302,630
3,5,288,266,326,293
3,6,476,247,512,271
3,7,275,601,315,624
3,8,1769,173,1814,198
3,9,642,235,683,261
3,10,1010,204,1043,224
3,11,138,544,181,568
3,12,582,566,608,588
3,13,1773,392,1811,417
3,14,1472,387,1506,407
3,15,1610,204,1648,226
3,16,1232,363,1272,386
3,17,1313,559,1351,581
3,18,72,576,117,601
4,1,1779,631,1868,667
4,2,1710,412,1758,438
4,3,1130,223,1169,249
4,4,1254,607,1296,630
4,5,294,266,332,291
4,6,480,245,516,270
4,7,269,601,310,624
4,8,1774,171,1820,196
4,9,648,235,689,261
4,10,1017,204,1050,224
4,11,130,544,173,569
4,12,576,566,602,587
4,13,1781,393,1819,418
4,14,1479,387,1514,409
4,15,1616,203,1654,226
4,16,1240,364,1281,388
4,17,1305,557,1344,580
4,18,67,578,110,602
4,19,1905,619,1912,647
5,1,1774,630,1863,666
5,2,1718,412,1766,439
5,3,1136,223,1175,248
5,4,1247,606,1290,629
5,5,299,265,337,291
5,6,484,244,522,270
5,7,264,601,303,624
5,8,1778,170,1825,195
5,9,653,234,694,260
5,10,1022,203,1055,223
5,11,122,544,166,569
5,12,569,566,594,587
5,13,1788,395,1826,419
5,14,1486,388,1523,410
5,15,1621,202,1660,226
5,16,1248,365,1288,388
5,17,1297,556,1337,580
5,18,59,578,103,603
5,19,1903,618,1910,647
6,1,1771,630,1855,664
6,2,1727,413,1773,439
6,3,1142,222,1181,248
6,4,1241,606,1285,630
6,5,304,265,342,291
6,6,488,244,527,270
6,7,257,601,296,624
6,8,1782,170,1828,195
6,9,659,233,700,259
6,10,1027,203,1060,223
6,11,116,545,160,570
6,12,562,566,587,587
6,13,1798,396,1833,419
6,14,1493,389,1531,412
6,15,1625,202,1665,226
6,16,1257,366,1297,389
6,17,1289,556,1330,579
6,18,52,579,95,604
6,20,3,302,8,329
7,1,1766,630,1850,664
7,2,1735,414,1781,440
7,3,1148,222,1187,247
7,4,1236,606,1279,630
7,5,309,263,348,290
7,6,493,243,532,269
7,7,253,602,291,624
7,8,1787,170,1833,195
7,9,665,233,705,259
7,10,1034,203,1067,223
7,11,108,545,153,571
7,12,553,564,580,586
7,13,1804,397,1837,419
7,14,1501,390,1539,413
7,15,1630,202,1671,226
7,16,1265,367,1305,390
7,17,1281,555,1322,579
7,18,44,579,88,604
7,20,4,302,9,328
7,21,1883,615,1912,642
8,1,1762,629,1845,662
8,2,1743,415,1788,440
8,3,1154,222,1192,247
8,4,1230,606,1273,629
8,5,315,263,354,289
8,6,499,242,537,268
8,7,247,603,286,624
8,8,1792,169,1838,194
8,9,671,232,711,258
8,10,1039,203,1072,223
8,11,99,546,145,572
8,12,546,564,573,586
8,13,1810,398,1842,420
8,14,1508,390,1547,413
8,15,1637,201,1677,226
8,16,1274,367,1314,390
8,17,1272,554,1315,578
8,18,37,580,79,605
8,21,1877,614,1907,641
9,1,1756,628,1839,661
9,2,1751,417,1795,441
9,3,1160,222,1197,247
9,4,1226,605,1268,628
9,5,321,263,358,288
9,6,504,242,543,267
9,7,241,603,280,625
9,8,1797,169,1843,194
9,9,677,232,717,258
9,10,1046,202,1080,222
9,11,92,546,138,572
9,12,540,564,566,586
9,13,1816,400,1848,421
9,14,1516,391,1555,414
9,15,1642,201,1682,226
9,16,1283,368,1321,391
9,17,1266,553,1309,578
9,18,30,581,73,605
9,21,1870,613,1901,641
9,22,4,301,20,328
10,1,1754,628,1832,659
10,2,1759,418,1801,442
10,3,1166,222,1203,247
10,4,1220,605,1261,628
10,5,325,262,363,287
10,6,510,241,547,267
10,7,235,603,273,625
10,8,1800,169,1846,194
10,9,683,232,723,258
10,10,1051,201,1087,223
10,11,85,546,131,572
10,12,533,564,560,586
10,14,1525,391,1563,414
10,15,1648,201,1687,225
10,16,1291,369,1330,391
10,17,1259,552,1302,578
10,18,24,582,66,606
10,21,1863,612,1894,640
10,22,6,302,21,327
11,1,1748,627,1830,660
11,2,1767,419,1810,443
11,3,1171,222,1209,246
11,4,1214,605,1256,627
11,5,332,261,369,287
11,6,517,241,554,266
11,7,229,604,268,625
11,8,1804,168,1851,194
11,9,689,232,728,258
11,10,1057,201,1093,223
11,11,77,546,124,573
11,12,528,565,554,587
11,14,1533,392,1571,415
11,15,1654,200,1692,225
11,16,1299,370,1340,393
11,17,1251,552,1294,577
11,18,17,583,60,607
11,21,1855,612,1886,638
11,22,8,301,24,327
12,1,1742,626,1825,659
12,2,1774,421,1817,445
12,3,1177,221,1214,245
12,4,1208,604,1250,627
