frame_id,vehicle_id,x1,y1,x2,y2
2,1,320,430,469,568
2,2,885,432,1015,605
2,3,529,115,591,172
2,4,595,227,683,316
2,7,418,120,484,179
2,8,844,292,939,408
3,1,310,440,462,582
3,2,886,435,1015,606
3,3,529,118,591,177
3,4,594,232,682,321
3,7,418,121,483,179
3,8,845,294,941,410
4,1,299,452,455,597
4,2,887,437,1015,608
4,3,528,121,592,181
4,4,592,237,682,327
4,7,417,119,484,179
4,8,845,295,942,412
5,1,287,463,449,614
5,2,886,439,1017,613
5,3,528,125,591,185
5,4,590,241,682,336
5,7,417,120,484,179
5,8,846,297,943,414
6,1,274,473,443,631
6,2,886,440,1018,615
6,3,528,128,591,189
6,4,588,247,681,342
6,7,417,121,484,180
6,8,846,298,944,416
7,1,261,484,434,647
7,2,886,442,1018,618
7,3,527,132,591,193
7,4,587,254,679,348
7,7,418,120,485,179
7,8,846,299,945,419
7,10,601,10,636,42
8,1,247,496,427,665
8,2,885,443,1019,622
8,3,526,135,591,198
8,4,583,256,679,357
8,7,420,120,487,180
8,8,846,300,946,422
8,10,601,10,637,42
9,1,233,509,419,684
9,2,886,445,1020,625
9,3,525,138,591,202
9,4,579,261,678,364
9,7,419,120,486,180
9,8,847,302,947,424
10,1,219,523,410,703
10,2,887,447,1021,627
10,3,525,142,591,207
10,4,578,267,677,371
10,7,420,120,488,180
10,8,847,304,947,426
10,10,601,13,638,46
11,1,204,538,401,724
11,2,887,449,1022,630
11,3,523,146,590,212
11,4,576,273,676,380
11,7,419,120,487,180
11,8,847,306,948,429
11,10,603,15,637,47
12,1,188,552,391,744
12,2,885,451,1024,639
12,3,522,149,590,216
12,4,574,280,674,387
12,7,418,120,487,181
12,8,848,306,949,431
12,10,603,16,639,49
12,12,548,54,593,92
13,1,171,567,381,766
13,2,885,453,1025,643
13,3,521,152,590,221
13,4,571,285,673,395
13,7,420,119,489,180
13,8,849,309,950,433
13,10,604,18,638,50
13,12,548,55,594,94
14,1,153,583,370,789
14,2,886,455,1025,645
14,3,520,157,589,226
14,4,568,291,672,404
14,7,421,120,490,181
14,8,849,310,951,435
14,10,604,20,639,51
14,12,548,57,595,96
15,1,134,600,358,813
15,2,887,457,1026,647
15,3,519,161,589,231
15,4,565,297,671,412
15,7,422,120,490,181
15,8,850,312,951,437
15,10,602,20,638,53
15,12,547,58,595,98
16,1,115,618,345,837
16,2,887,460,1025,649
16,3,518,165,589,236
16,4,562,304,669,421
16,7,423,120,490,181
16,8,851,314,952,440
16,10,602,21,639,54
16,12,547,60,596,101
17,1,92,635,334,865
17,2,888,462,1026,652
17,3,517,171,588,242
17,4,559,311,669,432
17,7,421,119,489,181
17,8,851,317,952,442
17,10,605,23,640,56
17,12,546,62,597,104
18,1,70,654,320,892
18,2,889,464,1026,653
18,3,516,174,587,247
18,4,555,317,667,441
18,7,421,120,489,181
18,8,851,317,953,443
18,10,605,25,640,57
18,12,544,62,598,107
19,1,46,674,306,923
19,2,889,465,1026,654
19,3,514,179,587,253
19,4,551,324,665,451
19,7,421,120,489,181
19,8,852,319,954,446
19,10,605,26,640,58
19,12,546,67,597,110
20,1,20,694,292,954
20,2,890,467,1027,656
20,3,512,185,586,259
20,4,548,332,664,461
20,7,421,120,489,181
20,8,852,320,954,447
20,10,605,26,641,60
20,12,547,70,597,112
21,1,0,717,278,986
21,2,890,469,1028,659
21,3,510,188,586,265
21,4,543,340,660,472
21,7,423,120,491,181
21,8,852,318,956,449
21,10,605,29,641,62
21,12,547,73,596,114
22,1,0,739,272,1022
22,2,890,471,1030,663
22,3,508,194,583,270
22,4,538,347,659,483
22,7,423,119,491,181
22,8,852,320,957,452
22,10,605,29,641,63
22,12,547,75,597,116
23,1,0,763,263,1057
23,2,891,474,1031,666
23,3,506,198,583,277
23,4,534,355,657,495
23,7,422,119,491,182
23,8,852,321,958,455
23,10,606,31,642,65
23,12,547,77,597,119
24,1,0,788,247,1073
24,2,891,475,1032,669
24,3,503,203,581,283
24,4,529,363,655,507
24,7,422,119,491,182
