frame_id,vehicle_id,x1,y1,x2,y2
2,1,884,430,1014,614
2,2,322,429,463,576
2,3,845,288,939,414
2,4,598,223,686,320
2,5,527,112,595,178
3,1,883,432,1014,619
3,2,313,438,459,589
3,3,844,289,941,419
3,4,594,226,686,329
3,5,526,116,594,182
4,1,884,434,1016,622
4,2,303,448,454,604
4,3,846,291,941,418
4,4,593,231,684,333
4,5,525,118,594,185
4,6,543,27,595,78
5,1,885,438,1017,624
5,2,290,457,447,620
5,3,847,293,944,422
5,4,590,237,684,342
5,5,526,121,594,188
5,6,543,27,596,79
6,1,884,439,1018,629
6,2,281,471,439,634
6,3,847,294,945,425
6,4,588,241,685,350
6,5,525,124,595,193
6,6,542,27,597,82
7,1,886,441,1019,630
7,2,266,481,432,652
7,3,846,295,946,429
7,4,589,248,684,355
7,5,523,128,595,198
7,6,542,27,598,83
8,1,886,443,1017,629
8,2,250,492,427,674
8,3,846,296,947,431
8,4,585,252,680,360
8,5,523,132,595,202
9,1,883,444,1019,636
9,2,235,503,420,695
9,3,844,297,944,432
9,4,581,256,682,371
9,5,521,135,594,207
10,1,885,446,1022,640
10,2,222,520,410,716
10,3,844,300,944,433
10,4,579,263,679,377
10,5,521,139,594,212
11,1,881,445,1024,647
11,2,211,536,396,728
11,3,846,303,945,434
11,4,576,269,679,387
11,5,519,142,595,217
12,1,882,449,1024,651
12,2,193,549,389,751
12,3,847,303,947,436
12,4,576,276,676,392
12,5,519,145,594,221
13,1,883,452,1025,655
13,2,176,565,379,774
13,3,848,304,948,437
13,4,570,282,673,402
13,5,517,151,591,224
14,1,885,455,1025,655
14,2,157,582,366,796
14,3,848,305,949,440
14,4,568,288,671,408
14,5,515,153,592,231
14,6,544,49,597,100
15,1,886,457,1026,658
15,2,140,599,356,820
15,3,848,305,951,444
15,4,564,293,672,419
15,5,514,156,593,237
15,6,544,50,597,101
16,1,886,460,1025,658
16,2,118,614,345,846
16,3,850,309,952,445
16,4,560,302,668,428
16,5,513,161,592,242
16,6,543,52,597,104
17,1,887,461,1025,658
17,2,97,633,332,873
17,3,852,312,952,446
17,4,558,309,667,437
17,5,512,165,591,247
17,6,544,55,597,107
18,1,887,462,1026,659
18,2,73,652,319,902
18,3,852,314,952,447
18,4,552,314,668,450
18,5,511,168,592,253
18,6,542,55,599,111
19,1,887,463,1026,661
19,2,49,673,305,933
19,3,852,315,953,449
19,4,550,323,665,457
19,5,511,173,593,259
19,6,543,59,598,113
20,1,886,464,1029,666
20,2,24,693,291,964
20,3,851,315,954,453
20,4,548,328,667,468
20,5,509,180,591,267
20,6,543,61,599,115
20,7,422,115,493,191
21,1,886,465,1030,669
21,2,4,715,276,993
21,3,849,314,954,455
21,4,543,336,664,479
21,5,505,184,590,275
21,6,543,64,599,118
21,7,425,117,492,190
22,1,887,467,1030,671
22,2,0,737,269,1030
22,3,849,313,956,458
22,4,540,344,660,488
22,5,504,188,589,279
22,6,543,66,599,121
22,7,426,118,492,189
23,1,889,471,1031,673
23,2,0,757,264,1066
23,3,848,314,956,461
23,4,535,353,657,499
23,5,502,193,586,284
23,6,542,69,598,124
23,7,426,118,492,189
24,1,891,474,1031,672
24,2,0,782,247,1078
24,3,847,313,957,463
24,4,529,361,652,510
24,5,499,197,584,290
24,6,542,72,598,126
24,7,426,118,492,189
25,1,891,477,1031,673
25,2,0,813,221,1079
25,3,848,313,957,465
25,4,524,372,650,524
25,5,497,202,583,296
25,6,543,74,598,128
25,7,427,119,492,189
26,1,888,478,1031,675
26,2,0,836,198,1079
26,3,847,311,960,470
26,4,520,381,648,537
26,5,491,205,582,304
26,6,542,76,598,130
26,7,427,119,493,189
27,1,887,480,1035,678
27,2,0,867,173,1079
27,3,848,310,961,472
27,4,514,390,646,551
27,5,487,210,580,312
27,6,541,76,599,133
27,7,427,119,493,189
28,1,885,480,1040,686
28,2,0,888,159,1079
28,3,849,311,960,472
28,4,508,399,644,564
28,5,487,217,576,314
28,6,541,81,598,137
28,7,427,120,493,189
29,1,885,484,1038,688
29,3,849,311,960,473
29,4,500,408,642,579
29,5,485,221,576,320
29,6,540,83,599,141
29,7,427,120,493,189
30,1,883,485,1042,695
30,3,853,320,959,476
30,4,491,417,638,595
30,5,481,226,574,327
30,6,540,86,600,144
30,7,428,120,493,189
30,8,604,29,647,80
31,1,881,487,1045,701
31,3,850,314,962,480
31,4,483,425,636,613
31,5,479,235,572,335
31,6,540,89,599,147
31,7,428,121,493,189
31,8,604,30,647,80
32,1,879,489,1043,703
32,3,849,311,964,484
32,4,477,437,633,629
32,5,474,242,570,345
32,6,541,94,598,149
33,1,883,492,1041,700
33,3,852,319,962,484
33,4,471,450,629,646
33,5,470,249,568,354
33,6,542,96,600,151
34,1,885,493,1046,705
34,3,853,324,961,484
34,4,462,464,624,663
34,5,465,255,563,361
34,6,540,96,601,155
34,7,422,115,495,191
34,8,608,39,649,87
35,1,887,495,1048,708
35,3,853,329,960,485
35,4,450,477,618,684
35,5,459,262,561,372
35,6,540,102,600,160
35,7,421,115,495,192
35,8,610,41,649,88
36,1,886,497,1048,712
36,3,850,328,960,487
36,4,441,489,616,703
36,5,454,263,560,378
36,6,539,104,601,164
36,7,423,117,494,190
36,8,611,43,650,89
37,1,888,498,1049,714
37,3,853,336,960,490
37,4,430,499,610,721
37,5,450,271,556,385
37,6,539,107,602,169
37,7,423,117,494,190
38,1,888,500,1049,717
38,3,855,342,960,493
38,4,415,509,608,746
38,5,446,280,555,397
38,6,540,113,599,169
38,7,424,119,493,189
39,1,891,503,1050,719
39,3,857,345,961,495
39,4,404,527,596,764
39,5,440,289,551,408
39,6,540,116,599,173
39,7,425,119,493,188
39,8,610,46,652,95
40,1,892,506,1050,721
40,3,857,348,960,497
40,4,395,546,590,787
40,5,431,296,546,420
40,6,539,118,601,178
40,7,425,120,493,188
40,8,611,47,652,96
41,1,893,508,1053,724
