frame_id,vehicle_id,x1,y1,x2,y2
2,1,889,435,1014,614
2,2,842,290,938,416
2,3,318,427,472,574
2,4,600,222,677,323
2,5,531,111,590,179
2,6,423,113,491,185
2,7,551,33,590,74
2,8,599,1,632,40
3,1,889,439,1013,615
3,2,842,292,939,418
3,3,307,439,465,590
3,4,599,226,676,329
3,5,531,116,589,182
3,6,423,114,491,185
3,7,550,34,589,76
3,8,598,1,632,40
4,1,890,441,1013,617
4,2,843,293,941,420
4,3,296,449,460,605
4,4,598,233,675,334
4,5,530,119,589,186
4,6,423,112,492,185
4,7,550,35,589,77
4,8,598,0,632,41
5,1,889,442,1015,622
5,2,844,295,942,423
5,3,284,459,453,621
5,4,597,237,675,341
5,5,530,122,591,192
5,6,424,114,491,185
5,7,549,36,590,80
5,8,598,2,634,44
6,1,890,445,1017,626
6,2,844,296,943,426
6,3,271,468,448,637
6,4,594,243,674,349
6,5,529,125,591,196
6,6,424,114,491,185
6,7,549,37,591,82
6,8,600,4,634,45
7,1,889,445,1019,630
7,2,844,298,944,429
7,3,258,480,441,656
7,4,592,248,673,355
7,5,527,128,591,200
7,6,424,114,491,185
7,7,549,39,591,84
7,8,601,6,634,46
8,1,889,447,1019,633
8,2,844,298,945,431
8,3,245,494,432,673
8,4,589,252,673,362
8,5,527,130,591,205
8,6,424,114,491,185
8,7,549,40,591,87
8,8,601,8,634,47
9,1,890,449,1019,635
9,2,844,298,946,432
9,3,233,507,427,692
9,4,586,255,672,368
9,5,526,133,592,210
9,6,424,114,491,185
9,7,548,42,591,89
9,8,601,10,634,48
10,1,890,450,1021,637
10,2,845,299,948,434
10,3,217,520,417,711
10,4,584,260,671,376
10,5,525,137,591,215
10,6,425,114,491,185
10,7,547,43,592,92
10,8,600,9,636,50
11,1,890,451,1022,640
11,2,846,301,948,436
11,3,201,535,409,734
11,4,582,267,670,384
11,5,524,143,591,221
11,6,424,114,491,186
11,7,548,45,593,95
11,8,601,9,637,51
12,1,891,454,1022,643
12,2,847,302,949,438
12,3,186,549,399,754
12,4,579,275,668,393
12,5,523,147,591,225
12,6,424,113,491,185
12,7,548,47,593,97
12,8,600,9,638,53
13,1,892,456,1023,644
13,2,848,304,950,439
13,3,167,562,389,775
13,4,576,281,666,401
13,5,521,150,589,228
13,6,424,113,491,185
13,7,548,48,594,100
13,8,601,12,637,54
14,1,892,459,1024,648
14,2,848,305,951,441
14,3,150,580,376,797
14,4,572,286,667,411
14,5,520,153,589,233
14,6,424,114,490,186
14,7,548,51,594,102
14,8,601,12,638,55
15,1,892,460,1024,650
15,2,848,305,952,444
15,3,130,596,366,823
15,4,569,291,665,420
15,5,519,157,588,239
15,6,424,114,490,185
15,7,548,54,593,104
15,8,601,13,639,56
16,1,892,462,1025,654
16,2,848,307,952,446
16,3,110,613,354,849
16,4,567,299,663,428
16,5,518,161,589,244
16,6,424,114,490,186
16,7,548,56,594,106
16,8,602,15,638,56
17,1,892,464,1026,657
17,2,849,309,952,448
17,3,88,630,342,877
17,4,563,308,659,436
17,5,516,165,588,250
17,6,424,114,490,187
17,7,549,58,594,108
17,8,603,17,640,59
18,1,892,465,1027,659
18,2,849,310,953,450
18,3,68,649,329,903
