frame_id,vehicle_id,x1,y1,x2,y2
2,1,887,433,1016,604
2,2,320,431,468,568
2,3,529,114,589,173
2,4,844,293,940,406
2,6,598,226,681,316
2,7,422,126,485,179
2,8,549,37,591,71
2,9,600,8,633,36
3,1,888,435,1016,606
3,2,309,440,461,582
3,3,529,118,590,177
3,4,845,295,941,409
3,6,602,248,672,322
3,7,421,123,487,179
3,8,548,39,590,73
3,9,598,6,634,38
4,1,888,437,1017,609
4,2,298,451,455,597
4,3,528,121,590,181
4,4,845,296,942,411
4,6,596,243,677,329
4,7,425,126,487,179
4,8,548,41,590,74
4,9,597,5,635,38
5,1,888,438,1018,612
5,2,286,462,448,613
5,3,528,125,590,185
5,4,845,297,943,414
5,6,593,244,679,336
5,7,423,123,490,180
5,9,601,11,634,40
6,1,887,440,1020,616
6,2,274,473,442,630
6,3,527,128,590,189
6,4,845,299,944,416
6,6,591,248,679,342
6,7,423,122,490,180
6,9,602,12,635,41
7,1,888,442,1020,618
7,2,261,485,435,648
7,3,526,131,590,193
7,4,846,300,944,418
7,6,590,257,676,349
7,7,422,121,490,180
7,9,602,13,636,42
8,1,887,444,1020,621
8,2,247,497,427,666
8,3,525,134,590,198
8,4,846,301,946,421
8,6,585,258,677,356
8,7,422,120,491,180
8,9,602,14,636,44
9,1,888,446,1021,624
9,2,233,510,419,685
9,3,525,138,590,202
9,4,847,303,947,423
9,6,582,261,677,364
9,7,422,120,491,180
9,8,547,49,593,85
9,9,601,14,636,44
10,1,888,448,1023,627
10,2,219,524,410,704
10,3,524,142,589,207
10,4,847,304,947,424
10,6,580,268,676,372
10,7,422,119,491,180
10,8,546,49,594,88
10,9,602,15,636,46
11,1,888,450,1023,630
11,2,204,537,401,723
11,3,523,146,589,212
11,4,847,306,948,427
11,6,578,273,676,380
11,7,423,120,491,180
11,8,546,51,595,90
11,9,602,16,636,47
12,1,888,452,1024,633
12,2,188,552,392,744
12,3,522,150,590,216
12,4,848,307,949,429
12,6,576,280,674,387
12,7,423,119,491,181
12,8,546,53,594,92
12,9,602,17,637,48
13,1,888,454,1025,638
13,2,171,568,381,766
13,3,521,153,589,221
13,4,849,308,950,431
13,6,573,286,672,395
13,7,425,121,490,181
13,8,546,54,595,94
14,1,888,457,1027,643
14,2,153,584,370,789
14,3,520,157,589,226
14,4,849,310,951,434
14,6,570,292,671,404
14,7,429,130,486,181
14,8,546,56,596,96
15,1,889,458,1028,645
15,2,135,601,359,813
15,3,519,161,589,231
15,4,850,311,951,435
15,6,566,298,670,413
15,7,427,126,488,181
15,8,546,57,596,98
15,9,603,20,638,51
16,1,888,460,1028,649
16,2,114,618,347,838
16,3,518,165,589,236
16,4,850,313,952,438
16,6,563,305,668,421
16,7,429,130,486,181
16,8,546,59,597,100
16,9,603,21,638,53
17,1,888,463,1028,651
17,2,92,636,335,866
17,3,516,170,588,242
17,4,851,314,953,440
17,6,560,312,667,431
17,7,431,132,487,181
18,1,889,464,1029,653
18,2,70,654,322,894
18,3,514,175,586,247
18,4,851,314,954,441
18,6,556,318,666,441
18,7,432,133,486,181
18,9,604,23,641,56
19,1,889,466,1029,654
19,2,45,674,308,924
19,3,512,179,586,252
19,4,851,314,955,444
19,6,552,325,665,451
19,7,431,133,487,181
19,8,546,68,597,109
19,9,604,24,641,58
20,1,890,468,1029,656
20,2,20,694,293,954
20,3,511,183,586,259
20,4,851,313,956,446
20,6,548,333,663,461
20,7,427,125,492,181
20,8,546,69,597,112
20,9,604,25,641,60
21,1,890,470,1030,659
21,2,0,715,281,988
21,3,509,187,586,265
21,4,851,312,957,447
21,6,544,340,661,471
21,7,427,125,491,181
21,8,546,71,598,113
21,9,604,26,641,61
22,1,890,472,1030,662
22,2,0,738,273,1024
22,3,507,193,584,271
22,4,851,312,959,450
22,6,539,348,659,483
22,7,426,123,493,182
22,8,545,71,599,116
22,9,604,27,642,62
23,1,890,474,1031,665
23,2,0,762,265,1058
23,3,505,198,584,277
23,4,851,312,960,453
23,6,534,356,657,495
23,7,426,121,493,182
23,8,546,75,598,119
23,9,605,29,642,64
24,1,890,476,1031,668
24,2,0,787,248,1074
24,3,502,202,582,283
24,4,851,312,961,455
24,6,529,365,655,507
24,7,426,121,493,182
24,8,545,76,598,121
24,9,605,29,643,65
25,1,890,479,1032,671
25,2,0,814,225,1079
25,3,501,209,580,289
25,4,851,312,961,458
25,6,524,374,651,519
25,7,426,121,493,182
25,8,546,81,598,124
25,9,606,31,644,68
26,1,890,481,1032,673
26,2,0,842,200,1079
26,3,497,213,579,296
26,4,851,312,962,460
26,6,519,383,649,531
26,7,427,123,492,183
26,8,546,83,598,126
26,9,607,33,644,69
27,1,890,483,1032,676
27,2,0,873,172,1078
27,3,494,218,578,302
27,4,851,312,963,462
27,6,513,393,647,546
27,7,426,122,491,182
27,9,607,33,645,71
28,1,891,485,1034,679
28,2,0,906,144,1077
28,3,491,223,576,310
28,4,851,312,963,463
28,6,505,402,643,559
28,7,426,122,492,183
28,9,607,34,645,72
29,1,890,486,1034,682
29,2,0,941,114,1076
29,3,487,229,574,317
29,4,852,312,964,466
29,6,498,411,640,574
29,7,426,123,492,183
29,8,544,90,598,136
29,9,608,36,646,73
30,1,891,488,1035,685
30,2,0,979,80,1073
30,3,482,234,571,324
30,4,852,311,964,467
30,6,492,421,637,589
30,7,427,123,491,183
30,8,544,93,598,139
30,9,608,38,646,74
31,1,892,491,1036,688
31,2,0,1007,59,1079
31,3,479,240,570,332
31,4,854,318,963,469
31,6,484,431,634,604
31,7,428,128,489,184
31,8,544,96,599,143
31,9,609,40,646,76
32,1,891,492,1036,690
32,3,475,245,568,339
32,4,855,321,963,471
32,6,477,443,629,619
32,7,430,132,487,184
32,8,544,99,599,145
32,9,609,41,646,78
33,1,892,495,1037,693
33,3,471,253,565,347
33,4,858,327,961,472
33,6,468,455,626,637
33,7,431,133,486,184
33,8,544,103,598,148
33,9,609,42,647,80
33,10,1721,414,1882,534
34,1,892,497,1038,696
34,3,466,258,563,356
34,4,859,332,961,475
34,6,459,467,621,655
34,7,422,127,486,184
34,8,544,106,599,152
34,9,609,44,648,82
34,10,1710,414,1881,543
35,1,892,498,1039,699
35,3,461,264,561,365
35,4,859,334,961,477
35,6,449,478,617,675
35,7,419,126,486,184
35,8,544,109,599,155
35,9,610,46,648,84
35,10,1695,414,1881,555
36,1,892,500,1040,702
36,3,455,270,558,373
36,4,862,343,960,478
36,6,439,491,612,694
36,7,423,130,486,185
36,8,544,111,600,158
36,9,610,47,649,86
36,10,1680,414,1879,566
37,1,892,503,1040,706
37,3,451,278,554,383
37,4,863,347,960,480
37,6,427,503,607,714
37,7,419,125,488,185
37,8,543,114,601,162
37,9,611,48,649,87
37,10,1671,417,1875,574
38,1,892,506,1040,709
38,3,446,285,551,391
38,4,863,349,960,482
38,6,416,518,602,736
38,7,418,123,489,184
38,8,543,116,601,166
38,9,611,49,650,89
38,10,1657,418,1867,582
39,1,892,508,1041,712
39,3,440,292,548,402
39,4,862,350,961,484
39,6,404,534,595,759
39,7,417,122,490,185
39,8,542,119,601,170
39,9,611,52,650,91
39,10,1646,426,1853,589
40,1,892,510,1042,715
40,3,433,299,545,412
40,4,861,350,961,485
40,6,391,549,590,783
40,7,418,122,491,185
40,8,541,123,601,173
40,9,612,53,651,93
40,10,1633,428,1845,598
41,1,892,511,1043,719
41,3,427,307,542,423
41,4,861,352,962,487
41,6,378,563,583,808
41,7,421,122,493,185
41,8,542,127,600,176
41,9,612,55,651,94
41,10,1627,441,1832,606
42,1,891,514,1043,723
42,3,419,314,538,435
42,4,861,352,963,489
42,6,363,580,577,835
42,7,424,124,493,185
42,8,541,130,600,180
42,9,612,56,652,96
42,10,1623,450,1825,614
43,1,893,516,1045,725
43,3,412,323,533,446
43,4,861,353,964,491
43,6,348,599,568,862
43,7,426,125,493,186
43,8,539,133,600,184
43,9,612,58,651,98
43,10,1616,456,1820,623
44,1,893,519,1045,729
44,3,404,332,529,459
44,4,861,354,965,493
44,6,332,617,561,891
44,7,426,125,493,186
44,8,538,136,600,189
44,9,612,60,652,100
44,10,1606,462,1815,632
45,1,893,521,1046,732
45,3,396,342,524,471
45,4,861,356,965,494
45,6,315,636,554,922
45,7,427,126,493,186
45,8,538,139,602,194
45,9,613,61,654,102
45,10,1596,467,1809,642
46,1,893,523,1046,735
46,3,386,350,519,484
46,4,861,358,965,496
46,6,295,653,545,955
46,7,427,126,493,186
46,8,536,141,602,198
46,9,613,63,654,105
46,10,1585,474,1801,652
47,1,892,525,1046,738
47,3,377,359,514,498
47,4,861,359,965,497
47,6,274,675,535,991
47,7,428,127,493,186
47,8,536,146,601,202
47,9,614,64,655,106
47,10,1574,481,1792,661
48,1,893,528,1047,742
48,3,367,369,509,512
48,4,861,361,965,499
48,6,252,696,526,1028
48,7,427,125,493,187
48,8,536,151,601,206
48,9,614,66,655,108
48,10,1562,489,1784,672
49,1,893,530,1047,746
49,3,356,379,502,527
49,4,860,362,966,500
49,6,231,720,514,1065
49,7,427,125,493,187
49,8,535,154,601,211
49,9,615,68,656,110
49,10,1550,496,1775,683
50,1,893,533,1048,749
50,3,345,391,497,544
50,4,861,364,966,502
50,6,216,744,494,1079
50,7,427,125,492,188
50,8,533,158,601,216
50,9,615,70,656,112
50,10,1537,504,1765,694
51,1,894,536,1048,751
51,3,333,402,489,560
51,4,861,365,968,504
51,6,209,771,473,1079
51,7,426,125,492,187
51,8,532,162,600,220
51,9,615,72,656,114
51,10,1526,512,1756,705
