frame_id,vehicle_id,x1,y1,x2,y2
2,1,884,435,1014,616
2,2,845,292,938,417
2,3,315,427,471,572
2,4,599,221,678,320
2,5,527,111,595,181
2,6,422,113,491,187
3,1,885,438,1014,618
3,2,844,294,938,419
3,3,304,438,463,585
3,4,597,224,678,327
3,5,527,115,595,184
3,6,423,114,491,187
4,1,885,440,1014,621
4,2,844,294,940,423
4,3,291,448,455,600
4,4,596,230,677,332
4,5,527,118,595,187
4,6,423,113,492,187
5,1,886,441,1017,625
5,2,844,295,942,426
5,3,280,458,450,616
5,4,594,235,677,339
5,5,525,121,595,192
5,6,423,115,491,188
6,1,886,443,1017,627
6,2,845,297,943,428
6,3,269,468,447,634
6,4,591,237,677,346
6,5,524,123,595,197
6,6,423,115,491,188
7,1,886,444,1018,630
7,2,845,298,944,431
7,3,258,480,441,652
7,4,588,241,676,353
7,5,522,126,594,200
7,6,423,115,492,189
8,1,885,446,1020,635
8,2,845,299,945,435
8,3,245,493,433,670
8,4,585,248,674,362
8,5,522,130,594,204
8,6,424,115,492,189
9,1,885,447,1020,638
9,2,846,300,945,436
9,3,230,506,423,688
9,4,582,254,672,368
9,5,522,134,594,209
9,6,424,114,492,189
9,8,545,43,593,92
10,1,885,449,1021,641
10,2,846,302,946,439
10,3,217,520,415,708
10,4,580,261,672,377
10,5,521,138,593,213
10,6,424,115,492,189
10,8,545,44,595,95
11,1,884,451,1021,644
11,2,847,303,947,441
11,3,202,532,408,728
11,4,579,269,671,387
11,5,520,142,592,218
11,6,424,114,493,190
11,8,545,45,596,98
12,1,884,453,1021,646
12,2,848,305,948,444
12,3,187,546,399,748
12,4,576,275,670,395
12,5,519,145,592,223
12,6,424,114,493,190
12,8,545,47,596,100
13,1,885,455,1022,649
13,2,850,307,949,446
13,3,171,560,389,769
13,4,574,281,669,403
13,5,517,148,591,228
13,6,424,114,493,190
14,1,884,457,1022,652
14,2,850,309,949,448
14,3,153,575,378,791
14,4,570,286,669,413
14,5,516,153,591,234
14,6,424,114,493,190
15,1,885,459,1023,654
15,2,849,310,950,451
15,3,134,591,367,816
15,4,567,290,669,421
15,5,515,156,591,239
15,6,424,114,492,190
16,1,885,461,1023,657
16,2,851,313,950,453
16,3,115,612,353,842
16,4,565,298,667,429
16,5,515,161,591,244
16,6,425,114,492,190
16,8,545,55,596,107
17,1,885,463,1024,661
17,2,852,317,950,456
17,3,90,629,338,870
17,4,562,306,665,439
17,5,514,166,590,250
17,6,424,112,493,190
17,8,546,58,596,109
18,1,886,464,1025,663
18,2,852,318,950,457
18,3,69,649,325,896
18,4,558,312,664,448
18,5,512,169,588,255
18,6,425,112,493,191
18,8,546,60,596,111
19,1,886,466,1026,666
19,2,853,320,952,460
19,3,46,669,312,927
19,4,553,318,662,458
19,5,512,175,587,261
19,6,425,112,493,190
19,8,545,64,595,114
20,1,886,468,1027,669
20,2,853,321,952,462
20,3,19,688,298,960
20,4,549,324,662,468
20,5,511,180,586,266
20,6,425,112,493,189
20,8,545,66,597,118
20,10,603,20,641,63
21,1,886,470,1027,672
21,2,854,322,953,463
21,3,0,710,286,994
21,4,545,334,658,480
21,5,509,184,585,271
21,6,426,112,492,189
21,8,545,68,597,121
21,10,603,21,642,65
22,1,887,472,1027,674
22,2,853,323,954,465
22,3,0,731,280,1030
22,4,541,343,655,489
22,5,507,188,583,276
22,6,426,112,493,189
22,8,544,70,597,123
22,10,603,21,642,66
23,1,888,475,1027,676
23,2,852,324,954,468
23,3,0,757,269,1063
23,4,535,353,652,502
23,5,506,195,581,282
23,6,427,114,492,189
23,8,543,73,597,126
23,10,603,24,642,68
24,1,889,477,1029,679
24,2,852,326,954,470
24,3,0,780,254,1079
24,4,529,362,649,514
24,5,504,199,579,288
24,6,427,113,492,189
24,8,543,74,598,129
24,10,604,25,643,69
25,1,889,481,1029,683
25,2,854,329,954,472
25,3,0,808,231,1079
25,4,524,371,647,528
25,5,501,204,577,293
25,6,427,116,492,190
25,8,542,77,597,132
25,10,604,25,644,71
26,1,889,483,1030,686
26,2,853,330,955,474
26,3,0,827,220,1079
26,4,519,380,645,540
26,5,498,209,576,300
26,6,428,117,492,191
26,8,543,79,599,135
26,10,605,27,644,72
27,1,889,485,1030,689
27,2,855,332,955,475
27,4,512,391,641,553
27,5,493,215,573,308
27,6,427,116,493,191
27,8,542,81,599,137
27,10,605,28,644,73
28,1,889,487,1031,692
28,2,854,333,956,478
28,4,504,399,636,566
28,5,489,220,570,315
28,6,426,116,493,192
28,8,542,83,599,140
28,10,605,29,645,74
29,1,889,489,1031,693
29,2,855,334,957,479
29,4,498,409,634,581
29,5,486,225,568,321
29,6,426,116,493,192
29,8,541,86,600,144
29,10,604,29,646,77
30,1,891,491,1033,696
30,2,854,335,957,481
30,4,490,419,632,597
30,5,482,231,567,331
30,6,426,117,493,192
30,8,541,88,600,147
30,10,605,30,647,78
31,1,891,493,1033,699
31,2,853,337,956,484
31,4,483,428,630,613
31,5,479,238,564,338
31,6,425,116,494,193
31,8,541,91,600,149
31,10,605,32,648,81
32,1,891,495,1033,701
32,2,854,338,956,484
32,4,477,440,627,628
32,5,475,243,563,346
32,6,425,116,494,192
32,10,606,34,649,83
33,1,891,497,1033,704
33,2,854,340,957,486
33,4,468,451,623,645
33,5,470,248,561,355
33,6,426,116,495,192
33,8,542,96,602,155
33,10,606,34,649,84
34,1,890,498,1034,710
34,2,855,341,958,488
34,4,459,462,620,663
34,5,466,254,558,363
34,6,425,116,495,193
34,8,542,100,602,158
34,10,606,38,649,87
35,1,890,500,1035,713
35,2,855,342,958,489
35,4,450,475,615,681
35,5,460,261,554,370
35,6,424,116,495,194
35,8,542,103,602,162
35,10,607,40,649,88
36,1,890,503,1036,718
36,2,855,343,959,492
36,4,438,487,611,701
36,5,454,264,554,381
36,6,424,116,495,194
36,8,541,106,602,165
36,10,607,42,650,90
37,1,890,506,1037,721
37,2,856,344,959,493
37,4,427,500,605,721
37,5,450,271,552,391
37,6,424,116,495,194
37,8,540,109,602,169
37,10,608,44,649,91
38,1,890,507,1037,725
38,2,856,345,960,495
38,4,415,515,600,744
38,5,444,281,546,401
38,6,423,115,495,194
38,8,539,111,603,173
38,10,607,45,650,93
38,13,1667,403,1878,603
39,1,891,510,1038,727
39,2,857,347,960,497
39,4,402,530,594,769
39,5,438,289,541,409
39,6,423,115,496,194
39,8,539,114,604,176
39,10,608,47,650,94
39,13,1661,407,1875,610
40,1,891,513,1038,730
40,2,857,348,960,499
40,4,386,544,587,793
40,5,431,296,538,420
40,6,423,115,496,195
40,8,538,118,603,181
40,10,609,49,650,96
40,13,1653,407,1877,620
41,1,891,514,1039,733
41,2,857,350,960,501
41,4,373,559,583,821
41,5,424,303,536,433
41,6,424,115,496,195
41,8,537,121,603,184
41,10,609,50,651,98
41,13,1644,409,1875,627
42,1,890,516,1039,737
42,2,856,351,960,503
42,4,357,574,575,846
42,5,417,311,533,445
42,6,425,116,497,196
42,8,536,124,604,189
42,10,610,53,653,101
42,13,1636,410,1873,634
43,1,891,518,1040,738
43,2,856,352,961,506
43,4,341,591,567,873
43,5,409,319,529,457
43,6,425,117,497,196
43,8,535,127,604,193
43,10,609,55,653,103
43,13,1616,439,1831,644
44,1,892,520,1041,740
44,2,857,354,961,507
44,4,323,609,560,905
44,5,404,329,524,466
44,6,425,117,497,197
44,8,534,130,603,196
44,10,609,56,653,105
44,13,1607,455,1814,653
45,1,892,521,1041,743
45,2,857,355,961,508
45,4,306,629,552,937
45,5,395,337,521,480
45,6,425,117,498,197
45,8,534,134,602,199
45,10,609,58,654,107
45,13,1596,463,1805,663
46,1,892,523,1042,745
46,2,857,356,961,509
46,4,288,649,546,972
46,5,386,346,518,494
46,6,425,117,498,197
46,8,533,137,602,203
46,10,609,59,654,109
46,13,1586,471,1797,673
47,1,893,526,1042,748
47,2,857,358,962,511
47,4,271,669,540,1007
47,5,376,357,510,507
47,6,425,117,497,197
47,8,533,142,601,206
47,10,609,60,655,111
47,13,1577,480,1788,682
48,1,893,528,1042,752
48,2,857,360,962,514
48,4,250,691,529,1042
48,5,367,367,503,518
48,6,425,118,496,196
48,8,533,146,603,211
48,10,610,61,656,113
48,13,1567,489,1777,691
49,1,892,530,1043,757
49,2,857,360,963,516
49,4,230,715,517,1074
49,5,355,379,497,534
49,6,425,118,495,196
49,8,532,149,603,216
49,10,610,63,656,115
49,13,1556,498,1768,702
50,1,892,533,1044,762
50,2,857,362,963,517
50,4,220,743,500,1079
50,5,343,388,493,551
50,6,425,118,495,196
50,8,531,153,603,221
50,10,610,66,656,117
50,13,1543,505,1760,715
51,1,893,536,1045,765
51,2,859,364,963,517
51,4,210,768,479,1079
51,5,330,397,486,567
51,6,425,118,495,197
51,8,529,156,604,227
51,10,611,68,656,119
51,13,1532,514,1752,726
52,1,893,538,1046,769
52,2,859,365,964,519
52,4,205,796,461,1079
52,5,318,410,481,586
52,6,425,118,495,197
52,8,526,159,602,232
52,10,612,70,657,121
52,13,1521,522,1742,736
53,1,894,541,1046,773
53,2,860,365,965,520
53,4,194,814,451,1079
53,5,304,421,474,604
53,6,426,119,495,198
53,8,525,162,602,237
53,10,612,72,657,123
53,13,1509,529,1735,749
54,1,894,543,1047,775
54,2,860,367,965,522
54,5,293,434,466,620
54,6,426,119,495,198
54,8,524,166,602,243
54,10,612,75,657,126
54,13,1496,538,1725,762
55,1,895,546,1048,780
55,2,860,368,965,523
55,5,279,449,458,640
55,6,426,120,495,198
55,8,524,170,601,247
55,10,613,76,659,128
55,13,1485,548,1716,774
56,1,894,549,1048,785
56,2,859,368,965,525
56,5,261,460,450,662
56,6,427,121,495,199
56,8,523,175,601,253
56,10,612,78,659,131
56,13,1474,557,1706,785
57,1,895,553,1048,787
57,2,859,369,964,526
57,5,245,474,441,685
57,6,427,121,495,199
57,8,523,180,599,258
57,10,613,81,659,133
57,13,1463,566,1697,798
58,1,896,556,1049,790
58,2,858,370,964,527
58,5,230,490,432,707
58,6,427,122,494,198
58,8,522,185,598,263
58,10,613,82,661,135
58,13,1452,574,1690,812
59,1,896,559,1050,793
59,2,859,372,964,529
59,5,211,506,422,732
59,6,427,122,494,198
59,8,521,191,596,268
59,10,614,84,662,137
59,13,1441,585,1680,825
60,1,897,561,1051,796
60,2,858,373,964,531
60,5,190,521,411,758
60,6,427,122,494,198
60,8,519,195,597,274
60,10,614,85,662,139
60,13,1429,596,1672,841
60,16,599,11,630,53
61,1,897,563,1052,801
61,2,859,375,964,533
61,5,168,540,398,785
61,6,427,122,494,198
61,8,518,201,595,280
61,10,614,87,662,141
61,13,1417,605,1665,857
61,16,599,11,631,54
62,1,896,567,1053,807
62,2,858,375,965,535
62,5,144,558,386,816
62,6,426,121,494,199
62,8,515,207,594,288
62,10,614,90,662,144
62,13,1405,616,1658,874
62,16,600,12,632,56
63,1,897,569,1056,813
63,2,859,376,966,538
63,5,119,577,370,845
63,6,425,121,494,200
63,8,513,210,594,295
63,10,615,92,663,147
63,13,1395,628,1649,889
63,16,600,14,632,58
64,1,897,571,1058,817
64,2,859,378,966,538
64,5,92,600,354,879
64,6,426,121,494,200
64,8,512,216,591,299
64,10,614,94,663,149
64,13,1382,638,1642,909
64,16,601,19,631,59
65,1,897,574,1059,823
65,2,859,379,967,542
65,5,60,623,337,918
65,6,425,121,494,200
65,8,510,223,589,305
65,10,614,97,663,152
65,13,1369,649,1634,927
65,16,601,19,632,61
66,1,896,577,1061,828
66,2,860,381,967,544
66,5,33,645,325,955
66,6,425,120,494,200
66,8,507,227,589,314
66,10,614,99,663,154
66,13,1357,664,1627,948
66,16,601,20,632,63
67,1,897,579,1062,833
67,2,861,383,968,545
67,5,15,660,315,979
67,6,426,121,494,200
67,8,506,232,588,319
67,10,615,101,663,157
67,13,1344,676,1619,969
67,16,602,21,633,63
68,1,898,584,1063,837
68,2,861,384,968,547
68,5,0,694,305,1043
68,6,428,124,494,201
68,8,503,236,589,328
68,10,616,104,665,160
68,13,1332,689,1609,986
68,16,603,23,634,65
69,1,899,588,1063,840
69,2,862,386,969,548
69,5,0,710,295,1070
69,6,429,125,495,202
69,8,501,244,588,336
69,10,616,106,666,163
69,13,1319,701,1602,1008
69,16,602,23,634,67
70,1,899,591,1065,846
70,2,861,387,968,550
70,6,429,126,495,202
70,8,498,249,585,343
70,10,616,108,667,166
70,13,1307,716,1593,1030
70,16,603,26,635,69
71,1,900,594,1067,851
71,2,861,389,969,552
71,6,430,125,495,201
71,8,494,255,583,350
71,10,616,110,667,169
71,13,1294,730,1584,1052
71,16,604,29,635,71
72,1,900,597,1068,858
72,2,861,390,969,554
72,6,430,126,496,201
72,8,489,261,580,358
72,10,616,112,668,171
72,13,1281,743,1575,1073
72,16,605,29,637,72
73,1,899,601,1069,866
73,2,861,391,969,555
73,6,430,125,496,201
73,8,485,267,578,367
73,10,617,115,668,174
73,13,1273,759,1560,1079
73,16,606,32,637,74
74,1,899,605,1069,871
74,2,861,392,970,558
74,6,429,125,497,202
74,8,482,275,576,375
74,10,616,117,669,178
74,13,1268,777,1542,1079
74,16,607,33,638,74
75,1,899,608,1070,876
75,2,861,393,971,559
75,6,430,124,497,201
75,8,476,281,575,387
75,10,617,120,669,180
75,13,1261,795,1521,1079
75,16,608,38,637,76
76,1,900,613,1071,883
76,2,861,394,971,561
76,6,429,124,497,201
76,8,472,289,571,395
76,10,616,122,670,184
76,13,1250,808,1511,1079
76,16,608,41,636,77
77,1,899,616,1072,891
77,2,860,395,971,563
77,6,430,124,497,201
77,8,467,297,567,404
77,10,616,124,671,187
77,16,608,40,638,80
78,1,899,620,1074,897
78,2,860,397,971,565
78,6,430,124,497,201
78,8,461,304,565,416
78,10,616,127,672,190
78,16,608,40,640,81
79,1,899,625,1074,903
79,2,860,398,971,566
79,6,430,124,497,201
79,8,456,312,563,427
79,10,617,129,673,193
79,16,608,40,641,83
80,1,898,628,1077,912
80,2,860,399,971,568
80,6,430,124,497,201
80,8,450,320,560,439
80,10,617,131,673,197
80,16,607,41,641,85
81,1,898,631,1079,920
81,2,860,400,971,570
81,6,430,124,497,201
81,8,442,326,557,450
81,10,618,134,673,199
81,16,608,43,642,87
82,1,897,635,1083,929
82,2,860,402,972,571
82,6,430,125,497,201
82,8,436,336,553,461
82,10,617,136,674,203
82,16,608,45,643,90
83,1,897,637,1085,937
83,2,860,404,972,574
83,6,429,124,497,202
83,8,429,344,549,473
83,10,618,141,674,206
83,16,608,47,643,90
84,1,897,639,1088,944
84,2,861,405,973,576
84,6,429,123,497,202
84,8,422,353,545,485
84,10,619,144,674,209
84,16,608,48,643,93
85,1,897,642,1091,955
85,2,861,407,973,578
85,6,430,125,496,203
85,8,414,363,541,499
85,10,619,147,674,212
85,16,608,49,643,94
86,1,896,650,1091,964
86,2,861,409,973,580
86,6,430,126,496,203
86,8,406,374,534,509
86,10,618,149,674,215
86,16,607,50,644,96
87,1,898,661,1091,972
87,2,861,412,974,584
87,6,430,127,496,203
87,8,396,384,529,523
87,10,618,152,675,219
87,16,608,54,643,97
88,1,899,672,1090,979
88,2,861,414,975,587
88,6,430,127,496,203
88,8,384,394,524,539
88,10,617,154,675,223
88,16,610,56,645,99
89,1,899,675,1092,986
89,2,862,415,976,590
89,6,430,127,496,203
89,8,371,403,516,553
89,10,617,157,676,226
89,16,609,57,644,101
90,1,900,681,1093,994
90,2,861,417,976,593
90,6,430,127,496,203
90,8,358,414,513,573
90,10,617,161,675,230
90,16,609,57,647,103
91,1,899,686,1095,1004
91,2,861,419,976,596
91,6,430,126,496,203
91,8,346,427,506,590
91,10,617,166,675,233
91,16,610,60,647,105
92,1,897,692,1096,1015
92,2,860,420,977,599
92,6,430,126,496,203
92,8,335,439,500,608
92,10,617,169,675,237
92,16,611,63,647,106
93,1,897,698,1099,1025
93,2,860,422,977,601
93,6,429,126,496,203
93,8,323,451,495,627
93,10,616,172,676,242
93,16,611,64,648,108
94,1,899,706,1101,1036
94,2,859,424,978,604
94,6,429,125,496,204
94,8,310,464,490,648
94,10,615,175,677,247
94,16,611,66,649,111
95,1,897,712,1106,1056
95,2,859,426,978,605
95,6,429,125,496,204
95,8,295,478,482,671
95,10,614,178,677,252
95,16,612,66,650,112
96,1,897,719,1109,1068
96,2,859,428,978,608
96,6,429,125,496,204
96,8,279,494,473,693
96,10,613,181,678,257
96,16,612,70,650,114
97,1,898,726,1110,1078
97,2,859,431,979,611
97,6,429,125,496,204
97,8,264,510,466,718
97,10,613,184,678,261
97,16,613,72,651,117
98,1,900,733,1110,1079
98,2,859,433,980,614
98,6,429,125,496,204
98,8,247,527,454,739
98,10,613,188,678,264
98,16,613,73,651,118
99,1,905,739,1112,1079
99,2,858,436,981,619
99,6,429,125,496,204
99,8,227,543,444,765
99,10,612,192,678,270
99,16,613,75,652,120
100,1,911,747,1113,1079
100,2,859,438,982,623
100,6,430,124,496,204
100,8,205,560,434,793
100,10,612,196,679,274
100,16,613,75,653,122
101,1,911,753,1111,1079
101,2,859,440,984,626
101,6,430,124,496,204
101,8,180,578,422,825
101,10,612,199,680,278
101,16,613,77,653,123
102,1,914,761,1109,1079
102,2,860,442,985,630
102,6,430,125,496,204
102,8,156,596,413,858
102,10,612,203,681,284
102,16,614,79,654,125
103,1,917,771,1107,1079
103,2,860,444,986,632
103,6,430,124,496,204
103,8,133,619,397,889
103,10,611,206,681,289
103,16,614,82,655,128
104,1,917,780,1104,1079
104,2,860,447,986,636
104,6,430,125,496,204
104,8,104,642,383,925
104,10,610,209,681,295
104,16,614,84,655,131
105,1,918,788,1103,1079
105,2,859,450,987,640
105,6,430,125,495,205
105,8,76,666,367,962
105,10,608,213,681,301
105,16,614,87,656,133
106,1,920,798,1102,1079
106,2,859,452,987,644
106,6,430,125,496,205
106,8,43,687,351,1002
106,10,608,217,681,305
106,16,614,89,656,136
107,1,923,809,1102,1079
107,2,859,455,987,647
107,6,430,125,496,205
107,8,13,715,336,1046
107,10,607,222,679,308
107,16,614,91,656,137
108,1,925,818,1101,1079
108,2,859,458,988,652
108,6,431,128,494,206
108,8,0,744,321,1076
108,10,607,227,678,313
108,16,615,94,656,140
109,1,925,826,1100,1079
109,2,861,461,990,655
109,6,431,130,494,207
109,8,0,771,300,1079
109,10,606,231,678,318
109,16,615,95,657,142
110,1,925,838,1096,1079
110,2,860,464,990,659
110,6,430,130,494,207
110,8,0,790,289,1079
110,10,607,238,677,323
110,16,615,97,659,145
111,1,924,848,1093,1079
111,2,861,466,993,665
111,6,431,130,494,207
111,10,606,243,678,331
111,16,615,99,659,148
112,1,924,858,1091,1079
112,2,861,470,993,669
112,6,431,130,494,207
112,10,605,248,679,338
112,16,615,102,659,150
113,1,924,869,1089,1079
113,2,861,474,993,674
113,6,432,130,494,206
113,10,603,252,680,346
113,16,615,104,660,153
113,22,603,65,645,107
114,1,927,878,1086,1079
114,2,862,478,994,678
114,6,431,129,495,207
114,10,601,257,679,353
114,16,616,106,661,155
114,22,602,65,647,110
115,2,863,482,994,681
115,6,431,129,495,207
115,10,599,262,678,359
115,16,617,109,662,158
115,22,603,68,646,112
116,2,862,485,995,688
116,6,431,129,495,208
116,10,598,267,677,365
116,16,617,111,663,161
116,22,602,70,646,114
117,2,861,488,997,694
117,6,431,129,495,208
117,10,596,272,676,372
117,16,616,114,663,164
117,22,603,70,648,115
118,2,859,491,997,700
118,6,431,129,495,208
118,10,593,275,676,380
118,16,616,116,664,167
118,22,603,72,648,117
119,2,860,495,998,706
119,6,431,130,495,208
119,10,591,280,675,387
119,16,616,118,664,170
119,22,603,73,649,119
120,2,861,498,1001,713
120,6,432,131,495,208
120,10,590,288,674,396
120,16,616,120,664,172
120,22,604,76,648,121
121,2,861,502,1003,721
121,6,432,131,495,208
121,10,587,294,672,403
121,16,617,123,665,174
121,22,605,79,648,122
122,2,860,505,1004,728
122,6,433,133,494,208
122,10,583,300,670,412
122,16,618,126,665,177
122,22,606,81,650,126
123,2,860,509,1004,734
123,6,433,133,494,208
123,10,581,307,669,421
123,16,619,128,665,179
123,22,606,82,650,127
124,2,860,514,1005,740
124,6,433,133,494,208
124,10,579,314,669,428
124,16,619,130,667,182
124,22,606,83,652,130
125,2,861,519,1007,747
125,6,433,134,494,207
125,10,576,321,668,438
125,16,619,132,667,186
125,22,606,86,652,133
126,2,861,524,1009,755
126,6,433,134,494,208
126,10,573,326,667,447
126,16,619,134,668,189
126,22,606,89,651,135
126,25,684,45,725,83
127,2,861,529,1013,765
127,6,432,134,494,208
127,10,570,334,666,458
127,16,618,136,669,192
127,22,607,91,651,137
127,25,684,46,725,84
128,2,859,533,1013,773
128,6,432,134,494,208
128,10,567,343,663,467
128,16,618,138,669,196
128,22,607,93,652,140
129,2,859,537,1014,780
129,6,433,135,494,207
129,10,563,350,660,475
129,16,618,141,670,200
129,22,607,94,653,141
130,2,859,542,1014,786
130,6,433,135,494,207
