frame_id,vehicle_id,x1,y1,x2,y2
3,4,473,250,516,278
4,4,474,249,520,278
8,6,501,242,540,274
9,6,506,241,545,273
10,6,512,241,551,273
10,10,683,233,726,262
11,6,518,241,555,272
11,10,685,232,729,262
12,6,525,241,561,271
13,6,530,241,566,270
14,6,535,240,570,269
15,6,542,241,577,269
16,6,547,241,581,269
23,12,47,294,93,326
24,12,48,293,95,326
24,13,401,257,442,284
25,6,596,236,631,264
25,13,404,256,445,283
26,6,602,236,636,263
27,13,418,255,460,283
28,12,71,293,114,323
28,13,422,254,464,282
29,6,617,233,654,262
29,12,75,292,118,322
30,6,623,233,659,262
31,6,628,234,662,260
32,6,634,234,667,259
34,6,644,232,679,259
35,6,648,231,684,259
35,12,107,291,148,319
35,18,30,371,78,405
36,6,654,231,690,258
36,12,112,291,153,319
36,18,36,370,85,404
37,6,660,231,696,258
37,12,117,289,158,317
37,13,472,250,515,279
37,18,44,370,93,404
38,6,665,230,701,258
38,12,121,289,162,317
38,13,478,250,520,278
38,18,52,369,99,403
39,6,671,230,706,257
39,12,125,288,166,316
39,18,57,368,105,402
40,6,677,231,711,257
41,6,682,230,717,257
42,6,687,230,723,257
43,6,692,229,729,257
43,18,90,367,135,398
44,6,698,229,734,256
44,18,96,366,141,398
49,18,131,363,179,396
50,12,177,283,218,310
50,18,138,362,186,395
50,27,1741,661,1777,684
51,12,182,282,222,309
51,27,1737,661,1771,683
51,28,1868,187,1905,213
52,12,187,281,227,308
52,27,1732,660,1767,683
52,28,1871,187,1908,213
53,27,1729,660,1764,683
53,28,1878,185,1916,212
54,28,1882,184,1919,212
58,18,200,360,243,388
59,18,208,359,250,387
59,30,1441,215,1475,238
60,13,599,242,639,268
60,18,216,358,257,386
60,30,1444,215,1477,238
61,13,604,241,644,268
67,30,1485,213,1521,237
68,30,1490,212,1526,237
69,6,833,220,867,245
70,6,838,220,873,245
71,6,844,219,879,244
71,27,1645,649,1680,672
71,30,1507,212,1543,236
72,6,850,219,884,243
72,12,281,272,322,298
72,27,1640,649,1676,672
72,30,1512,212,1549,236
73,12,286,271,327,298
74,12,290,271,331,298
75,12,294,270,337,298
76,12,299,270,342,298
76,30,1533,210,1571,235
77,30,1539,210,1576,234
78,6,881,217,917,242
78,12,309,269,351,296
79,6,887,216,923,242
79,12,314,268,356,296
80,6,891,216,928,241
81,6,897,215,933,241
82,12,328,267,370,295
82,18,375,348,427,383
82,30,1566,210,1603,234
83,6,907,215,945,242
83,12,333,267,374,294
83,18,383,348,434,383
83,30,1572,210,1608,234
84,6,912,215,950,241
84,12,337,265,380,294
85,12,342,265,385,294
93,30,1624,206,1663,232
94,30,1629,206,1669,232
97,12,399,259,439,285
98,12,404,259,444,285
98,30,1651,205,1690,231
99,12,408,258,449,285
99,30,1656,205,1696,230
100,12,412,257,455,285
100,30,1662,205,1700,230
101,12,417,256,460,285
101,18,520,343,567,375
101,30,1667,205,1705,229
102,12,421,256,463,284
102,18,528,343,574,375
102,30,1673,205,1710,229
103,12,426,256,468,284
103,30,1677,204,1716,229
104,12,431,255,473,284
104,30,1683,203,1721,228
105,30,1688,203,1727,228
106,12,442,255,484,283
106,30,1694,203,1732,228
107,12,446,255,488,283
107,30,1699,203,1738,227
108,6,1044,208,1079,232
108,12,451,254,493,283
108,30,1704,202,1741,226
109,6,1048,208,1084,233
109,12,456,253,497,282
109,30,1710,202,1746,225
110,6,1054,208,1089,233
110,12,461,254,501,281
111,6,1057,206,1095,233
111,12,466,254,506,281
112,6,1064,207,1100,233
112,12,470,253,511,281
112,30,1725,200,1763,224
113,6,1069,207,1105,233
113,12,475,253,515,281
113,18,611,339,659,374
113,30,1730,200,1768,224
114,6,1074,207,1111,233
114,18,618,339,666,374
114,30,1736,200,1773,224
115,6,1079,205,1117,233
115,30,1741,199,1779,223
116,6,1084,205,1123,233
116,30,1746,199,1784,223
117,6,1090,205,1128,233
117,30,1751,198,1789,223
118,6,1095,206,1133,233
118,12,496,248,540,278
118,30,1756,198,1794,222
119,6,1100,206,1138,233
119,12,500,247,545,278
120,30,1766,197,1805,222
121,30,1772,197,1811,221
122,12,515,243,559,274
122,30,1777,196,1816,220
123,12,520,245,561,273
123,30,1783,196,1821,220
123,48,530,311,569,338
124,12,526,245,567,274
124,48,535,310,575,338
125,12,530,244,571,273
125,30,1791,192,1833,219
125,48,542,311,581,338
126,6,1139,205,1174,231
126,12,535,244,576,273
126,30,1796,192,1838,219
126,48,546,311,586,337
127,6,1145,205,1179,230
127,12,540,243,580,272
127,30,1801,191,1843,218
127,54,247,351,294,380
128,12,546,244,586,272
128,54,251,350,299,380
129,12,551,243,591,272
129,48,566,309,608,338
129,55,282,319,326,349
130,12,556,244,594,272
130,48,572,309,614,337
130,55,289,319,331,348
131,12,560,244,599,271
131,48,578,309,619,337
131,55,293,319,335,347
132,12,566,244,603,270
132,55,301,319,345,348
133,12,572,244,608,270
133,48,591,310,632,337
133,55,307,319,351,348
134,12,576,243,614,270
134,48,597,309,638,337
134,55,313,319,356,348
135,12,579,241,619,269
135,57,183,281,224,307
136,12,584,241,623,268
136,57,186,281,227,307
137,12,587,239,628,268
137,57,195,281,237,307
138,12,593,240,633,268
138,57,202,280,244,307
139,12,598,239,638,268
139,57,207,280,249,306
141,12,608,239,647,267
141,58,1391,197,1432,227
142,12,612,238,652,266
142,57,225,278,268,305
142,58,1394,197,1435,227
143,12,618,239,656,266
143,57,231,277,274,305
144,12,623,239,661,265
147,62,1728,599,1766,622
148,55,401,313,441,340
148,58,1430,197,1467,224
148,62,1723,598,1761,621
149,55,408,312,447,339
149,58,1435,197,1472,223
149,62,1717,597,1756,620
150,12,650,234,690,262
150,55,413,312,457,341
150,58,1441,197,1477,223
150,62,1712,596,1752,619
151,12,655,234,695,262
151,48,702,310,743,337
151,55,419,311,463,341
151,57,278,271,322,298
151,58,1446,197,1483,223
