frame_id,vehicle_id,x1,y1,x2,y2
10,4,1734,599,1853,700
11,4,1735,603,1850,701
12,4,1736,607,1844,698
13,4,1734,607,1842,698
16,4,1713,608,1820,700
17,4,1709,608,1816,700
22,17,1775,599,1815,638
23,4,1684,606,1777,685
23,17,1773,600,1811,637
24,4,1680,606,1771,684
25,18,56,283,105,331
25,20,1754,236,1834,313
26,4,1663,601,1767,690
26,18,58,280,109,330
26,20,1754,235,1835,313
27,4,1659,604,1759,690
28,4,1654,604,1754,690
29,4,1654,613,1742,687
29,18,76,284,120,327
30,4,1653,615,1734,681
30,18,81,285,125,327
31,4,1650,616,1728,679
31,18,85,284,128,326
35,18,107,286,147,325
36,18,112,286,151,324
36,23,1507,231,1620,342
37,20,1748,233,1831,312
37,23,1507,231,1619,342
38,20,1748,233,1830,312
39,18,127,284,166,321
40,18,130,284,171,322
40,20,1748,233,1831,312
41,18,134,283,176,322
41,20,1752,236,1831,310
41,23,1507,230,1620,342
42,4,1587,590,1685,670
42,18,139,283,180,321
42,20,1753,237,1831,310
42,23,1507,231,1620,342
43,4,1582,588,1680,669
43,18,142,278,187,320
43,20,1753,238,1831,310
43,23,1507,231,1621,343
44,4,1571,582,1674,668
44,18,146,277,191,319
44,20,1754,238,1832,310
44,23,1507,232,1620,343
45,4,1566,580,1670,667
45,18,152,279,194,317
45,20,1754,238,1833,309
45,23,1508,232,1621,344
46,4,1560,579,1668,671
46,18,157,278,200,317
46,20,1755,238,1833,309
46,23,1508,232,1621,344
47,4,1566,595,1655,668
47,18,161,276,206,317
47,20,1749,233,1837,313
48,4,1556,588,1652,668
48,18,166,275,211,317
48,20,1749,233,1837,314
49,4,1548,580,1650,666
49,18,171,274,216,315
49,20,1753,235,1836,310
50,4,1542,578,1646,665
50,18,175,273,220,315
50,20,1753,235,1836,310
51,4,1534,574,1644,668
51,18,179,270,227,314
52,4,1528,572,1640,668
52,18,183,269,232,314
54,4,1519,569,1633,669
55,4,1513,565,1628,668
56,4,1507,563,1624,668
56,42,760,218,797,255
57,20,1749,233,1838,315
57,42,763,218,799,255
58,20,1749,233,1838,316
58,42,771,213,811,254
59,42,775,211,816,254
67,4,1450,560,1558,657
68,4,1445,560,1553,656
74,4,1422,575,1519,662
74,42,860,213,895,248
75,4,1422,579,1515,661
75,42,865,213,900,247
76,4,1416,576,1514,663
77,4,1417,582,1505,658
78,4,1414,580,1501,654
79,4,1411,580,1496,653
80,18,271,313,315,353
81,4,1393,578,1490,661
81,18,276,316,318,354
82,4,1393,580,1479,651
82,18,282,316,323,353
83,4,1386,575,1477,649
83,18,286,318,327,354
84,4,1378,568,1480,653
84,18,293,313,338,354
85,4,1373,567,1476,653
85,18,300,315,343,353
86,18,307,315,348,351
87,18,312,316,352,352
88,18,317,311,363,352
89,18,325,314,368,352
90,18,330,314,373,352
