frame_id,vehicle_id,x1,y1,x2,y2
2,1,634,224,683,275
2,2,48,5,170,129
2,3,81,568,129,610
2,4,464,236,514,287
2,5,147,532,206,587
2,6,965,183,1044,262
2,7,1764,165,1816,215
2,8,281,591,329,632
2,9,1220,353,1270,397
3,1,641,225,689,275
3,2,48,5,170,129
3,3,74,569,122,611
3,4,466,236,517,287
3,5,141,534,198,588
3,6,965,178,1051,265
3,7,1768,165,1820,215
3,8,274,590,324,633
3,9,1227,353,1279,398
4,1,648,225,696,275
4,2,48,5,170,129
4,3,69,571,115,611
4,4,477,236,527,287
4,5,131,534,190,590
4,6,966,177,1055,266
4,7,1772,165,1824,215
4,8,268,590,318,634
4,9,1236,353,1288,399
5,1,655,225,701,274
5,2,48,5,170,129
5,3,64,572,108,611
5,4,481,235,532,287
5,5,120,532,182,591
5,7,1776,163,1830,215
5,8,263,590,314,634
5,9,1245,354,1296,399
6,1,661,225,707,273
6,2,48,6,169,129
6,3,56,574,99,611
6,5,115,534,174,590
6,7,1780,163,1833,215
6,9,1253,354,1305,400
7,1,666,225,712,273
7,2,48,6,169,128
7,3,49,574,91,612
7,5,108,534,168,591
7,7,1786,162,1839,213
7,9,1261,355,1312,400
8,1,672,224,718,272
8,2,48,6,169,129
8,3,40,573,85,612
8,4,498,234,548,285
8,7,1790,162,1843,213
8,9,1270,355,1321,400
8,11,605,181,684,248
9,1,676,223,723,271
9,2,48,6,170,130
9,3,32,572,79,613
9,4,503,232,553,283
9,5,93,528,160,591
9,6,973,197,1029,253
9,9,1278,356,1331,403
9,11,604,180,685,249
10,1,682,223,728,270
10,2,48,7,170,130
10,3,26,574,71,613
10,4,508,230,558,282
10,5,87,527,157,593
10,6,975,199,1027,252
10,9,1285,356,1340,405
10,11,602,180,685,250
11,1,687,222,735,271
11,2,48,7,169,131
11,3,20,576,63,613
11,4,511,229,563,282
11,5,80,524,156,595
11,6,972,198,1027,253
11,9,1292,357,1348,407
11,11,599,177,687,251
12,1,694,222,740,270
12,2,49,8,169,131
12,3,12,575,57,614
12,4,515,228,567,281
12,5,70,530,139,595
12,6,972,198,1027,253
12,7,1807,159,1863,213
12,9,1301,358,1356,407
12,11,596,175,688,252
13,1,699,221,746,269
13,2,49,9,168,130
13,3,4,576,50,615
13,4,518,226,572,281
13,5,65,535,128,596
13,6,972,197,1027,253
13,7,1811,159,1867,213
13,9,1310,359,1365,408
13,11,594,174,687,253
14,1,704,221,752,269
14,2,49,9,168,131
14,3,0,578,44,617
14,4,520,225,576,282
14,5,58,536,121,596
14,6,972,197,1028,254
14,7,1816,159,1870,213
14,9,1318,360,1373,409
14,11,594,174,686,253
14,16,5,293,49,335
14,17,1669,191,1713,235
15,1,709,220,758,268
15,2,49,10,168,131
15,3,0,579,39,618
15,4,522,223,581,283
15,5,51,538,111,596
15,6,973,197,1028,253
15,7,1820,158,1875,212
15,9,1326,362,1381,412
15,11,594,174,686,253
15,16,6,292,51,335
15,17,1675,192,1719,235
15,18,1190,211,1235,254
16,1,715,219,763,267
16,2,49,9,169,131
16,3,0,581,33,618
16,4,526,222,586,283
16,5,44,539,104,597
16,6,973,197,1028,253
16,9,1334,363,1388,413
16,11,594,175,686,253
16,17,1681,191,1725,234
16,18,1196,212,1240,254
17,1,721,219,768,267
17,2,49,9,169,131
17,3,0,582,26,618
17,5,36,540,96,598
17,6,972,196,1028,254
17,9,1342,363,1397,413
17,11,597,177,685,252
17,16,17,288,66,334
17,17,1687,189,1730,232
17,18,1201,211,1247,255
18,1,726,219,773,266
18,2,49,9,169,131
18,5,28,540,90,599
18,6,971,196,1028,255
18,9,1350,363,1406,416
18,11,599,179,684,251
18,16,21,287,71,334
18,17,1693,189,1735,231
18,18,1207,211,1253,254
19,1,732,219,779,266
19,2,49,10,168,131
19,5,23,540,84,598
19,6,970,196,1028,255
19,9,1357,364,1414,417
19,11,601,181,684,251
19,16,24,285,75,333
19,17,1698,189,1740,231
19,18,1211,211,1258,254
20,1,737,217,785,265
