frame_id,vehicle_id,x1,y1,x2,y2
2,2,1766,394,1806,421
3,2,1771,394,1810,422
3,4,1701,413,1752,448
3,5,475,249,514,277
4,4,1708,413,1760,449
4,5,481,249,520,277
5,4,1717,415,1768,450
5,5,486,249,524,276
6,4,1723,415,1774,450
6,5,491,246,532,275
7,5,495,243,538,275
8,5,501,243,543,274
9,5,505,242,548,274
12,4,1772,422,1820,455
12,5,522,241,565,273
13,4,1780,423,1828,456
13,5,527,240,570,272
17,5,554,243,589,269
18,5,559,242,594,268
18,27,1804,610,1841,637
19,5,564,242,599,268
19,27,1796,609,1833,636
20,5,569,243,604,268
20,27,1789,608,1826,635
21,5,575,242,610,267
21,27,1784,608,1821,634
22,5,580,241,615,266
23,5,585,239,621,265
24,5,590,238,627,264
25,5,595,237,632,264
26,5,601,236,638,263
27,5,606,236,643,263
28,5,612,236,648,262
29,5,616,234,655,262
30,5,621,233,659,262
31,5,626,233,665,261
31,27,1710,597,1749,625
32,27,1703,597,1742,624
33,5,638,231,676,260
34,5,644,232,680,259
34,37,5,344,31,371
34,38,816,226,856,254
35,5,649,232,685,259
35,37,8,343,35,371
35,38,819,226,859,254
36,5,655,232,691,259
36,37,11,342,39,370
37,5,660,231,697,258
37,37,17,341,46,370
38,5,665,230,702,258
38,37,20,341,50,369
38,38,839,225,879,253
39,5,670,230,707,257
39,38,844,224,884,253
39,44,1059,601,1103,625
39,45,1233,194,1266,218
40,5,676,229,712,256
40,44,1053,600,1099,626
40,45,1236,194,1269,218
41,5,681,230,717,256
41,38,856,224,896,252
41,44,1048,600,1093,625
41,48,1785,667,1818,692
41,50,33,340,77,367
42,5,687,230,723,256
42,38,861,223,902,252
42,44,1043,600,1088,625
42,45,1252,193,1286,217
42,48,1783,667,1816,692
42,50,38,339,84,367
43,5,692,229,729,256
43,38,867,223,907,252
43,44,1039,600,1083,625
43,45,1258,192,1292,217
43,50,43,339,90,367
44,5,697,228,734,256
44,38,873,223,914,252
44,45,1264,192,1297,216
44,48,1771,664,1803,689
44,50,51,338,97,366
45,5,702,228,739,255
45,38,878,223,919,252
45,48,1766,664,1798,688
45,50,57,337,103,365
46,5,708,228,744,254
46,48,1761,663,1793,687
46,50,63,336,109,365
47,5,714,227,750,254
47,50,68,336,115,364
48,5,719,227,755,254
48,50,74,334,123,365
49,5,724,227,761,253
49,48,1746,662,1780,687
49,50,81,335,128,364
50,5,729,226,766,253
50,48,1742,662,1775,686
50,50,86,334,134,364
50,55,967,540,1010,568
50,56,280,579,310,603
51,5,735,226,772,253
51,48,1738,661,1771,686
51,55,963,540,1007,567
51,56,274,580,304,604
52,5,740,225,777,252
52,50,100,334,145,362
52,55,951,539,994,566
52,56,267,580,297,604
53,5,746,225,783,251
53,50,105,334,151,362
53,55,945,539,988,566
53,56,262,580,292,604
54,5,752,225,788,251
54,48,1723,659,1757,684
54,55,936,539,980,566
55,5,757,224,793,251
55,48,1719,659,1753,684
55,55,930,539,973,566
56,5,761,224,799,251
56,55,921,538,965,566
57,5,767,224,804,251
57,55,914,538,958,566
58,5,773,224,810,251
59,5,778,224,815,250
59,45,1358,186,1393,212
60,5,784,224,820,250
60,45,1364,186,1399,211
60,50,146,329,194,358
60,55,892,539,935,565
61,5,790,224,825,249
61,45,1371,187,1405,211
61,50,153,329,200,358
61,55,885,538,928,565
62,45,1378,187,1411,211
62,50,158,328,206,358
63,45,1384,187,1418,211
64,45,1390,187,1424,211
64,62,1781,667,1817,692
65,62,1779,667,1814,691
66,62,1771,666,1807,691
67,62,1767,666,1802,690
68,5,828,222,863,247
68,48,1661,654,1692,676
68,55,834,538,875,564
68,62,1762,665,1798,689
68,63,262,274,302,301
69,5,833,221,868,246
69,48,1656,653,1687,675
69,50,202,326,247,354
69,55,826,538,868,564
69,62,1758,664,1793,688
69,63,264,274,304,300
70,50,208,326,253,354
70,62,1752,663,1789,688
70,63,271,273,313,300
71,62,1747,663,1784,688
71,63,276,272,318,300
72,62,1742,662,1780,687
72,63,280,272,322,300
73,50,225,324,271,353
73,62,1737,661,1775,687
73,63,285,272,326,299
74,50,231,323,277,352
74,62,1732,661,1771,686
74,63,289,271,330,298
75,5,865,218,901,245
76,5,870,218,907,244
76,55,774,537,815,563
76,63,299,269,342,298
77,5,875,217,913,244
77,50,251,323,294,350
77,55,767,537,808,563
77,63,303,269,347,298
78,5,880,217,918,244
78,50,257,323,300,350
78,68,1845,639,1879,665
78,69,1380,565,1416,592
79,50,263,323,306,350
79,68,1840,638,1874,664
79,69,1376,565,1412,591
80,5,892,216,927,242
80,50,269,322,312,349
80,55,744,538,785,563
80,68,1836,637,1869,664
80,69,1365,564,1401,590
80,70,4,342,23,370
81,5,897,216,933,242
81,50,275,321,319,349
81,55,736,537,779,563
81,68,1827,636,1859,661
81,69,1358,563,1394,589
81,70,7,341,26,370
82,50,281,321,325,349
82,55,729,537,772,563
82,68,1821,633,1853,659
82,69,1351,563,1387,589
82,70,9,341,28,370
83,45,1510,180,1544,205
83,55,722,537,764,563
83,68,1816,633,1847,658
83,69,1344,562,1380,589
84,5,914,215,949,241
84,45,1516,180,1550,205
84,55,714,538,756,563
84,68,1809,632,1840,657
84,69,1336,562,1373,588
85,5,919,215,955,241
85,45,1522,181,1557,205
85,48,1584,644,1617,668
85,55,706,537,749,563
85,68,1804,630,1834,655
85,69,1329,561,1366,587
86,45,1529,181,1563,205
86,48,1579,643,1612,667
86,50,305,320,348,347
86,55,699,538,741,563
86,68,1798,629,1829,655
86,69,1323,561,1359,587
87,45,1536,181,1570,205
87,48,1574,643,1608,667
87,50,312,320,354,347
87,55,692,537,734,563
87,63,352,265,393,293
87,68,1792,628,1822,652
87,69,1315,561,1352,587
88,45,1542,181,1576,205
88,48,1569,642,1603,667
88,50,318,320,360,346
88,55,684,537,727,563
88,62,1668,653,1704,677
88,63,357,265,398,292
88,68,1786,627,1816,652
88,69,1308,561,1345,586
89,50,324,320,365,346
89,55,676,537,720,563
89,62,1663,652,1700,676
89,68,1780,626,1810,651
90,55,669,537,712,563
91,48,1556,640,1590,665
92,48,1551,640,1585,664
93,45,1572,177,1608,203
93,55,645,536,691,564
93,62,1645,650,1682,675
94,45,1578,177,1615,203
94,55,638,536,684,564
94,62,1640,650,1677,674
94,68,1749,621,1779,645
95,45,1584,175,1622,202
95,50,362,318,404,344
95,62,1636,650,1673,674
95,63,390,261,430,288
95,68,1743,620,1772,644
96,45,1590,174,1629,202
96,50,367,317,410,344
96,63,394,260,435,287
96,68,1737,619,1765,643
97,45,1596,175,1633,202
97,48,1529,638,1563,663
97,50,373,317,415,344
97,68,1731,618,1759,642
98,45,1603,175,1640,202
98,48,1523,637,1559,663
98,50,379,317,421,344
98,68,1725,617,1753,641
99,48,1519,636,1554,663
99,63,408,258,450,286
100,63,412,258,455,286
100,70,1,306,18,332
101,48,1511,636,1545,661
101,50,396,316,440,344
101,68,1708,615,1735,637
101,70,0,304,18,330
102,45,1627,171,1666,201
102,48,1507,635,1541,660
102,50,402,316,446,344
102,62,1603,646,1641,670
102,68,1701,613,1729,637
102,69,1207,554,1245,581
103,45,1633,171,1673,200
103,48,1503,636,1535,659
103,62,1599,645,1636,670
103,68,1695,611,1723,636
103,69,1200,554,1238,580
104,45,1643,174,1677,200
104,48,1498,635,1531,659
104,68,1689,610,1717,635
104,69,1192,554,1230,580
105,45,1649,175,1683,200
105,48,1494,635,1527,659
105,68,1682,609,1711,634
105,69,1185,554,1223,580
106,45,1655,174,1690,200
106,62,1585,644,1623,668
106,68,1676,609,1705,633
107,45,1662,176,1695,200
107,55,542,539,588,567
107,62,1580,643,1618,667
107,68,1670,608,1699,632
108,45,1669,176,1701,200
108,55,534,539,581,567
108,68,1663,607,1692,631
109,68,1658,605,1686,630
109,69,1156,552,1194,578
109,85,1708,202,1746,227
110,68,1652,605,1680,628
110,69,1149,551,1188,578
110,85,1713,201,1752,227
111,50,457,313,501,341
111,68,1646,604,1674,628
111,69,1142,551,1181,577
111,85,1718,200,1758,227
112,50,463,312,507,341
112,63,469,253,511,281
112,68,1640,603,1668,627
112,69,1135,551,1174,577
112,85,1723,199,1764,227
113,50,469,313,514,341
113,63,473,251,517,281
113,68,1635,603,1662,626
113,69,1128,551,1166,577
113,85,1727,199,1768,227
114,50,476,312,520,341
114,63,478,250,522,280
114,68,1629,602,1656,625
114,69,1120,551,1159,577
114,85,1734,199,1774,226
115,50,482,313,525,341
115,63,483,249,526,279
115,68,1620,600,1649,625
115,69,1113,550,1152,577
115,85,1740,199,1779,225
116,50,489,313,530,341
116,63,488,249,529,278
116,68,1614,599,1642,624
116,69,1106,550,1145,576
116,85,1745,199,1784,225
117,50,495,313,537,341
117,63,493,249,532,277
117,68,1608,598,1636,623
117,69,1099,550,1138,576
118,62,1531,638,1568,662
118,63,498,249,538,276
118,68,1602,597,1630,622
118,69,1092,550,1130,575
118,85,1755,197,1795,224
119,62,1526,638,1563,661
119,63,503,249,542,276
119,68,1597,597,1623,620
119,69,1085,550,1123,575
119,85,1761,197,1800,223
120,50,513,312,554,339
120,68,1592,596,1617,619
120,85,1766,197,1805,223
121,50,519,312,560,339
121,68,1584,595,1611,619
121,69,1069,548,1109,575
122,68,1578,594,1605,619
122,69,1062,547,1102,575
123,45,1762,169,1796,194
123,68,1572,594,1598,617
123,69,1055,548,1095,574
123,85,1781,194,1820,220
124,45,1768,169,1803,194
124,68,1566,592,1593,616
124,69,1048,547,1088,575
124,85,1786,193,1825,220
125,68,1560,591,1587,616
125,69,1040,547,1080,574
126,68,1553,590,1581,615
127,68,1548,590,1575,614
127,85,1802,192,1840,218
128,45,1792,168,1826,193
128,68,1541,588,1569,613
128,85,1807,192,1845,218
129,45,1798,168,1832,193
129,68,1535,588,1563,612
130,55,376,543,421,571
130,68,1528,587,1555,611
130,85,1818,192,1855,217
131,55,369,543,414,571
131,68,1522,586,1548,610
131,85,1823,192,1860,216
132,55,362,545,406,572
132,68,1514,585,1543,610
133,50,591,311,633,338
133,55,355,546,398,572
133,63,570,243,609,271
133,68,1508,584,1536,609
134,50,597,310,639,338
134,55,348,546,391,572
134,63,575,243,614,270
134,68,1502,583,1530,608
135,50,603,310,645,338
135,68,1497,582,1524,607
136,50,610,310,651,337
136,68,1490,582,1518,606
137,50,617,311,657,338
138,50,623,311,663,338
138,55,320,549,362,574
138,63,593,240,633,268
139,55,313,549,355,575
139,63,598,240,638,268
141,50,641,311,681,338
142,50,647,311,687,338
143,55,283,549,326,576
143,63,618,240,656,266
144,50,661,311,700,337
144,55,276,550,319,576
144,63,623,239,661,265
145,50,667,311,706,337
147,50,679,311,719,337
148,50,685,311,725,337
148,68,1415,572,1444,598
149,50,692,311,731,337
149,68,1410,572,1437,597
150,50,698,311,738,337
150,68,1404,571,1431,596
151,50,703,311,743,337
151,68,1398,570,1425,595
152,50,709,311,749,337
153,50,715,311,755,337
154,50,722,311,762,337
155,50,727,310,768,337
155,68,1372,568,1399,592
156,50,733,310,774,337
156,68,1365,567,1393,592
157,50,739,310,780,337
157,63,683,233,724,261
157,68,1358,566,1387,592
158,50,745,310,786,337
158,63,688,232,729,261
158,68,1352,566,1380,590
159,50,751,310,792,337
159,68,1347,566,1374,590
160,50,757,310,797,337
160,68,1340,565,1368,589
160,109,474,313,518,341
161,50,764,310,804,337
161,68,1333,564,1362,589
161,109,481,313,525,341
162,50,770,311,810,337
162,68,1327,564,1355,589
162,109,485,313,529,341
163,50,777,311,816,337
163,68,1320,563,1348,588
163,109,493,312,538,341
164,50,782,311,822,337
164,55,136,556,180,584
164,68,1314,563,1342,588
164,109,500,312,544,341
165,50,788,311,828,337
165,55,129,556,173,585
165,68,1308,563,1336,587
165,109,506,312,551,341
166,50,794,312,834,338
166,68,1301,562,1330,587
166,109,513,312,556,341
167,50,801,312,840,337
167,68,1294,561,1323,586
167,109,519,312,562,341
167,115,1354,195,1389,220
168,50,807,312,846,338
168,68,1288,561,1316,585
168,109,525,312,569,341
168,115,1356,195,1391,220
169,50,813,312,852,337
169,55,98,559,141,586
169,68,1282,560,1310,585
169,109,532,312,575,340
169,115,1364,194,1399,220
170,50,820,313,858,337
170,55,91,559,135,586
170,63,745,226,786,255
170,109,538,312,581,340
170,115,1368,194,1403,219
170,120,750,344,793,370
171,55,86,560,129,587
171,63,750,225,791,254
171,109,544,311,587,341
171,120,755,344,804,373
172,50,832,313,871,338
172,55,77,560,121,587
172,63,755,226,795,254
172,109,551,311,594,341
172,120,765,343,812,372
173,50,838,313,877,338
173,55,70,560,113,587
173,63,760,225,800,253
173,109,557,311,600,341
173,120,775,343,819,370
174,50,845,313,884,338
174,109,564,311,606,341
174,120,784,343,828,370
175,50,850,313,890,338
175,55,54,562,99,590
175,109,570,311,612,341
175,120,791,344,835,371
176,50,856,312,897,339
176,55,47,563,93,591
176,63,773,225,813,253
176,68,1238,558,1265,580
176,120,799,344,846,373
177,50,861,312,903,339
177,55,40,563,85,591
177,63,778,225,818,252
177,68,1232,557,1259,580
177,109,583,311,625,340
177,120,806,344,853,374
178,50,868,312,909,339
178,68,1225,556,1252,579
178,109,590,311,631,339
178,128,1169,611,1201,635
179,50,874,313,916,340
179,68,1218,555,1246,578
179,109,596,311,637,339
179,128,1164,611,1197,636
180,50,880,312,922,340
180,68,1212,555,1239,578
180,128,1161,611,1194,636
181,50,886,312,928,340
181,68,1207,555,1233,578
181,128,1155,611,1187,635
182,68,1200,555,1227,578
182,109,615,311,655,339
182,128,1151,611,1183,635
183,68,1194,554,1222,578
183,109,621,311,661,339
183,120,857,346,903,375
183,128,1146,611,1177,634
184,50,904,312,947,341
184,68,1187,554,1215,578
184,109,628,311,669,339
184,120,865,346,911,375
184,128,1142,610,1173,634
185,50,910,313,953,341
185,68,1180,553,1209,577
185,109,635,311,674,338
185,128,1136,610,1169,635
186,50,916,313,959,341
186,68,1173,552,1203,577
186,109,641,311,680,338
186,128,1132,609,1165,634
187,50,923,314,964,341
187,68,1166,551,1195,576
