frame_id,vehicle_id,x1,y1,x2,y2
2,1,283,260,329,305
2,2,147,532,207,587
2,3,50,4,180,129
2,4,1683,401,1744,454
2,6,1459,379,1504,420
2,7,1259,167,1363,216
2,8,469,240,512,283
2,9,956,181,1043,257
2,10,84,569,126,609
2,11,1606,200,1644,234
2,12,1443,160,1489,185
2,14,283,591,326,630
2,15,587,561,622,595
2,17,1117,220,1161,258
2,18,98,501,169,574
2,19,1558,155,1593,176
2,20,1413,164,1447,191
2,21,786,187,853,221
3,1,288,258,334,304
3,2,139,533,198,587
3,3,51,4,181,130
3,4,1692,402,1752,454
3,6,1465,378,1511,421
3,7,1260,167,1363,216
3,8,473,239,518,283
3,9,957,181,1046,258
3,10,76,570,119,610
3,11,1610,198,1650,235
3,12,1443,160,1489,185
3,14,276,591,320,632
3,15,584,560,620,595
3,17,1120,220,1164,258
3,18,98,502,167,573
3,19,1558,155,1593,176
3,20,1413,164,1447,191
3,21,786,187,853,221
3,22,1499,157,1534,175
4,1,293,257,340,304
4,2,130,534,190,589
4,3,51,4,181,130
4,4,1698,403,1759,455
4,6,1472,378,1518,421
4,7,1260,167,1362,216
4,8,478,238,524,284
4,10,69,570,112,610
4,11,1615,198,1657,235
4,12,1443,160,1489,185
4,14,271,593,314,632
4,17,1130,219,1172,256
4,19,1558,155,1593,175
4,20,1413,164,1447,191
4,21,786,187,853,221
4,22,1499,157,1534,176
5,1,298,256,345,303
5,2,117,532,181,591
5,3,51,4,181,130
5,4,1704,403,1765,456
5,6,1482,379,1526,421
5,7,1260,167,1363,216
5,8,484,236,532,284
5,10,63,573,104,611
5,11,1621,197,1663,235
5,12,1443,159,1489,185
5,14,266,594,308,633
5,17,1134,218,1177,255
5,20,1413,164,1447,191
5,21,786,187,855,221
5,22,1498,157,1534,176
5,25,1776,166,1827,213
6,1,303,256,351,303
6,2,109,531,172,590
6,3,50,4,181,130
6,6,1490,381,1534,421
6,7,1260,167,1363,215
6,8,489,235,538,283
6,10,55,573,96,611
6,11,1628,198,1669,235
6,12,1443,159,1489,185
6,14,259,594,301,633
6,20,1413,164,1447,191
6,21,785,187,854,221
6,22,1498,157,1534,176
6,25,1780,166,1832,213
6,26,1892,612,1914,653
7,1,309,256,356,302
7,2,98,524,168,589
7,3,49,4,181,131
7,6,1498,381,1542,423
7,7,1260,167,1363,215
7,8,494,234,543,283
7,10,47,573,89,611
7,11,1633,198,1674,235
7,12,1443,159,1489,185
7,14,252,594,295,633
7,20,1413,164,1447,191
7,21,785,187,854,221
7,22,1498,157,1534,176
7,25,1785,165,1837,212
7,26,1890,612,1913,654
8,1,315,256,360,301
8,2,90,523,162,589
8,3,49,3,180,131
8,6,1505,382,1551,425
8,7,1261,167,1363,215
8,8,500,236,547,282
8,10,39,572,82,612
8,11,1639,197,1680,234
8,12,1442,159,1489,185
8,14,244,593,289,634
8,18,93,510,167,588
8,20,1413,164,1447,191
8,22,1498,157,1534,176
8,25,1789,164,1842,211
9,1,321,256,365,300
9,3,49,3,180,131
9,6,1513,383,1558,426
9,7,1261,167,1363,215
9,8,504,235,551,281
9,10,32,573,76,613
9,11,1645,197,1685,233
9,12,1442,159,1489,185
9,14,239,593,284,634
9,18,90,509,165,588
9,20,1413,164,1447,191
9,22,1498,157,1534,176
9,25,1794,164,1846,212
9,28,1866,608,1907,650
10,1,326,255,372,300
10,2,85,532,147,590
10,3,49,3,180,131
10,4,1750,413,1807,462
10,6,1521,383,1566,426
10,7,1263,168,1362,215
10,8,508,233,556,281
10,10,26,574,69,613
10,11,1650,197,1690,233
10,12,1442,159,1489,185
10,14,235,594,279,634
10,18,89,511,164,589
10,20,1413,164,1447,191
10,22,1498,157,1534,176
10,25,1798,163,1850,211
10,28,1856,606,1898,649
11,1,331,255,376,300
11,2,79,536,137,591
11,3,49,4,180,131
11,4,1756,413,1814,464
11,6,1530,385,1575,427
11,7,1262,168,1363,215
11,8,512,232,562,281
11,10,20,577,61,614
11,11,1655,196,1697,233
11,12,1442,159,1489,185
11,14,232,596,274,635
11,20,1413,164,1447,191
11,22,1498,157,1534,176
11,25,1802,163,1855,211
11,28,1850,606,1891,648
12,1,336,255,381,299
12,2,71,538,128,591
12,3,49,4,180,131
12,4,1763,414,1821,465
12,6,1539,387,1582,427
12,7,1263,168,1362,215
12,8,517,231,567,280
12,10,13,577,54,615
12,11,1660,195,1702,233
12,12,1442,159,1489,185
12,14,226,597,268,635
12,20,1413,164,1447,191
12,22,1498,157,1534,176
12,25,1807,163,1859,211
12,28,1845,607,1884,646
13,1,342,254,386,297
13,2,65,540,120,591
13,3,49,4,180,131
13,6,1547,388,1591,429
13,7,1263,168,1361,214
13,10,5,579,46,616
13,11,1665,195,1708,233
13,12,1442,159,1489,185
13,14,221,597,262,635
13,22,1498,157,1534,176
13,25,1811,162,1865,211
13,28,1838,606,1877,645
14,1,349,254,392,296
14,2,60,540,114,591
14,3,48,3,180,131
14,6,1556,390,1598,430
14,7,1264,168,1361,214
14,10,0,580,40,617
14,11,1671,195,1713,233
14,12,1442,159,1489,185
14,14,215,597,257,635
14,20,1413,164,1447,191
14,22,1497,157,1534,176
14,25,1815,161,1869,211
14,28,1831,604,1871,644
15,1,353,253,397,296
15,2,53,542,106,590
15,3,48,3,180,131
15,4,1786,415,1856,476
15,6,1563,390,1605,430
15,7,1262,167,1363,215
15,10,0,582,35,618
15,11,1677,195,1720,233
15,12,1442,159,1489,185
15,14,209,597,252,636
15,19,1558,155,1592,175
15,20,1413,164,1447,191
15,22,1497,157,1534,176
15,25,1819,161,1874,211
15,28,1823,602,1865,644
15,29,1863,399,1904,440
16,1,358,253,402,295
16,2,46,543,97,591
16,3,48,3,180,131
16,4,1795,417,1860,474
16,6,1571,392,1613,431
16,7,1261,167,1363,215
16,10,0,583,29,617
16,11,1683,194,1724,231
16,12,1442,159,1489,185
16,14,204,597,247,636
16,15,496,562,530,594
16,18,95,497,167,573
16,19,1558,155,1592,175
16,20,1413,164,1447,191
16,22,1497,156,1533,176
16,25,1823,160,1878,210
16,28,1815,601,1858,643
16,29,1873,400,1914,442
17,1,364,253,407,295
17,2,36,543,90,592
17,3,48,3,180,131
17,4,1802,417,1865,473
17,6,1579,394,1621,432
17,7,1261,167,1363,215
17,10,0,584,24,617
17,11,1688,194,1730,231
17,12,1442,159,1489,185
17,14,198,597,242,637
17,15,490,562,523,594
17,17,1204,215,1246,252
17,18,96,496,168,572
17,19,1558,155,1592,175
17,22,1497,156,1533,176
17,25,1826,157,1883,209
17,28,1808,601,1851,642
17,29,1879,401,1919,443
18,1,369,253,412,294
18,2,29,543,84,594
18,3,49,4,180,131
18,4,1809,418,1873,474
18,6,1586,393,1629,433
18,7,1262,168,1362,215
18,10,0,585,18,617
18,11,1694,194,1734,231
18,12,1442,159,1489,186
18,14,194,597,237,636
18,17,1209,214,1252,252
18,18,96,496,168,572
18,19,1558,155,1592,175
18,22,1497,156,1534,176
18,25,1830,154,1888,208
18,28,1802,601,1844,642
19,1,375,252,417,292
19,2,23,544,78,594
19,3,49,4,181,131
19,4,1819,419,1880,474
19,6,1594,394,1637,434
19,7,1262,168,1362,215
19,11,1699,194,1740,231
19,12,1443,159,1489,186
19,14,187,597,230,636
19,15,477,562,510,596
19,19,1558,155,1592,175
19,20,1413,163,1447,191
19,22,1497,156,1534,176
19,25,1834,152,1892,206
19,28,1795,600,1837,640
20,1,380,250,424,293
20,2,16,544,72,596
20,3,49,4,181,131
20,4,1828,423,1884,473
20,6,1603,396,1644,434
20,7,1262,168,1362,215
20,11,1705,194,1745,230
20,12,1443,159,1489,186
20,14,180,598,222,636
20,15,471,561,504,596
20,19,1558,155,1592,175
20,20,1413,163,1447,191
20,22,1497,156,1534,176
20,25,1838,150,1896,205
20,28,1787,597,1831,639
20,31,1005,177,1114,228
20,32,30,286,81,334
21,1,385,250,429,292
21,2,7,543,67,598
21,3,50,4,181,131
21,4,1833,423,1890,474
21,6,1609,395,1652,434
21,11,1710,194,1751,231
21,12,1443,159,1489,186
21,14,175,599,216,637
21,15,464,561,498,596
21,17,1226,212,1270,251
21,19,1558,155,1592,175
21,20,1413,163,1447,191
21,22,1497,156,1534,176
21,25,1842,150,1900,204
21,28,1781,598,1823,637
21,31,1006,178,1116,229
21,32,35,286,86,333
21,33,1378,368,1428,412
22,1,390,250,435,292
22,2,0,544,60,598
22,3,50,4,181,131
22,4,1836,422,1897,475
22,6,1617,396,1659,435
22,11,1715,193,1757,231
22,12,1443,159,1489,186
22,14,168,600,210,637
22,15,459,563,492,597
22,17,1232,212,1276,251
22,19,1558,155,1592,175
22,20,1413,163,1447,191
22,22,1497,156,1534,176
22,25,1847,150,1905,205
22,28,1774,595,1817,636
22,31,1007,178,1117,230
22,32,40,286,91,333
22,33,1383,368,1432,412
23,1,396,250,440,291
23,2,0,547,52,597
23,3,50,4,181,131
23,4,1843,423,1904,476
23,6,1626,397,1667,434
23,11,1720,192,1763,231
23,12,1443,159,1489,186
23,14,163,601,204,638
23,15,453,564,486,598
23,19,1558,155,1592,175
23,20,1413,163,1447,191
23,22,1497,156,1534,176
23,25,1852,151,1908,204
23,28,1766,594,1810,635
23,31,1007,179,1117,230
23,32,45,286,96,332
23,33,1395,371,1442,413
24,1,401,248,446,290
24,2,0,549,46,597
24,3,50,3,181,131
24,6,1634,398,1675,435
24,11,1725,191,1768,230
24,12,1443,159,1489,186
24,14,156,601,200,640
24,15,447,564,480,598
24,19,1558,155,1593,175
24,20,1413,163,1447,191
24,22,1497,156,1534,176
24,25,1858,153,1912,204
24,28,1760,595,1802,634
24,31,1007,179,1117,230
24,32,50,285,100,331
24,33,1405,372,1450,413
24,34,757,217,806,263
25,1,407,248,451,289
25,2,0,550,40,597
25,3,50,4,181,130
25,6,1642,399,1681,435
25,11,1731,190,1774,230
25,12,1443,159,1489,186
25,14,151,602,194,640
25,15,440,565,473,598
25,17,1248,212,1293,252
25,19,1558,155,1592,175
25,20,1413,163,1447,191
25,22,1497,156,1534,176
25,25,1863,154,1917,205
25,28,1753,593,1796,633
25,31,1007,179,1118,230
25,32,54,281,108,331
25,33,1414,373,1459,413
25,34,763,218,811,263
25,35,1860,670,1898,706
26,1,412,248,457,289
26,3,51,4,181,130
26,6,1649,400,1690,436
26,11,1736,190,1779,230
26,12,1443,159,1489,186
26,14,143,601,188,640
26,15,433,565,466,598
26,17,1254,212,1299,252
26,19,1558,155,1592,175
26,20,1413,163,1447,191
26,22,1497,156,1534,176
26,25,1867,154,1919,206
26,28,1745,591,1790,633
26,32,60,281,112,329
26,33,1421,373,1468,414
26,34,770,219,816,262
26,35,1855,668,1894,705
27,1,417,247,462,289
27,3,51,4,181,130
27,6,1656,400,1698,437
27,11,1741,189,1784,229
27,12,1443,159,1489,186
27,14,136,600,181,640
27,15,427,566,458,598
27,19,1558,155,1592,175
27,20,1413,163,1447,191
27,22,1497,156,1534,176
27,25,1870,154,1919,207
27,28,1738,590,1784,632
27,32,64,281,115,329
27,33,1430,374,1476,415
27,34,775,219,820,262
27,35,1851,667,1890,704
28,3,51,4,181,130
28,6,1664,403,1705,440
28,11,1747,189,1789,228
28,12,1443,159,1489,186
28,14,129,599,176,640
28,15,421,566,452,598
28,19,1558,155,1592,175
28,20,1413,163,1447,191
28,22,1497,156,1534,176
28,25,1873,152,1919,206
28,28,1731,590,1777,632
28,32,69,282,119,329
28,33,1437,375,1486,418
28,34,782,219,826,261
28,35,1845,665,1885,702
29,3,51,4,181,129
29,6,1672,403,1713,441
29,7,1263,166,1364,216
29,11,1753,189,1794,227
29,12,1443,158,1489,186
29,14,123,599,170,641
29,19,1558,155,1592,175
29,20,1413,163,1447,191
29,22,1497,156,1534,176
29,25,1874,150,1919,207
29,28,1723,589,1768,631
29,32,73,283,124,329
29,33,1445,375,1494,419
29,34,787,219,831,260
29,35,1839,663,1879,700
30,3,52,4,181,129
30,6,1679,404,1721,441
30,7,1263,166,1365,216
30,11,1758,188,1799,227
30,12,1443,158,1489,186
30,14,118,601,164,641
30,19,1559,155,1593,175
30,20,1413,163,1448,191
30,22,1497,156,1534,176
30,25,1877,148,1919,206
30,28,1716,589,1760,630
30,32,78,282,129,329
30,33,1453,376,1502,420
30,34,794,218,838,261
30,35,1835,663,1874,699
31,3,52,4,181,129
31,6,1688,406,1729,444
31,11,1764,189,1805,227
31,12,1443,158,1489,186
31,14,112,601,158,641
31,19,1559,155,1593,175
31,20,1413,163,1448,191
31,22,1497,156,1534,176
31,25,1880,148,1919,206
31,28,1709,590,1753,629
31,32,84,282,134,328
31,33,1460,377,1510,422
31,34,799,218,843,260
31,35,1830,663,1870,701
32,3,51,5,180,129
32,6,1694,407,1736,446
32,7,1264,167,1362,215
32,11,1769,188,1810,227
32,12,1443,158,1489,185
32,14,108,604,152,643
32,19,1559,155,1593,175
32,20,1413,163,1448,191
32,22,1497,156,1534,176
32,28,1701,588,1747,629
32,32,89,282,138,327
32,33,1467,377,1518,423
32,35,1826,662,1866,700
33,3,51,5,180,129
33,6,1702,408,1743,446
33,7,1264,167,1362,215
33,11,1774,187,1815,226
33,12,1443,158,1489,185
33,14,103,605,146,643
33,19,1559,155,1592,175
33,20,1413,162,1448,191
33,22,1497,156,1534,176
33,28,1694,586,1741,629
33,32,94,282,142,327
33,33,1474,377,1526,423
33,35,1821,663,1860,699
33,39,6,336,27,375
34,3,51,5,180,129
34,6,1709,410,1750,447
34,7,1262,168,1362,217
34,11,1780,187,1820,226
34,12,1443,158,1489,185
34,14,95,603,140,643
34,19,1559,155,1592,175
34,20,1413,162,1448,191
34,22,1497,156,1534,176
34,28,1686,585,1733,628
34,32,99,281,147,327
34,33,1484,378,1534,423
34,34,815,218,861,261
34,35,1817,663,1854,699
34,39,8,336,29,375
34,41,25,363,74,407
35,3,51,5,180,129
35,6,1718,413,1758,449
35,7,1262,168,1363,217
35,11,1785,187,1825,225
35,12,1444,158,1489,185
35,14,90,604,134,643
35,19,1559,155,1592,175
35,20,1413,162,1448,191
35,22,1497,156,1534,176
35,28,1680,586,1726,626
35,32,105,281,152,325
35,33,1493,379,1543,424
35,34,820,217,865,260
35,35,1812,664,1849,698
35,41,33,361,83,407
36,3,51,5,180,129
36,6,1726,414,1765,450
36,11,1790,187,1830,225
36,12,1444,158,1489,185
36,14,85,604,128,643
36,19,1559,155,1592,175
36,20,1414,162,1448,191
36,22,1497,156,1534,176
36,28,1672,584,1719,626
36,32,110,280,157,324
36,33,1501,380,1551,425
36,34,826,217,871,260
36,35,1806,664,1844,699
36,41,36,359,89,407
36,42,4,332,47,377
36,43,1620,595,1707,666
37,3,51,4,180,129
37,7,1264,168,1366,219
37,11,1796,186,1835,224
37,12,1444,157,1489,185
37,14,80,605,122,643
37,19,1559,155,1592,175
37,20,1414,162,1448,191
37,22,1497,156,1534,176
37,28,1665,583,1712,626
37,32,114,280,161,324
37,33,1510,382,1558,426
37,34,831,216,877,259
37,35,1801,663,1839,698
37,41,44,360,96,407
37,42,8,330,53,376
37,43,1617,597,1702,666
38,1,476,239,527,286
38,3,51,4,180,129
38,7,1264,168,1366,219
38,11,1800,186,1840,224
38,12,1443,157,1489,185
38,14,75,606,117,643
38,15,355,567,389,602
38,17,1321,211,1365,250
38,19,1559,155,1592,175
38,20,1414,162,1448,191
38,22,1497,156,1534,176
38,28,1657,583,1704,626
38,32,118,279,165,324
38,33,1517,383,1567,428
38,34,837,215,882,258
38,35,1795,661,1833,697
38,41,49,359,103,407
38,42,14,330,59,376
38,43,1610,597,1692,664
38,44,1224,185,1264,225
39,1,480,237,533,286
39,3,51,4,180,129
39,6,1751,415,1790,452
39,11,1804,185,1845,224
39,12,1443,157,1489,185
39,14,69,607,111,644
39,15,349,567,383,602
39,17,1326,210,1371,250
39,19,1559,155,1592,175
39,20,1413,162,1448,191
39,22,1496,156,1534,176
39,28,1650,582,1698,625
39,32,122,278,170,324
39,33,1526,384,1576,429
39,34,842,214,889,258
39,35,1791,660,1830,697
39,41,57,356,110,405
39,42,20,330,64,375
39,43,1606,597,1686,663
39,44,1230,184,1270,224
40,1,486,236,539,286
40,3,51,4,180,129
40,6,1759,417,1798,453
40,11,1810,185,1850,224
40,12,1443,157,1490,185
40,14,64,607,105,644
40,17,1332,209,1377,250
40,19,1559,155,1592,175
40,20,1413,162,1448,191
40,22,1496,156,1534,176
40,28,1644,581,1692,623
40,32,127,277,175,323
40,33,1536,385,1584,429
40,34,847,213,894,258
40,35,1786,660,1826,697
40,41,62,356,116,405
40,42,28,331,71,375
40,44,1234,183,1274,224
41,3,51,4,180,129
41,6,1766,418,1806,454
41,12,1443,157,1489,185
41,14,58,607,100,645
41,17,1337,209,1383,250
41,19,1559,155,1592,175
41,20,1413,161,1448,191
41,22,1496,156,1534,176
41,28,1636,580,1685,624
41,32,132,277,180,323
41,33,1545,387,1592,430
41,34,852,212,900,258
41,35,1780,659,1821,697
41,41,72,356,127,406
41,42,35,330,78,374
41,44,1243,182,1284,224
42,3,51,4,180,129
42,6,1774,418,1813,454
42,12,1444,157,1489,185
42,14,52,607,96,645
42,17,1342,209,1388,250
42,19,1559,155,1592,175
42,20,1413,162,1448,191
42,22,1496,156,1534,176
42,28,1628,579,1678,624
42,32,136,276,185,322
42,33,1553,388,1600,431
42,34,857,212,906,258
42,35,1775,657,1816,696
42,41,79,355,134,405
42,42,40,329,85,374
42,44,1249,180,1291,224
43,3,51,4,180,129
43,6,1781,419,1820,455
43,12,1444,157,1489,185
43,14,47,607,91,645
43,17,1348,209,1393,250
43,19,1558,155,1592,175
43,20,1413,162,1448,191
43,22,1496,156,1534,176
43,28,1624,579,1670,622
43,32,141,276,189,322
43,33,1562,389,1608,431
43,34,864,212,912,257
43,35,1770,657,1811,695
43,41,85,354,140,404
43,42,46,328,91,373
43,44,1254,180,1297,223
44,3,51,4,180,129
44,12,1444,157,1489,185
44,14,41,608,84,646
44,17,1354,210,1399,250
44,19,1558,155,1592,175
44,20,1413,161,1448,191
44,22,1496,156,1534,177
44,28,1615,579,1662,621
44,32,145,275,193,321
44,33,1570,390,1616,433
44,34,870,212,917,257
44,35,1765,655,1806,694
44,41,94,354,147,402
44,42,52,327,97,373
44,44,1260,178,1305,224
45,3,51,4,181,129
45,11,1837,183,1877,221
45,12,1444,157,1489,185
45,14,35,608,78,646
45,17,1360,209,1405,249
45,19,1558,155,1592,175
45,22,1496,156,1534,176
45,28,1608,578,1654,619
45,32,150,274,198,321
45,33,1577,391,1625,435
45,34,876,212,923,256
45,35,1761,654,1802,693
45,41,104,354,156,402
45,42,59,328,103,372
45,44,1268,177,1313,223
46,3,52,4,181,129
46,11,1842,183,1882,221
46,12,1445,157,1489,185
46,14,29,608,73,647
46,17,1366,208,1411,249
46,19,1559,155,1592,174
46,22,1497,156,1534,176
46,28,1602,579,1647,619
46,32,154,273,204,321
46,33,1585,391,1633,435
46,34,882,211,929,256
46,35,1758,653,1798,691
46,41,109,353,162,401
46,42,65,327,109,371
46,44,1273,176,1318,222
46,47,1797,415,1865,469
47,3,52,4,181,129
47,12,1445,157,1489,184
47,14,24,609,68,647
47,17,1370,207,1416,248
47,19,1559,155,1592,174
47,22,1497,156,1534,176
47,28,1595,578,1642,619
47,32,159,272,208,320
47,33,1593,392,1641,436
47,34,887,211,934,256
47,35,1754,653,1793,690
47,41,116,351,169,400
47,42,69,326,115,371
47,44,1279,176,1325,222
47,47,1800,415,1867,468
48,3,52,4,181,129
48,12,1445,158,1488,184
48,14,19,610,63,648
48,17,1376,207,1421,248
48,19,1559,155,1592,174
48,22,1497,156,1534,176
48,28,1586,575,1634,619
48,32,163,272,212,319
48,33,1601,393,1649,437
48,34,892,210,939,256
48,35,1749,654,1787,690
48,41,122,350,177,401
48,42,74,324,121,370
48,48,1853,669,1897,709
49,3,52,4,181,129
49,12,1445,158,1488,185
49,14,14,611,57,647
49,15,282,569,317,606
49,17,1383,207,1427,248
49,19,1559,155,1592,174
49,22,1498,156,1534,176
49,28,1578,574,1627,618
49,32,168,271,217,318
49,33,1609,395,1655,437
49,34,897,210,944,256
49,35,1743,655,1781,690
49,41,129,351,183,401
49,42,80,323,127,370
49,48,1848,668,1891,707
50,3,52,4,181,129
50,12,1445,158,1488,185
50,14,9,611,52,648
50,15,275,569,311,606
50,17,1388,207,1432,247
50,22,1498,156,1534,176
50,28,1571,574,1619,616
50,32,172,271,222,318
50,33,1618,396,1663,436
50,34,902,209,950,256
50,35,1739,654,1776,689
50,41,137,350,191,400
50,42,86,322,134,369
50,48,1845,667,1887,706
51,3,52,4,181,129
51,12,1445,159,1488,185
51,14,3,612,46,649
51,17,1394,207,1437,247
51,22,1498,157,1534,176
51,28,1564,574,1609,614
51,32,177,270,227,318
51,33,1626,395,1672,437
51,34,908,210,955,255
51,35,1733,654,1771,690
51,41,143,350,198,400
51,42,93,322,140,369
51,48,1839,665,1883,705
52,3,52,4,181,129
52,12,1444,159,1489,185
52,14,0,613,40,649
52,17,1399,207,1443,247
52,22,1498,157,1534,176
52,28,1558,573,1602,612
52,32,182,270,232,317
52,33,1634,397,1679,437
52,34,914,210,960,254
52,35,1729,654,1766,689
52,41,151,349,206,400
52,42,99,322,145,368
52,48,1835,665,1877,704
53,3,53,4,181,129
53,12,1444,159,1489,185
53,17,1405,206,1449,247
53,22,1498,157,1534,176
53,28,1550,572,1594,611
53,32,187,269,236,316
53,33,1643,399,1687,438
53,34,919,210,965,254
53,35,1725,653,1762,688
53,41,157,348,213,399
53,42,104,322,151,367
53,48,1828,663,1873,703
53,50,1150,172,1258,207
54,3,53,4,181,128
54,12,1445,158,1489,185
54,17,1410,206,1455,247
54,19,1558,155,1592,174
54,32,191,268,241,316
54,33,1650,398,1696,439
54,34,925,209,972,254
54,35,1718,651,1758,689
54,41,165,348,219,399
54,42,109,321,157,368
54,43,1523,577,1622,660
54,47,1866,431,1912,468
54,48,1824,663,1869,704
54,50,1151,172,1257,207
55,3,53,4,181,128
55,6,1874,431,1919,474
55,12,1445,158,1490,186
55,17,1415,205,1461,247
55,19,1558,155,1592,174
55,32,196,268,245,315
55,33,1658,400,1704,441
55,34,930,206,979,253
55,35,1713,649,1754,688
55,41,171,347,227,399
55,42,116,321,164,367
55,43,1521,579,1616,660
55,47,1874,433,1918,468
55,48,1819,662,1865,704
56,3,53,4,181,128
56,6,1882,432,1919,476
