,frame_id,vehicle_id,x1,y1,x2,y2,x_center,y_center,time_window,prev_frame_id,continuous_presence,prev_x_center,prev_y_center,distance,valid_distance
0,2,1,884,434,1015,606,949.5,520.0,0,,False,,,,
1,2,2,842,293,939,408,890.5,350.5,0,,False,,,,
2,2,3,599,7,630,36,614.5,21.5,0,,False,,,,
3,2,4,549,37,587,72,568.0,54.5,0,,False,,,,
4,2,5,429,117,486,179,457.5,148.0,0,,False,,,,
5,2,6,529,116,589,174,559.0,145.0,0,,False,,,,
6,2,7,597,227,677,317,637.0,272.0,0,,False,,,,
7,2,8,320,430,464,568,392.0,499.0,0,,False,,,,
8,3,1,885,436,1015,608,950.0,522.0,0,2.0,True,949.5,520.0,2.0615528128088303,2.0615528128088303
9,3,2,843,294,940,410,891.5,352.0,0,2.0,True,890.5,350.5,1.8027756377319946,1.8027756377319946
10,3,3,600,8,631,37,615.5,22.5,0,2.0,True,614.5,21.5,1.4142135623730951,1.4142135623730951
11,3,4,549,39,587,74,568.0,56.5,0,2.0,True,568.0,54.5,2.0,2.0
12,3,5,428,117,486,179,457.0,148.0,0,2.0,True,457.5,148.0,0.5,0.5
13,3,6,528,119,589,178,558.5,148.5,0,2.0,True,559.0,145.0,3.5355339059327378,3.5355339059327378
14,3,7,595,232,677,324,636.0,278.0,0,2.0,True,637.0,272.0,6.082762530298219,6.082762530298219
15,3,8,309,442,457,583,383.0,512.5,0,2.0,True,392.0,499.0,16.224980739587952,16.224980739587952
16,4,1,884,438,1016,611,950.0,524.5,0,3.0,True,950.0,522.0,2.5,2.5
17,4,2,843,296,941,412,892.0,354.0,0,3.0,True,891.5,352.0,2.0615528128088303,2.0615528128088303
18,4,3,600,9,631,38,615.5,23.5,0,3.0,True,615.5,22.5,1.0,1.0
19,4,4,549,41,587,76,568.0,58.5,0,3.0,True,568.0,56.5,2.0,2.0
20,4,5,428,117,486,180,457.0,148.5,0,3.0,True,457.0,148.0,0.5,0.5
21,4,6,527,123,589,183,558.0,153.0,0,3.0,True,558.5,148.5,4.527692569068709,4.527692569068709
22,4,7,592,237,677,331,634.5,284.0,0,3.0,True,636.0,278.0,6.18465843842649,6.18465843842649
23,4,8,298,452,451,598,374.5,525.0,0,3.0,True,383.0,512.5,15.116216457830975,15.116216457830975
24,5,1,885,440,1017,613,951.0,526.5,0,4.0,True,950.0,524.5,2.23606797749979,2.23606797749979
25,5,2,844,297,942,414,893.0,355.5,0,4.0,True,892.0,354.0,1.8027756377319946,1.8027756377319946
26,5,3,600,10,632,39,616.0,24.5,0,4.0,True,615.5,23.5,1.118033988749895,1.118033988749895
27,5,4,549,42,588,78,568.5,60.0,0,4.0,True,568.0,58.5,1.5811388300841898,1.5811388300841898
28,5,5,429,117,486,180,457.5,148.5,0,4.0,True,457.0,148.5,0.5,0.5
29,5,6,526,126,589,187,557.5,156.5,0,4.0,True,558.0,153.0,3.5355339059327378,3.5355339059327378
30,5,7,591,242,676,338,633.5,290.0,0,4.0,True,634.5,284.0,6.082762530298219,6.082762530298219
31,5,8,287,463,445,614,366.0,538.5,0,4.0,True,374.5,525.0,15.953056133543816,15.953056133543816
32,6,1,885,441,1018,615,951.5,528.0,0,5.0,True,951.0,526.5,1.5811388300841898,1.5811388300841898
33,6,2,845,299,943,416,894.0,357.5,0,5.0,True,893.0,355.5,2.23606797749979,2.23606797749979
34,6,3,601,11,632,40,616.5,25.5,0,5.0,True,616.0,24.5,1.118033988749895,1.118033988749895
35,6,4,549,44,588,80,568.5,62.0,0,5.0,True,568.5,60.0,2.0,2.0
36,6,5,429,118,486,180,457.5,149.0,0,5.0,True,457.5,148.5,0.5,0.5
37,6,6,525,129,589,191,557.0,160.0,0,5.0,True,557.5,156.5,3.5355339059327378,3.5355339059327378
38,6,7,589,247,676,345,632.5,296.0,0,5.0,True,633.5,290.0,6.082762530298219,6.082762530298219
39,6,8,274,475,438,631,356.0,553.0,0,5.0,True,366.0,538.5,17.613914953808536,17.613914953808536
40,7,1,886,443,1018,618,952.0,530.5,0,6.0,True,951.5,528.0,2.5495097567963922,2.5495097567963922
41,7,2,845,300,944,418,894.5,359.0,0,6.0,True,894.0,357.5,1.5811388300841898,1.5811388300841898
42,7,3,601,12,633,41,617.0,26.5,0,6.0,True,616.5,25.5,1.118033988749895,1.118033988749895
43,7,4,548,46,588,81,568.0,63.5,0,6.0,True,568.5,62.0,1.5811388300841898,1.5811388300841898
44,7,5,429,118,486,180,457.5,149.0,0,6.0,True,457.5,149.0,0.0,0.0
45,7,6,525,132,589,195,557.0,163.5,0,6.0,True,557.0,160.0,3.5,3.5
46,7,7,587,252,675,351,631.0,301.5,0,6.0,True,632.5,296.0,5.70087712549569,5.70087712549569
47,7,8,261,487,430,649,345.5,568.0,0,6.0,True,356.0,553.0,18.309833423600555,18.309833423600555
48,8,1,886,445,1019,620,952.5,532.5,0,7.0,True,952.0,530.5,2.0615528128088303,2.0615528128088303
49,8,2,846,302,945,420,895.5,361.0,0,7.0,True,894.5,359.0,2.23606797749979,2.23606797749979
50,8,3,601,13,633,43,617.0,28.0,0,7.0,True,617.0,26.5,1.5,1.5
51,8,4,548,47,588,83,568.0,65.0,0,7.0,True,568.0,63.5,1.5,1.5
52,8,5,429,118,486,180,457.5,149.0,0,7.0,True,457.5,149.0,0.0,0.0
53,8,6,524,135,589,199,556.5,167.0,0,7.0,True,557.0,163.5,3.5355339059327378,3.5355339059327378
54,8,7,585,257,675,358,630.0,307.5,0,7.0,True,631.0,301.5,6.082762530298219,6.082762530298219
55,8,8,247,499,423,667,335.0,583.0,0,7.0,True,345.5,568.0,18.309833423600555,18.309833423600555
56,9,1,886,447,1019,623,952.5,535.0,0,8.0,True,952.5,532.5,2.5,2.5
57,9,2,847,303,946,422,896.5,362.5,0,8.0,True,895.5,361.0,1.8027756377319946,1.8027756377319946
58,9,3,601,14,634,44,617.5,29.0,0,8.0,True,617.0,28.0,1.118033988749895,1.118033988749895
59,9,4,548,49,589,85,568.5,67.0,0,8.0,True,568.0,65.0,2.0615528128088303,2.0615528128088303
60,9,5,430,118,486,180,458.0,149.0,0,8.0,True,457.5,149.0,0.5,0.5
