frame_id,x1,y1,x2,y2,confidence
0,839,290,940,402,0.994041621685028
0,600,220,680,305,0.99624902009964
0,548,29,589,63,0.9891047477722168
0,419,117,488,177,0.9885186553001404
0,886,431,1012,604,0.9958130717277528
0,594,3,634,35,0.9883495569229126
0,527,109,591,169,0.995385468006134
0,166,1015,374,1079,0.9544256329536438
0,332,413,478,546,0.9975146055221558
1,839,288,939,405,0.9910354614257812
1,598,224,678,311,0.9968119263648988
1,546,32,587,66,0.9897818565368652
1,418,117,490,177,0.9917216897010804
1,886,436,1014,607,0.9964680671691896
1,593,2,634,36,0.987355411052704
1,525,113,589,172,0.9965918064117432
1,324,422,472,561,0.9966652989387512
2,840,290,941,408,0.9844464659690856
2,599,230,679,315,0.9970009922981262
2,546,32,589,69,0.9899742007255554
2,418,116,490,177,0.9924713373184204
2,885,435,1016,610,0.9964642524719238
2,594,3,635,37,0.989916741847992
2,525,115,588,177,0.9967549443244934
2,312,434,468,573,0.9974811673164368
3,840,291,942,408,0.9899346232414246
3,597,235,680,322,0.9969657063484192
3,545,33,590,71,0.987708568572998
3,418,117,490,178,0.9935279488563538
3,886,437,1017,612,0.9974743723869324
3,594,4,636,38,0.9907801747322084
3,524,119,587,180,0.995981216430664
3,303,448,459,588,0.9981574416160583
4,842,293,942,410,0.9937373399734496
4,595,239,679,329,0.9964471459388732
4,544,34,590,74,0.9892268180847168
4,418,117,490,178,0.9924087524414062
4,886,438,1015,613,0.9952882528305054
4,594,5,635,38,0.990391731262207
4,525,121,589,184,0.9964501857757568
4,290,455,456,605,0.9986314177513124
5,841,297,944,413,0.9930742979049684
5,593,244,678,334,0.996319055557251
5,543,36,590,77,0.9890163540840148
5,418,117,491,179,0.9935374855995178
5,886,441,1016,618,0.9978278279304504
5,594,5,636,41,0.9900926947593688
5,524,123,588,188,0.99600487947464
5,280,468,447,619,0.9981390237808228
6,841,299,944,414,0.9953426122665404
6,591,250,677,340,0.9966140389442444
6,543,36,590,78,0.9870761036872864
6,418,117,491,179,0.9932273030281068
6,886,440,1017,618,0.9953409433364868
6,594,6,637,41,0.9900525212287904
6,523,124,590,192,0.9960017800331116
6,268,479,444,635,0.9977287650108336
7,841,300,944,416,0.9950672388076782
7,589,256,677,349,0.9970725774765016
7,543,37,592,79,0.9898402690887452
7,418,116,490,178,0.9506760835647584
7,418,117,489,178,0.9659168124198914
7,886,443,1018,621,0.9979177117347716
7,595,7,637,41,0.990757167339325
7,523,129,590,195,0.995497703552246
7,254,491,436,652,0.997733235359192
8,843,302,945,420,0.994695246219635
8,586,260,675,353,0.9968112111091614
8,542,39,591,81,0.9916464686393738
8,419,117,491,180,0.9913233518600464
8,888,444,1017,624,0.9969161748886108
8,596,8,637,42,0.9889854192733764
8,522,134,589,200,0.9947699904441832
8,241,503,432,668,0.9979270696640016
9,845,304,944,422,0.9949668049812316
9,584,267,674,361,0.996170699596405
9,418,117,490,180,0.9921401143074036
9,888,447,1019,628,0.9967808723449708
