                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8246,                 1.3606,                 1.4993,                0.75124,                0.62919,                0.68306,                0.31987,                 1.9161,                0.91919,                 1.3357,              0.0033241,              0.0033241,              0.0033241
                      2,                 1.5292,                 0.9637,                  1.281,                0.76642,                0.59188,                0.65103,                0.32171,                 1.8362,                0.93017,                 1.2836,              0.0066135,              0.0066135,              0.0066135
                      3,                 1.5245,                0.95523,                 1.2811,                0.76876,                0.60276,                0.65895,                0.32563,                 1.8336,                0.94058,                 1.3129,              0.0098589,              0.0098589,              0.0098589
                      4,                 1.5219,                0.95871,                   1.29,                0.77621,                0.60929,                0.67505,                0.33536,                 1.7841,                0.90985,                  1.266,               0.009802,               0.009802,               0.009802
                      5,                 1.4936,                0.91924,                 1.2808,                0.79026,                0.66321,                0.70775,                0.34117,                 1.8195,                0.87609,                 1.3103,               0.009736,               0.009736,               0.009736
                      6,                 1.4656,                0.88254,                 1.2701,                0.77287,                0.65423,                0.70672,                0.38927,                 1.5791,                0.82332,                 1.1963,                0.00967,                0.00967,                0.00967
                      7,                 1.4475,                0.86001,                 1.2562,                0.77333,                0.64333,                0.70541,                0.37585,                 1.6472,                0.82835,                 1.2238,               0.009604,               0.009604,               0.009604
                      8,                 1.4196,                0.83257,                 1.2464,                0.77856,                0.59428,                0.66447,                0.35275,                 1.7327,                0.89174,                 1.2668,               0.009538,               0.009538,               0.009538
                      9,                  1.401,                0.81428,                 1.2347,                0.79749,                0.67801,                0.74574,                0.39345,                 1.6432,                0.79413,                 1.2348,               0.009472,               0.009472,               0.009472
                     10,                 1.3968,                0.79972,                 1.2383,                0.80287,                0.68319,                0.75196,                0.41358,                 1.5521,                0.75983,                 1.1908,               0.009406,               0.009406,               0.009406
