                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0788,                 1.7438,                 1.7417,                  0.623,                0.45833,                 0.4984,                0.22124,                 2.0016,                 1.3458,                 1.3605,              0.0033241,              0.0033241,              0.0033241
                      2,                 1.9373,                 1.5782,                 1.6224,                0.61023,                0.47072,                0.49829,                0.22671,                 1.9581,                 1.3932,                 1.3677,              0.0066135,              0.0066135,              0.0066135
                      3,                 1.9154,                 1.5609,                 1.5951,                0.63728,                0.49374,                0.52651,                0.24361,                 1.9428,                 1.3323,                 1.3791,              0.0098589,              0.0098589,              0.0098589
                      4,                 1.9057,                 1.5334,                 1.5867,                0.65771,                0.49488,                 0.5306,                0.24897,                 1.9149,                 1.3287,                 1.3601,               0.009802,               0.009802,               0.009802
                      5,                 1.8914,                 1.5149,                 1.5721,                0.66218,                0.50588,                0.54543,                0.25503,                 1.9041,                 1.3043,                 1.3624,               0.009736,               0.009736,               0.009736
                      6,                 1.8644,                 1.4873,                 1.5614,                0.68308,                0.50184,                0.55378,                0.26387,                 1.8876,                  1.245,                 1.3568,                0.00967,                0.00967,                0.00967
                      7,                 1.8521,                 1.4667,                 1.5444,                0.68204,                0.51069,                0.56349,                0.26033,                 1.9491,                 1.2145,                 1.3806,               0.009604,               0.009604,               0.009604
                      8,                  1.837,                   1.46,                 1.5347,                0.66417,                0.51182,                0.55186,                0.25342,                 1.9619,                  1.284,                 1.3821,               0.009538,               0.009538,               0.009538
                      9,                 1.8324,                  1.449,                 1.5271,                0.67371,                0.51865,                0.56441,                0.26672,                  1.869,                 1.2381,                 1.3415,               0.009472,               0.009472,               0.009472
                     10,                 1.8307,                 1.4365,                 1.5164,                0.68078,                 0.5227,                0.57556,                0.27438,                 1.8615,                  1.182,                  1.327,               0.009406,               0.009406,               0.009406
